Abbasi, Nimrah; Maternal Fetal Medicine, Obstetrics and Gynecology
Ferguson, Sarah Elizabeth; Obstetrics and Gynecology
Fernandes, Vinay Thomas; Otolaryngology - Head and Neck Surgery
Fiala, Jindrich; Family Medicine
Fields, Louis
Finan, Emer Antoinette; Neonatal-Perinatal Medicine
Finelli, Antonio; Urology
Finkelstein, Sheldon
Fisher, Deborah   Terry; Family Medicine
Fisher, Harold Nathan; Family Medicine (Emergency Medicine)
Fisher, Jolene   Heather; Internal Medicine, Respirology
Fisher, Joseph Arnold; Anesthesiology, Internal Medicine
Fisman, David   Norman; Internal Medicine
Flak, Edred Alexander; Psychiatry
Flamer, David Richard; Anesthesiology
Flannery, John Francis; Physical Medicine and Rehabilitation
Fleming, Ivor Mackenzie; Anesthesiology, Family Medicine
Fleming, Rachel Pollard; Diagnostic Radiology
Fleshner, Neil   Eric; Urology
Flomen, Marcy   Susan; Family Medicine
Floras, John   Stanley; Cardiology
Fogel, Bernard; Family Medicine
Foote, John Ramsay; Family Medicine, Family Medicine (Emergency Medicine)
Forbes, Thomas Lawrence; General Surgery, Vascular Surgery
Forman, Noah Andrew; Family Medicine
Forte, Milena; Family Medicine
Fralick, Michael Paul Figueroa; Internal Medicine
Freedman, Morris; Neurology
Freeman, Jeremy   Louis; Otolaryngology - Head and Neck Surgery
Fridman, Michael Daniel; Pediatrics
Friedberg, Mark Kevin; Pediatric Cardiology
Friedman, Zeev   Zvulun; Anesthesiology
Frost, David William Henry; Internal Medicine
Fung, Scott; Gastroenterology, Internal Medicine
Fung, Wai Lun Alan; Psychiatry
Gaisano, Herbert Young; Gastroenterology, Internal Medicine
Gallinger, Steven; General Surgery
Gandhi, Shital; General Internal Medicine, Internal Medicine
Gardam, Michael   Andrew; Infectious Diseases, Internal Medicine
Garfield, Hartley   Arthur; Pediatrics
Gauda, Estelle Blanche; Neonatal-Perinatal Medicine, Pediatrics
Gazeley, Sharon   Genevieve Rose; Family Medicine
Gelber, Nitai; Family Medicine
Gerbitz, Armin Heinz; Hematology, Internal Medicine
Ghaffar, Omar; Geriatric Psychiatry, Psychiatry
Ghai, Sandeep; Diagnostic Radiology
Ghai, Sangeet; Diagnostic Radiology
Giannoulias, Dimitrois; Obstetrics and Gynecology
Gilfoyle, Elaine; Pediatrics
Ginsburg, Shiphra Rachel; Internal Medicine, Respirology
Gladdy, Rebecca Anne; General Surgery
Gladman, Dafna Debora; Internal Medicine, Rheumatology
Glanc, Phyllis; Diagnostic Radiology
Gleberzon, Jared Samuel; Family Medicine
Gleicher, Yehoshua; Anesthesiology
Goffi, Alberto; Critical Care Medicine, Internal Medicine
Gold, Jewel; Cardiology, Internal Medicine
Gold, Wayne Lawrence; Infectious Diseases, Internal Medicine
Goldfarb, David   R; Otolaryngology - Head and Neck Surgery
Goldhamer, Paul Morton; Psychiatry
Goldlist, Barry   Joseph; Geriatric Medicine, Internal Medicine
Goldman, Adam  Zale; Family Medicine
Goldman, Howard   Brian; Family Medicine, Family Medicine (Emergency Medicine)
Goldman, Russell   David; Family Medicine
Goldstein, David   Paul; Otolaryngology - Head and Neck Surgery
Goldstein, Roger Samuel; Internal Medicine, Respirology
Goldstein, Susan   Ruth; Family Medicine
Goldszmidt, Eric; Anesthesiology
Goligher, Ewan   Christopher; Critical Care Medicine, Internal Medicine
Golts, Marianna; Psychiatry
Gomez Hernandez, Karen Ester; Endocrinology and Metabolism
Gonska, Tanja Yvette; Gastroenterology, Pediatrics
Goodwin, Pamela   Jean; Internal Medicine, Medical Oncology
Gordon, Michael; Geriatric Medicine, Internal Medicine
Gordon, Randy   Darryl
Gotesman, Galina l; Geriatric Medicine, Internal Medicine
Gotha, Lara Katrina; Obstetrics and Gynecology
Gotlieb, Avrum   Irving; Anatomical Pathology
Gottesman, Irving Stanley; Endocrinology and Metabolism, Internal Medicine
Gottesman, Steven   Phillip
Govindarajan, Anand; General Surgery
Grant, Allison   Lee-Anne; Diagnostic Radiology
Grant, Mary   Margaret; Diagnostic Radiology
Granton, John   Thomas; Internal Medicine, Respirology
Gravel, Jonathan; Family Medicine
Greenblatt, Ellen   Mary; Obstetrics and Gynecology
Greig, Anita   Rani Arya; Family Medicine
Grenville, Jeffrey; Diagnostic Radiology
Griffiths, Anne   Marie; Pediatrics
Grober, Ethan Daniel; Urology
Gross, Gil Jay; Cardiology, Pediatrics
Grundland, Batya Nechama; Family Medicine
Gryfe, Robert   Neil; General Surgery
Guerguerian, Anne-Marie; Pediatrics
Gulamhusein, Aliya Fatemah; Gastroenterology, Internal Medicine
Gullane, Patrick Joseph; Otolaryngology - Head and Neck Surgery
Gupta, Abha Anshu; Pediatric Hematology/Oncology, Pediatrics
Gupta, Vibhuti; Family Medicine
Guttman, Rachelle; Psychiatry
Ha, Andrew Chun Tung; Cardiology, Internal Medicine
Habal, Flavio M; Gastroenterology, Internal Medicine
Hahn, Cecil David Alexander; Neurology
Haider, Masoom   Abbas; Diagnostic Radiology
Halman, Mark   Howard; Psychiatry
Hamilton, Jill Krysti; Endocrinology and Metabolism, Pediatrics
Hamilton, Robert James; Urology
Hamilton, Robert Murray; Cardiology, Pediatrics
Hanbidge, Anthony   Edward; Diagnostic Radiology
Hanet, Stephen   Harold; Family Medicine
Hanneman, Katherin Alison; Diagnostic Radiology
Haroon, Nigil; Rheumatology
Harrington, Jennifer Jean; Pediatrics
Harris, Louise; Cardiology
Harvey, Paula Jean; Cardiology
Hashemi, Narges; Family Medicine
Hassouneh, Basil; Otolaryngology - Head and Neck Surgery
Hawryluck, Laura   Andrea; Internal Medicine
Hawrylyshyn, Peter   Andreas; Obstetrics and Gynecology
Haykal, Siba; Plastic Surgery
Hendler, Aaron Lloyd; Diagnostic Radiology, Internal Medicine, Nuclear Medicine
Henen, Raafat Naguib Ibrahim; Ophthalmology
Herman, Rebecca   Cate; Family Medicine
Herman, Stephen   Jay; Diagnostic Radiology
Herridge, Mary   Margaret Sutherland; Internal Medicine, Respirology
Herzog, Lindsay Samantha; Family Medicine
Hickey, Edward John Brendan; Cardiac Surgery
Higgins, Darren   Scott; Psychiatry
Higgins, Kevin   McLoughlin; Otolaryngology - Head and Neck Surgery
Hildebrand, Anne Marie Elizabeth; Psychiatry
Himidan, Sharifa   Abdallah; General Surgery, Pediatric General Surgery
Hirsch, Jennifer   Eve; Psychiatry
Hirschfield, Gideon Morris; Gastroenterology
Hitzler, Johann Karl; Hematology, Pediatrics
Ho, Angela Onkay; Psychiatry
Ho, Chia-Sing; Diagnostic Radiology
Ho, Peter   Hin Tat; Anesthesiology
Ho, Thi   Cam Nhung; Dermatology, Pediatrics
Hoban, Rebecca Ann; Neonatal-Perinatal Medicine, Pediatrics
Hobson, Sebastian Rupert; Maternal Fetal Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology
Hofer, Stefan   Oliver Paul; Plastic Surgery
Hogen, Liat Frida; Obstetrics and Gynecology
Hogg, David   Hartwick; Hematology, Internal Medicine
Hojilla, Carlo Vincent; Anatomical Pathology
Horlick, Eric Mitchell; Cardiology, Internal Medicine
Horodezky, Lawrence   Sandford; Psychiatry
Horvath, Aaron Isaac; Family Medicine
Horvath, Ilana  Sarah; Family Medicine
Hosseini Moghaddam, Seyed   Mohammadmehdi; Infectious Diseases
Hota, Susy   Smita; Infectious Diseases, Internal Medicine
Howe, Marnie Lynne; Family Medicine
Howlett, Andrew Lindsay; Psychiatry
Hoydonckx, Yasmine Marie E; Anesthesiology
Hsiang, Diana; Family Medicine
Huang, Annie; Pediatrics
Huang, Vivian   Wai-Mei; Gastroenterology, Internal Medicine
Humar, Atul; Infectious Diseases, Internal Medicine
Hunchak, Cheryl   Lynn; Family Medicine
Hunter, Jonathan Joel; Psychiatry
Hurwitz, Jeffrey Jay; Ophthalmology
Husain, Amna Fatima; Family Medicine
Husain, Mansoor; Cardiology, Internal Medicine
Husain, Shahid; Infectious Diseases
Hussman, Edward   Alexander
Hutcheon, Michael Alexander; Internal Medicine, Respirology
Hutchison, Rosemary Patricia; Family Medicine
Hwang, David Wei-De; Internal Medicine
Ibach, Deborah Mary; Diagnostic Radiology
Ing, Douglas   Jeffrey; Internal Medicine
Inman, Robert Davies; Rheumatology
Ipp, Moshe   Maurice; Pediatrics
Irish, Jonathan   Crawford; Otolaryngology - Head and Neck Surgery
Irwin, Meredith Sue; Pediatrics
Isenberg, Gerald Norman
Ito, Shinya; Pediatrics
Jaberi, Arash; Diagnostic Radiology
Jacobson, Michelle Rebecca; Obstetrics and Gynecology
Jaeggi, Edgar Thomas; Pediatrics
Jaffer, Nasir Mansur; Diagnostic Radiology
Jaigobin, Cheryl   Susheila; Neurology
Jain, Amish Kishen Behari; Neonatal-Perinatal Medicine, Pediatrics
James, Adrian   Lewis; Otolaryngology - Head and Neck Surgery
James, Jacqueline   Elizabeth; Endocrinology and Metabolism, Internal Medicine
James, Paul Damien; Gastroenterology, Internal Medicine
Janevski, John; Cardiology, Internal Medicine
Jang, Hyun-Jung; Diagnostic Radiology
Jang, Raymond Woo-Jun; Internal Medicine, Medical Oncology
Jassal, Sarbjit   Vanita; Internal Medicine, Nephrology
Jeyaraj, Satheesh Krishna; Diagnostic Radiology
Jhaveri, Kartik Sudhir; Diagnostic Radiology
Johnson, Sarah   Augusta; Diagnostic Radiology
Johnstone, Jennie; Infectious Diseases, Internal Medicine
Jones, Claire   Ann; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Jones, Nicola Lorraine; Pediatrics
Jong, Roland   Chuck Kit; Anatomical Pathology
Joshi, Mital; Anesthesiology
Juvet, Stephen   Charles; Internal Medicine, Respirology
Kachura, John Robert; Diagnostic Radiology
Kaercher Kramer, Caroline; Endocrinology and Metabolism
Kajal, Dilkash; Diagnostic Radiology
Kale, Karna   Chandarrao; Family Medicine
Kalia, Lorraine Victoria; Neurology
Kamens, Cathy   Ann; Family Medicine
Kandel, Christopher Edward; Infectious Diseases, Internal Medicine
Kandel, Rita Arbetman; Anatomical Pathology
Kandel, Sonja Marion; Diagnostic Radiology
Kaplansky, Bradley Mitchell; Family Medicine
Kaplovitch, Eric Michel; General Internal Medicine, Internal Medicine
Kaplovitch, Harvey; Family Medicine
Kapoor, Monika; Family Medicine, Family Medicine (Emergency Medicine)
Kapral, Moira Kassia; Internal Medicine
Karkouti, Keyvan; Anesthesiology
Karlinsky, Audrey   Lynn; Family Medicine
Kaul, Rupert; Infectious Diseases, Internal Medicine
Kawaguchi, Sarah Kyoko; Family Medicine
Kay, Lloyd Rex Kalman; Psychiatry
Keating, Armand; Hematology, Internal Medicine
Keefe, Peter   Huntley; Internal Medicine, Psychiatry
Kelly, Catherine Mary Keleher; Internal Medicine
Kelly, Edmond Norman Mary; Pediatrics
Kennedy, Erin Diane; General Surgery
Keshavjee, Shafique; Cardiovascular and Thoracic Surgery, General Surgery
Keshmirian, Jalal; Family Medicine
Keunen, Johannes   Elisabeth Gerardus Maria; Maternal Fetal Medicine, Obstetrics and Gynecology
Keystone, Edward   Clark; Internal Medicine, Rheumatology
Kfouri, Julia Eva; Maternal Fetal Medicine, Obstetrics and Gynecology
Khadadah, Fatima Mousa E KH S; Internal Medicine
Khalili, Ida; Diagnostic Radiology
Khalili, Korosh; Diagnostic Radiology
Khan, Baseer   Uddin; Ophthalmology
Khan, James Shiraz; Anesthesiology
Khan, Mohammad Hashim; Internal Medicine, Respirology
Khan, Seema Ann; Psychiatry
Khandelwal, Aditi; Hematology, Internal Medicine
Khanduja, Purva   Kristina; Anesthesiology
Kharrat, Ashraf; Neonatal-Perinatal Medicine, Pediatrics
Khorasani, Kasra; Psychiatry
Kielar, Ania   Zofia; Diagnostic Radiology
Kim, Raymond Hyonmin; Internal Medicine
Kim, Sang   Joseph; Internal Medicine, Nephrology
Kim, Stephanie Gina; Geriatric Medicine, Internal Medicine
Kim, Susie
Kim, Tae   Kyoung; Diagnostic Radiology
Kingdom, John Charles Peter; Maternal Fetal Medicine, Obstetrics and Gynecology
Kirby, Melanie-Ann; Pediatrics
Kirsch, Richard; Anatomical Pathology
Kirshen, Albert   Jacob; Geriatric Medicine, Internal Medicine, Palliative Medicine
Kirtsman, Maksim; Neonatal-Perinatal Medicine, Pediatrics
Kitchlu, Abhijat; Internal Medicine, Nephrology
Kives, Sari Leanne; Obstetrics and Gynecology
Klein, H. Alexander
Kleinman, Irwin; Psychiatry
Knox, Matthew Kenny; Psychiatry
Koblic, Paul   Michael; Family Medicine, Family Medicine (Emergency Medicine)
Kobulnik, Jeremy; Cardiology, Internal Medicine
Kohut, Vera Maria; Family Medicine
Kolker, Sabrina Meghan; Family Medicine
Konvalinka, Ana; Internal Medicine, Nephrology
Kopolovic, Shirley; Family Medicine
Koushan, Keyvan; Ophthalmology
Koyle, Martin Allan; Urology
Krahn, Murray Dale; Internal Medicine
Krakowsky, Yonah Ian; Urology
Kraut, Eyal Meron; Endocrinology and Metabolism, Internal Medicine
Krensky, Robert
Kridel, Robert Norbert; Hematology
Krings, Timo; Diagnostic Radiology
Krishnan, Pradeep; Diagnostic Radiology
Krzyzanowska, Monika Karolina; Internal Medicine, Medical Oncology
Kucharczyk, Walter; Diagnostic Radiology
Kukreti, Vishal; Hematology, Internal Medicine
Kulidjian, Anna Andranik; Orthopedic Surgery
Kulkarni, Abhaya   Vivek; Neurosurgery
Kulkarni, Girish   Satish; Urology
Kulkarni, Supriya   Ravindra; Diagnostic Radiology
Kumar, Deepali; Infectious Diseases, Internal Medicine
Kumar, Rajat; Hematology
Kumbhare, Dinesh   Arun; Physical Medicine and Rehabilitation
Kuo, Kevin   Hsin-Mu; Hematology, Internal Medicine
Kuriya, Bindee None; Internal Medicine, Rheumatology
Kuzyk, Paul Robert Thomas; Orthopedic Surgery
Kwan, Janice Lup-Yee; Internal Medicine
Kwan-Wong, Terence Ngai-Ying; Plastic Surgery
La Delfa, Ignazio; Internal Medicine
