Abbey, Susan Elizabeth; Psychiatry
Laframboise, Stephane; Obstetrics and Gynecology
Lam, Wilson; Hematology, Internal Medicine
Lang, Anthony   Edward Thomas; Internal Medicine, Neurology
Langelier, David Michael; Physical Medicine and Rehabilitation
Laperriere, John Normand Paul; Radiation Oncology
Lapinsky, Stephen   Earl; Internal Medicine
Lau, Adrian Ngar Chun; Endocrinology and Metabolism, Internal Medicine
Lau, Ambrose   Kaiting; Internal Medicine, Respirology
Lau, Jenny; Family Medicine
Laughlin, Suzanne; Diagnostic Radiology
Law, Arjun Datt; Hematology
Lax, Matthew Jamie; Diagnostic Radiology
Lazinski, Dorothy; Diagnostic Radiology
Leckie, Ashley Elizabeth; Diagnostic Radiology
Leighl, Natasha   Basant; Internal Medicine, Medical Oncology
Leong, Wey-Liang; General Surgery
Levin, Wilfred; Radiation Oncology
Levine, Mark   Frank; Anesthesiology
Levy, Gary   Avrom; Gastroenterology, Internal Medicine
Lewis, Gary Franklin; Endocrinology and Metabolism, Internal Medicine
Li, Madeline   Tsui-Yee; Psychiatry
Lim, David Wai; General Surgery
Linda, Dorota; Diagnostic Radiology
Linett, Lauren   Jennifer; Family Medicine
Lipton, Jeffrey Howard; Internal Medicine, Medical Oncology
Liu, Fei-Fei; Internal Medicine, Radiation Oncology
Liu, Geoffrey; Internal Medicine
Liu, Louis Wing Cheong; Gastroenterology, Internal Medicine
Loach, David   William
Locke, Kenneth Andrew; Internal Medicine
Logan, Alexander Gordon; Internal Medicine
Lok, Benjamin Hoyin; Radiation Oncology
Lok, Charmaine Elizabeth; Internal Medicine, Nephrology
Lorello, Gianni Roberto; Anesthesiology
Lukowski, Anna Leokadia; Internal Medicine
Madani, Amin; General Surgery
Mak, Shui Chung Ernie; Family Medicine
Mandell, Daniel Michael; Diagnostic Radiology, Neuroradiology
Margolis, Myles; Diagnostic Radiology
Marras, Theodore; Internal Medicine, Respirology
Martin del Campo, Jose   Cuauhtemoc; Internal Medicine, Neurology
Mashari, Azad; Anesthesiology
Mason, Warren Phillip; Internal Medicine, Neurology
May, Taymaa; Obstetrics and Gynecology
Maze, Dawn   Catherine; Hematology, Internal Medicine
Mazzulli, Tonino; Infectious Diseases, Internal Medicine, Medical Microbiology
McCart, Judith   Andrea; General Surgery
McGeer, Allison Joan; Infectious Diseases, Internal Medicine
McGowan, Hugh   Douglas; Ophthalmology
McGuire, Glenn   Patrick; Anesthesiology
McInnis, Micheal Chad; Diagnostic Radiology
McNama, Patricia   Marian; Anesthesiology
McVey, Mark John; Anesthesiology
Mehta, Sangeeta; Internal Medicine, Respirology
Melnyk, Vladyslav; Anesthesiology
Metser, Ur; Diagnostic Radiology
Michelis, Fotios
Middleton, Claire; Anesthesiology
Middleton, William James; Anesthesiology
Millar, Barbara-Ann McLellan; Radiation Oncology
Miller, Kimberley Lauren; Psychiatry
Miller-Monthrope, Yvette   Elouise; Anatomical Pathology, Dermatology
Milosevic, Michael Frederick; Radiation Oncology
Minden, Mark David; Internal Medicine
Minkovich, Leonid   Leizarovich; Anesthesiology
Miropolsky, Vladislav; Diagnostic Radiology
Moga, Rebecca   Ann; Anesthesiology
Mohankumar, Rakesh; Diagnostic Radiology
Monteiro, Eric Anthony; Otolaryngology - Head and Neck Surgery
Morel, Chantal   France Joelle; Medical Genetics and Genomics
Morgan, Matthew William; Internal Medicine
Morita, Jody Shigeo; Psychiatry
Morris, Andrew   Mark; Infectious Diseases, Internal Medicine
Mosher, Pamela   Jane; Psychiatry
Moulton, Carol-Anne   Evelyn; General Surgery
Munce, Nigel Robert; Diagnostic Radiology
Murphy, Kieran Patrick John; Diagnostic Radiology
Murphy, Patricia   Mary; Anesthesiology
Naraghi, Ali Mohammad Faghihi; Diagnostic Radiology
Naser Al-Mobarak, Bassem Issa Mohammed; Anesthesiology
Nasri, Hachem; Internal Medicine
Nesbitt, Gillian   Catherine; Cardiology, Internal Medicine
Nguyen, Geoffrey   Christopher; Gastroenterology, Internal Medicine
Niazi, Ahtsham Uddin; Anesthesiology
Oestreicher, James   Herbert; Ophthalmology
O'Leary, Gerald   Martin; Anesthesiology
O'Malley, Martin Enda; Diagnostic Radiology
Omar, Ahmed Hadi Ali; Rheumatology
O'Sullivan, Brian; Radiation Oncology
Page, Andrea   Vaughn; Infectious Diseases, Internal Medicine
Pakkal, Mini   Vithal; Diagnostic Radiology
Panisko, Daniel   Michael; Internal Medicine
Parekh, Rulan Savita; Nephrology, Pediatrics
Parker, David   John; Cardiology, Internal Medicine
Pasic, Ivan; Internal Medicine, Medical Oncology
Pasternak, Jesse David; General Surgery
Patel, Yashesh; General Internal Medicine, Internal Medicine
Patriquin, Christopher Jordan; Hematology, Internal Medicine
Patsios, Demetris Andrea; Diagnostic Radiology
Peliowski, Arie; Anesthesiology
Pendergrast, Jacob   McGimsey; Hematology, Internal Medicine
Peng, Philip Wenn-Hsin; Anesthesiology
Perkins, Bruce   Joseph Louis Allan; Endocrinology and Metabolism, Internal Medicine
Perlas Fontana, Anahi; Anesthesiology
Perlis, Nathan; Urology
Petroz, Guy   Christian; Anesthesiology
Pilmer, Caileigh Mariko; Family Medicine
Poutanen, Susan   Marie; Infectious Diseases, Internal Medicine, Medical Microbiology
Prabhu, Atul Joseph; Anesthesiology
Prica, Anca Alexandra; Hematology, Internal Medicine
Prince, Rebecca Michelle; Medical Oncology
Quereshy, Fayez   Ahmad; General Surgery
Raman, Srinivas Venkata; Radiation Oncology
Rappaport, Daniel   Charles; Diagnostic Radiology
Rawal, Sapna; Diagnostic Radiology
Reece, Donna Ellen; Internal Medicine
Reedijk, Michael Jan; General Surgery
Reich, Heather   Naomi; Internal Medicine, Nephrology
Retnakaran, Ravi   Rajan; Endocrinology and Metabolism, Internal Medicine
Riazi, Sheila; Anesthesiology
Ridout, Rowena; Endocrinology and Metabolism, Internal Medicine
Ringash, Jolie Gay; Radiation Oncology
Rodin, Danielle Lee; Radiation Oncology
Rodin, Gary   Michael; Psychiatry
Rogalla, Patrik
Romanovsky, Lindy; Geriatric Medicine
Rosen, Cheryl Fern; Dermatology
Rosenberg, Paul   Jonathan; Emergency Medicine
Ross, John Robert; Cardiology, Internal Medicine
Rossos, Peter George; Gastroenterology, Internal Medicine
Rostom, Amr Ibrahim; Family Medicine
Rotstein, Coleman   Michael Frederick; Infectious Diseases, Internal Medicine
Rotstein, Lorne Elliot; General Surgery
Rozenberg, Dmitry; Internal Medicine, Respirology
Ryan, Clodagh Mai; Internal Medicine
Sacher, Adrian Gerold; Internal Medicine, Medical Oncology
Saibil, Samuel David; Internal Medicine, Medical Oncology
Salgueiro Fernandes Marantes Guimaraes, Luis   Armando; Diagnostic Radiology
Salonen, David   Charles; Diagnostic Radiology
Saltman, Alexandra Paige; Internal Medicine, Rheumatology
Samater, Habon; Family Medicine
Sanchez-Guerrero, Francisco Jorge; Internal Medicine, Rheumatology
Sasson, Zion; Cardiology, Internal Medicine
Sauder, Maxwell Benjamin; Dermatology
Sawka, Annie Mary; Endocrinology and Metabolism, Internal Medicine
Scaranelo, Anabel Medeiros; Diagnostic Radiology
Schaafsma, Joanna Danielle; Neurology
Schimmer, Aaron David; Hematology, Internal Medicine
Schmidt, Heidi   Christa; Diagnostic Radiology
Scholey, James William; Internal Medicine, Nephrology
Schuh, Andre Claudius; Hematology, Internal Medicine
Schulz-Quach, Christian; Psychiatry
Schwock, Joerg; Anatomical Pathology
Selby, Rita; Hematology, Internal Medicine
Semple, John Laurie; Plastic Surgery
Seyone, Chanth; Psychiatry
Shachar, Orli Michelle; Family Medicine
Shafiee Nyestanak, Mohammad Ali; Internal Medicine
Shandling, Maureen Ruth; Neurology
Shapera, Shane Michael; Internal Medicine, Respirology
Sharkawy, Abdul   Quadir Ahmed; Infectious Diseases, Internal Medicine
Shaul, Randi   Carol
Sheiner, Jamie   Brenda; Family Medicine
Shepherd, Frances   Alice; Hematology, Internal Medicine
Shlomovitz, Eran; Diagnostic Radiology, General Surgery
Shultz, David Benjamin; Radiation Oncology
Sidhu, Amandeep; Internal Medicine, Respirology
Silver, Frank   Leonard; Neurology
Silverman, Melvin; Internal Medicine, Nephrology
Siminovitch, Katherine   Anne; Internal Medicine, Rheumatology
Simons, Martin   Edward; Diagnostic Radiology
Singer, Lianne Gail; Internal Medicine, Respirology
Singh, Mandeep; Anesthesiology
Siu, Lillian Lai-Yun; Internal Medicine, Medical Oncology
Skliarenko, Julia; Radiation Oncology
Smith, Roger   Macleod Laing
Snyman, Adam   Johannes; Anesthesiology
Sockalingam, Sanjeev; Psychiatry
Sole, Michael   Joseph; Cardiology
Solow, Henry Lucius; Internal Medicine
Somani, Sohel; Ophthalmology
Soneji, Neilesh; Anesthesiology
Sridhar, Srikala   Sujata; Internal Medicine, Medical Oncology
Srinivas, Coimbatore Vasudevamoorthy; Anesthesiology
St George-Hyslop, Peter   Henry; Internal Medicine, Neurology
Stall, Nathan Morton; Geriatric Medicine, Internal Medicine
Stanbrook, Matthew Joel Buchanan; Internal Medicine, Respirology
Steiman, Asenath; Geriatric Medicine
Steinhart, Allan   Hillary; Gastroenterology, Internal Medicine
Strafella, Antonio   Paolo; Neurology
Sturgeon, Jeremy Ferdinand George; Internal Medicine, Medical Oncology
Styra, Rima Genovaite; Psychiatry
Sullivan, Michael   E.; Anesthesiology
Sun, Alexander   Yi-Jen; Radiation Oncology
Swallow, Carol Jane; General Surgery
Sweet, Joan Marian; Anatomical Pathology
Szentgyorgyi, Eva   Maria; Anatomical Pathology
Tai, Peter Chung; Neurology
Tanzer, Herbert; Ophthalmology
Tardif, Gaetan; Physical Medicine and Rehabilitation
Tenenbein, Paul Kevin; Anesthesiology
Ter Brugge, Karel Gerard; Diagnostic Radiology
Thompson, Gregory Kenneth
Thyagu, Santhosh; Hematology
Tiedemann, Rodger Edwin; Medical Oncology
Toi, Ants; Diagnostic Radiology
Torres, Felipe Soares; Diagnostic Radiology
Trudel, Suzanne Marie; Hematology, Internal Medicine
Tsang, Derek Siu Chung; Radiation Oncology
Tsang, Maisie Mei-Shi; Anesthesiology
Tsang, Wing   Chi
Tsoi, Kim; Orthopedic Surgery
Urowitz, Murray   Barry; Internal Medicine, Rheumatology
Vaisman, Alon; Infectious Diseases, Internal Medicine
van der Kwast, Theodorus   Hendricus; Anatomical Pathology
van Rensburg, Adriaan   Esias; Anesthesiology
Varadi, Robert Gabriel; Internal Medicine, Respirology
Veit-Haibach, Patrick; Diagnostic Radiology, Nuclear Medicine
Venkat Raghavan, Lakshmikumar; Anesthesiology
Verbeeten, Karen Michelle; Diagnostic Radiology, Nuclear Medicine
Vescan, Allan   Dave; Otolaryngology - Head and Neck Surgery
Viswabandya, Auro; Hematology, Internal Medicine
Volling, Cheryl Ann; Infectious Diseases, Internal Medicine
Waddell, Thomas   Kenneth; General Surgery, Thoracic Surgery
Waldron, John Nicholas; Radiation Oncology
Wang, Jean Chuen Yi; Hematology, Internal Medicine
Ward, Richard; Hematology
Warde, Padraig   Richard Dominic
Weaver, Donald   Fredric; Neurology
Weind Matthews, Kirsten Lisa; Diagnostic Radiology
Weinreb, Ilan; Anatomical Pathology
Weisbrod, Daniel   Joshua; Ophthalmology
Weisbrod, Gordon Lloyd; Diagnostic Radiology
Wells, Woodrow Alfred; Internal Medicine, Radiation Oncology
Wennberg, Richard Arnold; Neurology
White, Lawrence   Marshall; Diagnostic Radiology
Willinsky, Robert Alan; Diagnostic Radiology
Wintersperger, Bernd Juergen; Diagnostic Radiology
Wither, Joan Elizabeth; Internal Medicine, Rheumatology
Witterick, Ian James; Otolaryngology - Head and Neck Surgery
Wolman, Stephen   Laurie; Gastroenterology, Internal Medicine
Wong, Jason   Chun-Hang; Radiation Oncology
Wong, Kwok   Sum Rebecca; Radiation Oncology
Wong, Philip Kar Fai; Radiation Oncology
Woodside, Donald Blake; Psychiatry
Wu, Melinda  Yung-Shen; Family Medicine
Wu, Peter E; Clinical Pharmacology and Toxicology, Internal Medicine
Wu, Robert Clark; Internal Medicine
Wunder, Jay   Steven; Orthopedic Surgery
Yasufuku, Kazuhiro; Thoracic Surgery
Yee, Karen Wai Ling; Hematology, Internal Medicine
Youngson, Bruce James; Anatomical Pathology
Yu, Eric   Ho Cheung; Internal Medicine
Zhang, Cathy; Family Medicine
Zimmermann, Camilla Cora Ulrica; Internal Medicine
Zinman, Bernard; Endocrinology and Metabolism, Internal Medicine
Zlotta, Alexandre   R; Urology
