Abbas, Minan; Endocrinology and Metabolism, Internal Medicine
Fotheringham, Mary Elizabeth; Emergency Medicine
Foxcroft, Laura   Charlene; Family Medicine, Family Medicine (Emergency Medicine)
Fraser, John   Alexander; Neurology
Freeman, Jeffrey   Maximilian; Family Medicine, Family Medicine (Emergency Medicine)
Freeman, Thomas   Robert; Family Medicine
Fujii, Satoru; Anesthesiology
Fuller, John   Geoffrey; Anesthesiology
Fung, Kevin; Otolaryngology - Head and Neck Surgery
Fuss, Jeffrey   William; Emergency Medicine
Gabriel, Joseph; Family Medicine
Gabril, Manal Youssef; Anatomical Pathology
Gan, Bing   Siang; Plastic Surgery
Gandhi, Mandark Sudhirkumar; Gastroenterology, Internal Medicine
Gannon, Kathleen   Elizabeth; Family Medicine
Garg, Pallav; Cardiology, Internal Medicine
Gelinas, Jill Marie Jacqueline; Orthopedic Surgery
Getgood, Alan   Martin John; Orthopedic Surgery
Geukers, Karen Lindsay; Internal Medicine
Ghate, Gauri; Emergency Medicine
Giffin, James   Robert; Orthopedic Surgery
Gilbert, Kenneth; Internal Medicine
Gillis, Joshua   Allan; Plastic Surgery
Giraldo Arismendy, Javier Mauricio; Anesthesiology
Gob, Alan; Hematology, Internal Medicine
Goebel, Emily Anne; Anatomical Pathology
Goela, Aashish; Diagnostic Radiology
Gofton, Teneille   Emma; Neurology
Goldszmidt, Mark   Andrew; Internal Medicine
Gomez Lemus, Jose   Alejandro; Anatomical Pathology
Gonder, John   Russell; Ophthalmology
Gonzalez Valencia, Nelson Javier; Anesthesiology
Goodman, Robert Leslie; Cardiovascular and Thoracic Surgery, General Surgery
Gordon, Neil; Anesthesiology
Graham, Marie Elise Roebuck; Otolaryngology - Head and Neck Surgery
Grant, Aaron   Leigh; Plastic Surgery
Granton, Jeffrey   Thomas; Anesthesiology, Critical Care Medicine
Gray, Daryl Kenneth; General Surgery
Gregor, James   Christopher; Gastroenterology, Internal Medicine
grewal, ruby; Orthopedic Surgery
Grigore, Emil-Vasile
Gros, Michelle   Louise; Anesthesiology
Grushka, Daniel   Henry; Family Medicine, Family Medicine (Emergency Medicine)
Gryn, Steven   Ely; Clinical Pharmacology, Internal Medicine
Gula, Lorne   Jeffrey; Cardiology, Internal Medicine
Gulka, Irene Billie; Diagnostic Radiology
Guo, Lin-Rui; Cardiac Surgery
Gurr, Kevin Robert; Orthopedic Surgery
Hackam, Daniel   Gidon; Internal Medicine
Haddad, Richard Gordon; Diagnostic Radiology
Haddara, Wael   Mahmoud; Critical Care Medicine, Endocrinology and Metabolism, Internal Medicine
Hahn, Karin   Marie Elizabeth; Internal Medicine, Medical Oncology
Haig, Sara Lynn; Internal Medicine, Rheumatology
Hall, Patricia Anne; Psychiatry
Hames, Heather Elizabeth; Emergency Medicine
Haney, Elizabeth Anne; Family Medicine, Family Medicine (Emergency Medicine)
Haque, Azizul; Psychiatry
Harle, Christopher   Coswald; Anesthesiology
Harris-Schulz, Kyra Domini; Family Medicine
Hassani, Behzad; Family Medicine, Family Medicine (Emergency Medicine)
Hawel, Jeffrey David; General Surgery
Hawthorne, Diane   Wendy; Family Medicine
Hebb, Matthew Olding; Neurosurgery
Hegazy, Ahmed Fathy Mohamed; Anesthesiology, Critical Care Medicine
Hegele, Robert   Alexander; Endocrinology and Metabolism, Internal Medicine
Herrick, Ian Alexander; Anesthesiology
Hilsden, Richard; General Surgery
Ho, Derek   Cheney; Diagnostic Radiology
Hocking, David Gregory; Diagnostic Radiology
Hodge, William   Gerald; Ophthalmology
Hommel, Joel Patrick; Family Medicine
Honarmand, Kimia; Critical Care Medicine, Internal Medicine
Hoogstra, Jason Andrew; Anesthesiology
Horne, Jonathan   Baird
Hosseini Moghaddam, Seyed   Mohammadmehdi; Infectious Diseases
House, Andrew Alfred; Internal Medicine, Nephrology
Howard, James   Layton; Orthopedic Surgery
Howard, Jessica Catherine; Family Medicine
Howard, Peter   Robert Stuart; Diagnostic Radiology
Howlett, Christopher   Jon; Anatomical Pathology
Huda, Noureen; Internal Medicine
Hugel, Nicole Alysia; General Internal Medicine, Internal Medicine
Huitema, Ashlay Anne; Cardiology, Internal Medicine
Hunter-Orange, Jessica Marion; Family Medicine
Husein, Murad; Otolaryngology - Head and Neck Surgery
Hussain, Nadeem Ayaz; Gastroenterology, Internal Medicine
Huynh, Melissa Jessica; Urology
Hwang, Yesul; Family Medicine
Iglesias, Ivan   Ramon; Anesthesiology
Inculet, Richard   Ion; General Surgery, Thoracic Surgery
Islam, Ali; Diagnostic Radiology
Iyer, Hariharan   Subramaniam; Nephrology
Izawa, Jonathan   Iwao; Urology
Jablonsky, George; Cardiology
Jackson, Cody   Seth; Family Medicine
Jacques, Rebekah Dawn; Anatomical Pathology, Forensic Pathology
Jain, Shilpa Ruchi; Infectious Diseases, Internal Medicine
Jairath, Vipul; Gastroenterology, Internal Medicine
Jan, Saadia Hameed; Family Medicine
Jeimy, Samira; Clinical Immunology and Allergy, Internal Medicine
Jenkins, Mary Ethel; Neurology
Jevnikar, Anthony   Michael; Internal Medicine
Jevremovic, Tatiana; Family Medicine, Family Medicine (Emergency Medicine)
Jog, Mandar   Shrikrishna; Neurology
Johnson, John Francis; Internal Medicine, Nephrology
Jolly, Umjeet   Singh; Cardiology, Internal Medicine
Jones, Andrew   Edward; Emergency Medicine
Jones, Emily Bentley; General Internal Medicine, Internal Medicine
Jones, Philip   Matthew Glyn; Anesthesiology
Jones, Sarah   Ann; General Surgery, Pediatric General Surgery
Joseph, Mariamma George; General Pathology
Joseph, Steven Randall; Family Medicine
Joubert, Gary   Ivan Edmond; Pediatrics
Joy, Tisha Rosalin; Endocrinology and Metabolism, Internal Medicine
Kafil, Tahir Syed; Internal Medicine
Kane, Aditi Prashant; Family Medicine
Kane, Sheri-Lynn Catherine; Geriatric Medicine, Internal Medicine
Kao, Raymond Liang-Chiyu; Internal Medicine
Kaschor, Brenna  Ann; Family Medicine
Kashgari, Alia Yousif Ashour; Internal Medicine, Respirology
Kassam, Zahra   Mansur; Diagnostic Radiology
Katsiris, Sandra   Elaine; Anesthesiology
Kazi, Soofia Labeed; Family Medicine
Keshmirian, Jalal; Family Medicine
Khalaf, Roy; Anesthesiology
Khan, Tayyab Sami; Endocrinology and Metabolism, Internal Medicine
Khanna, Nitin Verinder; Gastroenterology, Internal Medicine
Khanna, Reena; Gastroenterology, Internal Medicine
Khaw, Alexander Volker; Neurology
Kim, Harold   Leeyonge; Clinical Immunology, Internal Medicine
Kim, Richard Brian; Internal Medicine
King, Graham  John Winsor; Orthopedic Surgery
Klein, George   Joseph; Cardiology, Internal Medicine
Kling, Stacie; Family Medicine
Knowles, Sarah Angela; General Surgery
Koivu, Sharon   Louise; Former Name: Hertwig, Sharon Louise
Koudys, Deborah   Mary; Family Medicine
Kovacs, Michael   Joseph; Hematology, Internal Medicine
Kozak, Roman Iwan; Diagnostic Radiology
Kribs, Stewart   Wayne; Diagnostic Radiology
Kumar, Hullur   Vijaya; Psychiatry
Kuprowski, Mark Christopher; Clinical Immunology and Allergy, Internal Medicine
Kuruvilla, Mridula   Sara; Internal Medicine, Medical Oncology
Kwan, Keith Fee; General Pathology
Lacerte, Michel; Physical Medicine and Rehabilitation
Laidley, David Thomas; Nuclear Medicine
Lam, Jason Chi-Shing; Family Medicine
Landau, John Harold; Critical Care Medicine, Vascular Surgery
Lanius, Ruth Anne; Psychiatry
Lanting, Brent Andrew; Orthopedic Surgery
Larocque, Brian Joseph; Internal Medicine
Lavi, Ronit; Anesthesiology
Lavi, Shahar; Cardiology, Internal Medicine
Lazo Langner, Alejandro; Hematology, Internal Medicine
Leasa, David John; Internal Medicine, Respirology
LeBel, Marie-Eve; Orthopedic Surgery
Lee, Donald   Heaton; Diagnostic Radiology
Lee, Jason J; Internal Medicine, Rheumatology
Lee, Kenneth   William
Leeper, William   Robert; General Surgery
Lefcoe, Daniel   Hugh; Psychiatry
Leger, Daniel; Family Medicine
Lenehan, John Gordon; Internal Medicine, Medical Oncology
Leong-Sit, Peter   Pak-Kian; Cardiology, Internal Medicine
Leslie, Kenneth   Anderson; General Surgery
Leung, Andrew   Edward; Diagnostic Radiology
Leung, Stephanie Elaine; Diagnostic Radiology
Levin, Simon   David; Pediatrics
Lewell, Michael Peter; Emergency Medicine
Lewis, James Franklin; Internal Medicine, Respirology
Li, Bo; Ophthalmology
Licskai, Christopher   James; Internal Medicine, Respirology
Lin, Tony Kuang Yu; Ophthalmology
Litchfield, Robert   Bruce; Orthopedic Surgery
Liu, Selina Laura; Endocrinology and Metabolism, Internal Medicine
Lock, Michael   Ian; Family Medicine, Radiation Oncology
Lockhart, Michelle   Anne; Family Medicine
Logan, Diane   Mary; Internal Medicine, Medical Oncology
Loh, Eldon; Physical Medicine and Rehabilitation
Lohmann, Reinhard   Christian; Hematology, Internal Medicine
Lotfy, Khaled Hany Abdelsalam; Internal Medicine, Nephrology
Loubani, Tarek Mahmoud; Family Medicine
Louzada, Martha  de Lacerda; Hematology, Internal Medicine
Lownie, Stephen Patrick Murray; Neurosurgery
Luckett-Gatopoulos, Sarah Elizabeth Anastasia; Emergency Medicine
Ludwig, Nathan Scott; Anesthesiology
Luke, Patrick   Pak Wai; Urology
Lum, Pooitsing   Andrea; Diagnostic Radiology
Lyons, Laura   Myerling Isabel; Family Medicine
Macaluso, Steven; Physical Medicine and Rehabilitation
MacDonald, Christine Anne; Family Medicine, Family Medicine (Emergency Medicine)
Macdonald, David   Roy; Neurology
MacDonald, Penny Anne; Neurology
MacDonald, Steven James Michael; Orthopedic Surgery
MacDougall, Arlene Greer; Psychiatry
MacDougall, Keith   William; Neurosurgery
Maciver, Allison Heather; General Surgery, General Surgical Oncology
Mack, Peter   Haworth; Anesthesiology
Mackenzie, Constance Alexa; Clinical Pharmacology, Internal Medicine, Respirology
MacNeil, Stephanie Danielle; Otolaryngology - Head and Neck Surgery
Mahmoud, Mohamed Ahmed Shaker; Family Medicine
Mahngar, Kevinjeet Singh; Family Medicine, Family Medicine (Emergency Medicine)
Mahon, Jeffrey Lewis; Internal Medicine
Mai, Joseph   Anthony
Mai, Lauren Marie; Neurology
Makhdoom, Sohail; Child and Adolescent Psychiatry
Malthaner, Richard   Adam; General Surgery, Thoracic Surgery
Malu, Doosuur David; Family Medicine
Mandzia, Jennifer Lee; Neurology
Mangel, Joy Elise; Hematology, Internal Medicine
Manian, Usha Deivanai; Cardiology, Internal Medicine
Manlucu, Jaimie; Cardiology, Internal Medicine
Marbeen, Melad Ideen; Family Medicine
Marchuk, Graeme George; Neurosurgery
Markovic, Nevena; Neurology
Marmai, Kristine   Louise; Anesthesiology
Marotta, Paul Joseph; Gastroenterology, Internal Medicine
Martin, Claudio   Marcelo; Internal Medicine
Martin, Rene Francis; Family Medicine
Maruncic, Michael Anthony; Obstetrics and Gynecology
Mathew, Andrew Luka; Cardiology, Internal Medicine
Matic, Damir; Plastic Surgery
Matusa, Elena; Family Medicine
Maxwell, Howard   Brent; Emergency Medicine
Mayich, Michael Steven; Diagnostic Radiology
McAlister, Vivian   Charles; General Surgery
McBride, Simon   Peter
McCabe, Gregory Paul; Anesthesiology
McCalden, Richard   William; Orthopedic Surgery
McCarty, David; Cardiology, Internal Medicine
McCauley, William   Alan; Emergency Medicine
McConnell, Allison Heather; Emergency Medicine
McCormack, David   George; Internal Medicine, Respirology
McDonald, Charlotte   Gabrielle; Endocrinology and Metabolism, Internal Medicine
McGee, Jacob David; Obstetrics and Gynecology
McIntosh, Keith Steven; Gastroenterology, Internal Medicine
McIntyre, Christopher William; Internal Medicine, Nephrology
McKay, Scott   Douglas; Family Medicine
McKelvie, Robert Samuel; Cardiology, Internal Medicine
McKenna, Manjot Kaur; Family Medicine
McKeough, William   Paul; Family Medicine
McKillop, Scott Douglas; Diagnostic Radiology
McLachlan, Richard   Scott; Neurology
McLachlin, Catherine   Margaret; Anatomical Pathology
McManus, Ruth   Marie; Endocrinology and Metabolism, Internal Medicine
McNair, Susan   Margaret
McNamara, Jeffrey James; Anesthesiology
McNeil, Ceara Jean; Family Medicine, Family Medicine (Emergency Medicine)
McPherson, Terrence Patrick; Cardiology, Internal Medicine
Megyesi, Joseph Frank; Neurosurgery
Mehta, Sanjay; Internal Medicine, Respirology
Mehta, Viraj; Psychiatry
Meiwald, Allison   Louise; Emergency Medicine
Mele, Tina Stefania; General Surgery
Mendel, Simone Aviva; Internal Medicine
Merchea, Man   Mohan; Ophthalmology
Millard, Wanda Marie; Emergency Medicine
Miller, Thomas Allen; Physical Medicine and Rehabilitation
Milne, Kathleen Barnett; Family Medicine
Mintsoulis, Danielle   Christina; Family Medicine
Mirsattari, Seyed Mohammad; Neurology
Mirza, Zoya Ashar; Family Medicine
Moffat, Bradley Stewart; General Surgery
Mok, Andrea   Hon-Yee; Family Medicine
Montero Odasso, Manuel   Maria; Geriatric Medicine, Internal Medicine
Moore, Corey Curtis; Otolaryngology - Head and Neck Surgery
Moore, Phyllis   Mary; Internal Medicine
Morrison, Deric James; Endocrinology and Metabolism, Internal Medicine
Morrison, Stephen   Theodor; Anesthesiology
Morrow, Sarah Anne; Neurology
Motolko, Michael; Ophthalmology
Moulin, Dwight   Emmerson; Neurology
Moussa, Madeleine; Anatomical Pathology
Mrkobrada, Marko; Internal Medicine
Muirhead, Norman; Internal Medicine
Mujoomdar, Amol; Diagnostic Radiology
Munro, David   Scott
Mura, Marco; Internal Medicine, Respirology
Murkin, John   Michael; Anesthesiology
Murphy, David   Gerard; Emergency Medicine
Muscedere, Giulio; Diagnostic Radiology
Myers, Kathryn Ann; Internal Medicine
Myers, Mary Lee; Cardiovascular and Thoracic Surgery, General Surgery
Myslik, Frank Ernest; Family Medicine, Family Medicine (Emergency Medicine)
Nachnani, Mahesh Kumar; Psychiatry
Nagappa, Mahesh; Anesthesiology
Nagpal, Atul Dave; Cardiac Surgery, Critical Care Medicine
Naudie, Douglas de Lotbiniere; Orthopedic Surgery
Nayak, Rahul; General Surgery, Thoracic Surgery
Neely, Sara Margaret; Family Medicine
Nelham, Mark   William
Newton, Peter   Timothy; Anesthesiology
Ng, Victor Kar Ho; Family Medicine, Family Medicine (Emergency Medicine)
Ng, Wai   Pui; Neurosurgery
Ngungu, Jedrin; Psychiatry
Nichols, Anthony   Charles; Otolaryngology - Head and Neck Surgery
Nichols, Bruce   David; Ophthalmology
Nicholson, John Michael Ross; Internal Medicine, Respirology
Nicolaou, Georghios; Anesthesiology
Nicolle, Michael   Wade; Neurology
Nielsen, Harry William; Family Medicine
Nimir, Asim Babo; Internal Medicine
Ninan, Ajit Thyparampil; Child and Adolescent Psychiatry, Psychiatry
Noftle, Brooke Malcolm Edward; Family Medicine
Noppens, Ruediger   Robert; Anesthesiology
Okusanya, Olanrewaju   Olatunji; Orthopedic Surgery
Omidvar, Vida; Family Medicine
O'Riordan, Ailbhe Elaine; Diagnostic Radiology
Orsini, Silvia   Antonella; Family Medicine
Osuch, Elizabeth Ann; Psychiatry
Oswald, Tyler   Benjamin; Anesthesiology
Ouellette, David   William; Critical Care Medicine, Emergency Medicine
Ower, Katherine   Mary; Anesthesiology
Palaniyappan, Lena Kathiravan; Psychiatry
Papoff, Wayne   Joseph; Diagnostic Radiology
Paradis, Josee   Anne; Otolaryngology - Head and Neck Surgery
Parent, Maria   Margaret; Family Medicine
Parfitt, Jeremy   Roderick; Anatomical Pathology
Park, Andrew Jong-Won; Family Medicine, Family Medicine (Emergency Medicine)
Parnes, Lorne   Stephen; Otolaryngology - Head and Neck Surgery
Parrent, Andrew Gerard; Neurosurgery
Parry, Neil   Geordie; General Surgery
Parsyan, Armen; General Surgery
Pasternak, Stephen   Howard; Neurology
Patel, Nisarg Ashokbhai; Family Medicine, Family Medicine (Emergency Medicine)
Paul, Terri   Louise; Endocrinology and Metabolism, Internal Medicine
Pautler, Stephen Edward; Urology
Pavlosky, William   Frank; Diagnostic Radiology, Nuclear Medicine
Payne, Michael Kenneth; Medical Microbiology
Payne, Sonja Marie; Anesthesiology
Peckan, Catherine   Margaret; Family Medicine
Peddle, Michael   Bernard; Emergency Medicine
Peirce, Michael William Koppens; General Internal Medicine, Internal Medicine
Pelz, David   Michael; Diagnostic Radiology
Perera, Francisco   Elmer; Radiation Oncology
Perrier, Nicole Marie; Family Medicine
Persaud, Ganeshwar; Family Medicine
Phung, Linh Mai Marilyn; General Internal Medicine, Internal Medicine
Piche, Lawrence   Conrad
Pickering, John   Geoffrey; Cardiology, Internal Medicine
Pillon, Sylvia Marta; Family Medicine, Family Medicine (Emergency Medicine)
Ponich, Terry Peter; Gastroenterology, Internal Medicine
Pope, Janet   Elizabeth; Internal Medicine, Rheumatology
Powe, Laura Catherine Inglis; Psychiatry
Power, Adam Howard; General Surgery, Vascular Surgery
Power, Nicholas Edgar; Urology
Prasad, Chitra; Pediatrics
Prefontaine, Michel E.; Obstetrics and Gynecology
Price, Jeffrey Scott; Family Medicine
Price, Laura Annaleis; Emergency Medicine
Pringle, Derrick John; Emergency Medicine
Priyadamkol, Chevy; Family Medicine
Proulx, Alain Arthur; Ophthalmology
Puentes Beltran, Wilfredo; Anesthesiology
Putzer, Darryl Arthur; Family Medicine
Pylypiak, Andrew   Stephen; Family Medicine
Quan, Douglas; General Surgery
Quantz, Mackenzie Alexander; Cardiothoracic Surgery
Quinn, Jason James; Forensic Psychiatry, Psychiatry
Rachinsky, Maxim; Anesthesiology
Rahman, Adam   Nafizur; Gastroenterology, Internal Medicine
Railton, Craig James; Anesthesiology
Rajarathinam, Manikandan; Anesthesiology
Rammal, Almotasembillah Abdulaziz M; Gastroenterology, Internal Medicine
Ramsay, David Alastair; Neuropathology
Ramsewak, Darryl Winston; Diagnostic Radiology
Ranger, Adrianna   Mary; Neurosurgery
Rayman, Reiza
Razvi, Hassan; Urology
Reardon, Rachel Ann Miller; Physical Medicine and Rehabilitation
Regan, Kelly   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Rehman, Faisal; Internal Medicine, Nephrology
Reichert, Sonja   Maria; Family Medicine
Reid, Robert   Henderson; Nuclear Medicine
Reisman, William Jed; Internal Medicine, Respirology
Reiss, Jeffrey Perry; Psychiatry
Richards, Robert   Stanley; Plastic Surgery
Richardson, Christine   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Rieder, Michael   John; Pediatrics
Riggan, Morgan Anne Alexina; Emergency Medicine
Roberts, Jason   David; Cardiology, Internal Medicine
Robinson, Helen   Marie; Family Medicine
