Abdulhussein, Rahim; Family Medicine
Govindarajulu, Arun Prasad; Anesthesiology
Greenwald, Ilana Rachel; Family Medicine
Grenier, Jasmine; Internal Medicine
Grigoriou, Lana   Lambrini; Emergency Medicine
Guerra Paez, Jose Guillermo; Orthopedic Surgery
Guo, Ray; Critical Care Medicine, Internal Medicine
Gupta, Aparna; Neurology
Gupta, Maneesh   Kumar; Diagnostic Radiology
Habert, Jeffrey   Steven; Family Medicine
Han, Mihan; Internal Medicine
Harfa, Leah; Anesthesiology
Hawling, Christopher   Andrew; Anesthesiology
Hazrati, Ali; General Surgery
Heiber, Michael J.; Family Medicine
Henen, Raafat Naguib Ibrahim; Ophthalmology
Henis, Mohsen Shenouda Hanna; Family Medicine
Ho Ping Kong, Wayne; Internal Medicine
Hoffman, Nicola Alexandra; General Surgery
Ho-Tai, Lily   Marie; Anesthesiology
Hsu, Vivienne; Anesthesiology
Hu, William
Huang, Henry; Otolaryngology - Head and Neck Surgery
Huang, Louis; Anesthesiology
Hum, Annie; Emergency Medicine
Hurowitz, Eric Ephraim; Gastroenterology, Internal Medicine
Hwang, Mei Lump-Mee
Ibrahim, Salwa   Nasry Kamel; Family Medicine
Irvine Chamberlain, Leanne Beverly; Family Medicine
Islam, Nabiha Tanzim; Internal Medicine
Jain, Padma
Jamensky, Neil   Thomas; Anesthesiology
Jegatheeswaran, Rajadurai; Obstetrics and Gynecology
Jia, Susan Zhaoyuan; Obstetrics and Gynecology
Jibodh, Rawle Mcpherson; Obstetrics and Gynecology
Jindal, Vinay Kumar; Family Medicine, FCFP - Family Medicine
John, Susan; Infectious Diseases, Internal Medicine
Kalaichandran, Indrani; Anesthesiology
Katz, David Leslie; Critical Care Medicine, Internal Medicine
Katz, Kevin   Carl; Infectious Diseases, Internal Medicine, Medical Microbiology
Kay, Stephanie Michelle; Pediatrics
Ke, Calvin Herman; Endocrinology and Metabolism, Internal Medicine
Keen, Jessica Diane; Infectious Diseases, Internal Medicine
Kelton, Timothy   Jon; Family Medicine, Family Medicine (Emergency Medicine)
Kerlow, Thomas   Nicholas; Family Medicine
Khabbaz, Samir; Family Medicine
Khithani, Anil   Kanayalal; Family Medicine, FCFP - Family Medicine
Kim, Godfrey Jae Hyun; Diagnostic Radiology
Knight, Jeffrey Davis; Anesthesiology
Ko, Gordon   Dickman; Family Medicine, Family Medicine (Emergency Medicine), Physical Medicine and Rehabilitation
Ko, Samuel; Obstetrics and Gynecology
Kodsi, Sherif   Shafik
kohli, kapil; Family Medicine
Kong, Kester; Internal Medicine, Neurology
Kou, Brenda Sharon Hsiao-Mei; Otolaryngology - Head and Neck Surgery
Kranemann, Christoph Friedrich; Ophthalmology
Kreidstein, Michael   Lloyd; Plastic Surgery
Kruczynski, Krystyna   Helen; Internal Medicine
Kurrek, Matt  Marcus; Anesthesiology
Kurup, Asha; Obstetrics and Gynecology
Kwan, Irene Ka Wai
Kwok, Eva; Internal Medicine, Respirology
Kwong, Charles Kwok Fai
Kwong, Wilson Wing-Jun; Internal Medicine
Lam, Irina Chung Yuk
Lamorena, Kristine; Family Medicine
Landy, Joshua Samuel; Critical Care Medicine, Internal Medicine
Latham, Warren   Cameron Wigmore; Orthopedic Surgery
Lau, Lawrence   Chun Yip; Anesthesiology
Lau, Paul; Internal Medicine, Medical Oncology
Lau, Yok   Ming
Lauwers, Albert   Edward; Family Medicine
Law, David To Sang; Family Medicine
Law, Hugo   Kwok Cheung
Law, Lorraine To; Critical Care Medicine, General Surgery
Lazongas, Chris; Clinical Pharmacology and Toxicology, Critical Care Medicine, Internal Medicine
Le, Brian Binh Ba Hai; Internal Medicine
Lee, Annesse Yoomee; Otolaryngology - Head and Neck Surgery
Lee, Benjamin   King Bun
Lee, Edward; Diagnostic Radiology, Nuclear Medicine
Lee, Julietta Chee Ting; Internal Medicine, Rheumatology
Lee, Kenneth; Anesthesiology
Lee, Matthew Hyung
Lefebvre, Jeanne Marie Jacqueline; Internal Medicine
Leong, Shaun Wai Hong; Internal Medicine
Leung, Andrea   Karen; Ophthalmology
Leung, James   Chi Kay; Family Medicine
Leung, Terence Luen Ngok
Leung, Winnie   Wing-Chi; General Surgery
Li, Ann Lih-Ing; Family Medicine, FCFP - Family Medicine
Li, Christopher Wing-Hay; Cardiology, Internal Medicine
Li, Kan Wen; Family Medicine
Li, Sisi; Family Medicine
Li, Zeyu; Family Medicine
Liao, Walter Nathan; Ophthalmology
Lim, Teddy   Andrew; Anesthesiology
Ling, Michael   Chi-Yen; Cardiology, Internal Medicine
Liu, Fay Fee Voon; Former Name: Liu, Fee Voon
Lo, Christina   Ka Yee; Family Medicine
Logarakis, Nick   Frank; Urology
Lovinsky, Reena; Infectious Diseases, Internal Medicine
Lowe, David   Winston Watson; Psychiatry
Lu, Grant   Shao Tsung; Anesthesiology, Family Medicine
Lu, Ying; Ophthalmology
Luk, Alan   Lai-Lun; Family Medicine
Lukowski, Anna Leokadia; Internal Medicine
Ly, Joseph   Pang Hoi; Internal Medicine, Nephrology
Lynde, Charles Walter; Dermatology
Lysy, Zoe   Claire; Endocrinology and Metabolism, Internal Medicine
Mah, Michael   Bar Chun; Diagnostic Radiology
Mahesan, Sivagnanam; Family Medicine
Majl, Lance   Brian; Internal Medicine, Neurology
Mak, Peter Ho Kwong; Anesthesiology
Makkar, Gurcharan   Kaur
Malik, Nariman; Anesthesiology
Malkin, Lilia; Family Medicine, Family Medicine (Emergency Medicine)
Mandelbaum, Saul   Harry; General Surgery
Marcarian, Berge; Otolaryngology - Head and Neck Surgery
Marcus, Sandra   Anne
Mark, Douglas   John
Masellis, Antony
Maser, Joel   Elliot; Internal Medicine
Mauer, Martin   Bernard; Anesthesiology
McMillan, Alexandra Elizabeth; Critical Care Medicine, Internal Medicine
Medina, Xavier Velazco
Miller, James Marcus; Anesthesiology
Min, Frank; Anesthesiology, Critical Care Medicine
Minz, Lorna   Bela Hinda; Otolaryngology - Head and Neck Surgery
Mong, Jonathan Choon-Haw; Internal Medicine
Moosavian, Mona; Internal Medicine
Moran, Nancy Isabel; Anesthesiology
Moss, Miriam Ann; Family Medicine
Mounsey, Robert   Arundel; Otolaryngology - Head and Neck Surgery
Muallim, Carol; Family Medicine
Murphy, John   Paul; Diagnostic Radiology
Nallapaneni, Sailaja   Puttagunta; General Surgery
Nashid, Nancy; Infectious Diseases, Pediatrics
Nazareno, Janice   Jie Yang; Diagnostic Radiology, Nuclear Medicine
Neu, Sarah Ruth Lena; Urology
Ng, David Professional; Family Medicine, Psychiatry
Ng, Ken Hiu Ming
Ng, Nelly   Wing Kwong
Ng, Raymond Hin Wai; Otolaryngology - Head and Neck Surgery
Nguyen, Hoa Phuc; Psychiatry
Nijmeh, Larry   John; Family Medicine
Nijmeh, Paul; Family Medicine
Niles, Kirsten Marijke; Maternal Fetal Medicine, Obstetrics and Gynecology
Nitkin, Robert   Shane; Cardiology, Internal Medicine
Nkansah, John; Psychiatry
Norman, Nadine  Elizabeth; General Surgery
Noroozi, Nastaran; Hematology, Internal Medicine
Noticewala, Neelam Natverlal; Pediatrics
Novakovic, Petar; Family Medicine
Nwachukwu, Ikechukwu   Chimeziri; Psychiatry
Ocampo, Vanessa; Internal Medicine, Rheumatology
Oliver, Susan   Lee
Organek, Andrew Jordan; Family Medicine, Family Medicine (Emergency Medicine)
Orner, Abraham Isaac; Family Medicine
Palcu, Sorin; Family Medicine
Pang, Peter Sair-On
Panos, Leonidas Larry; Anesthesiology
Parekh, Neal   Ashok; Neurology
Partridge, Michael   Alan Craig; Family Medicine, Family Medicine (Emergency Medicine)
Patel, Harshna; Gastroenterology, Internal Medicine
Patyk, Izabella Anna; Psychiatry
Pennington, Jason   John; General Surgery
Peto, John Janos; Geriatric Medicine, Internal Medicine
Pinto, Rovina Fiona; Emergency Medicine
Pinto, Tanya Rita; Geriatric Psychiatry, Psychiatry
Plant, Howard   Michael
Polidoulis, Irene; Family Medicine
Prieditis, Markus   Paul; Diagnostic Radiology
Pulle, Garret   Francis; Critical Care Medicine, Emergency Medicine
Punjani, Yasmeen Ali Bhai; Internal Medicine
Purewal, Bhupinder   Singh
Qin, Jing; Obstetrics and Gynecology
Rabinovitch, Jed; Ophthalmology
Rabinovitch, Samuel Mark; Diagnostic Radiology
Raghubir, Kushal   Vinod; Pediatrics
Rajakumar, Gwendoline Shalini; Family Medicine
Rajendra, Jegapathy; Psychiatry
Ramanathan, Usha; Neurology
Rambihar, Vivian Srinivas; Cardiology, Internal Medicine
Ramkissoon, Sachin Terrance; Family Medicine, Family Medicine (Emergency Medicine)
Rana, Afshan Nazli; Internal Medicine, Medical Oncology
Rana, Ranjit   Singh; Former Name: Singh, Ranjit
Rathee, Rajinder Singh; Ophthalmology
Ravichandiran, Mayoorendra; Family Medicine
Reardon, Peter Mark Stephen; Critical Care Medicine, Emergency Medicine
Reinglas, Jason Morris; Gastroenterology, Internal Medicine
Ren, Jian   Zhong; Anatomical Pathology
Reynolds, Donna   Louise; Community Medicine, Family Medicine
Rose, David   Barry; Internal Medicine
rosenberg, david  Samuel
Rosenbloom, Andrea; Cardiology, Internal Medicine
Rosenthal, Gary   Alan; General Surgery
Roth, Nathan   Lewis; Obstetrics and Gynecology
Rumack, Eric   Robert; Family Medicine
Rusen, Jamie Leon; Orthopedic Surgery
Rutherford, Colette   Marie; Obstetrics and Gynecology
Sadat, Sabreena; Endocrinology and Metabolism, Internal Medicine
Sahota, Inderjeet Singh; Family Medicine
Sahyoun, Hani   Neguib Ibrahim; Psychiatry
Salamon, Lisa; Family Medicine, Family Medicine (Emergency Medicine)
Samuel, Christopher Varughese; Family Medicine, Family Medicine (Emergency Medicine)
Samuel, Joyce Mary; Family Medicine
Sattarian, Javad; Orthopedic Surgery
Sayani, Eshratbanu; Family Medicine
Sayedi Roshkhar, Sayedhadi; Orthopedic Surgery
Schlosser, Holli-Ellen; Plastic Surgery
Schwartz, Carol Ellen; Ophthalmology
Scott, Caroline Yvonne; Orthopedic Surgery
Seitelbach, Maayan; Internal Medicine, Medical Oncology
Sellings, Laurie Heather Lynn; Anesthesiology
Senthilnathan, Selvi; Pediatric Cardiology
Shafi, Sharmi Tangia; Neurology
Shahin, Jack; Otolaryngology - Head and Neck Surgery
Sharaf, Amy   Adel; Gastroenterology, Internal Medicine
Shetty, Akshay Rathnakar; Gastroenterology, Internal Medicine
Shih, Jeffrey Gi-Gein; Emergency Medicine
Shogilev, Howard Paul
Shoichet, Martin James; Diagnostic Radiology
Shore, Kevin Daniel; Critical Care Medicine, Internal Medicine
Shuckett, Bruce Martin; Diagnostic Radiology
Sidalak, Daniel Edwin; Family Medicine
Sikaneta, Tabo Gordon; Internal Medicine, Nephrology
Siller, Theodore Nicholas; Orthopedic Surgery
Simitciu, Merita; Anesthesiology
Simon, Sonia   Henry; Pediatrics
Singh, Kulraj; Internal Medicine
Singh, Prabhjyot; Otolaryngology - Head and Neck Surgery
Siu, Maurice; Forensic Psychiatry, Psychiatry
Sivabalasundaram, Vithika; Endocrinology and Metabolism, Internal Medicine
Sivaji, Nirmala; Anesthesiology
Sivaji, Ponnuthurai; Internal Medicine
Smith, David Gerald; General Surgery
Smith, Derek Brian; Neurology
Soberman, Dov   David; Family Medicine, Family Medicine (Emergency Medicine)
Sokolova, Elena   Anatolievna; Neurology
Soon, Shawn Jay; Urology
Sproule, Timothy   Robert; Plastic Surgery
Stephan, Gary Paul
Strazar, Andrew Robert; Plastic Surgery
Stringer, David   Glenn; Anesthesiology
Subramanian, Chandrasekaran; Anesthesiology
Suh, Daniel; Family Medicine, Family Medicine (Emergency Medicine)
Sujana Kumar, Vidya; General Internal Medicine, Internal Medicine
Sum, Denise Abby; Psychiatry
Sunil, Supreet; Family Medicine, Family Medicine (Emergency Medicine)
Sze, Jacqueline Yi Ming; Psychiatry
Tabari, Mohammad; General Surgery
Tabloie, Farshid; Orthopedic Surgery
Taha, Nashwah Mohamed Yassin; Endocrinology and Metabolism, Internal Medicine
Tai Pow, John Malcolm; Anesthesiology
Tallmeister, Alan Henry; Anesthesiology
Tam, Majestic; Otolaryngology - Head and Neck Surgery
Tam, Stanley   Sun-Kun; Anesthesiology
Tan, Eva Yunru; Family Medicine, Family Medicine (Emergency Medicine)
Tattum, Leah   Eve; Pediatrics
Taylor, Susan   Marie
Teplinsky, Avery   Lewis; Family Medicine
Thien, Vincent Vun Su; Gastroenterology, Internal Medicine
Thompson, Caroline Jessica; Family Medicine, Family Medicine (Emergency Medicine)
Toguri, Allan   Goro; Urology
Tran, Kim-Chi Doan; Urology
Tran, Si   Hung; Gastroenterology, Internal Medicine
Trottier, Gregory Thomas; Urology
Tsang, Ann   See Yark; Family Medicine
Tsao, Smiley   Gwo-Shyong; Family Medicine
Tsin, Karen   Weichuan; Family Medicine
Tsui, Simon Yee Tuen; Internal Medicine, Nephrology
Tung, Kenneth   Shin Hsen
Turner, Marci Robyn; Endocrinology and Metabolism, Internal Medicine
Tyndel, Felix Joseph; Internal Medicine, Neurology
Ukwe, Chijioke   Tagbo; Psychiatry
Uthayalingam, Sarangan; Pediatrics
Vandersluis, Ronald; Orthopedic Surgery
Vela, Kanna   Jeyaverny; Family Medicine
Vij, Saahil; Family Medicine
Voice, Sandra   Dawn; Plastic Surgery
Walton, Christine   Cynthia; Orthopedic Surgery
Wang, Ruiqing; Anesthesiology
Weeraratne, Anushka Namal; Pediatrics
Weigensberg, Corey; Anatomical Pathology
Wein, Cheryl   Rhonda; Family Medicine
Weiss, Janice   Marla; Family Medicine
Welsh, Christopher   Cullen; Family Medicine
Wianecki, Richard Joseph
Wilcock, Georgina Elizabeth Mary; Obstetrics and Gynecology
Wilson, Ian Robert; Orthopedic Surgery
Wong, Andrew Chi Yan; Family Medicine
Wong, Daniel   Man Tat; Internal Medicine
Wong, Henry   Wing Fai
Wong, Kathleen   Wai Fong
Wong, Mark   Andrew; Internal Medicine, Nephrology
Wong, Sarah Hew-Ming; Plastic Surgery
Wong, Sydney Sek Ning; Vascular Surgery
Wong, Vanessa   Hew-Ling; Plastic Surgery
Wong, Wan   Wah
Wong, Winston   Young Chun; Anesthesiology
Woo, James   Kin Ho; Diagnostic Radiology
Woodley-Cook, Joel Gregory Aron; Diagnostic Radiology
Woods, Ed  Francis Alexander; Urology
Xiang, Shuo; Psychiatry
Yam, Debbie Jinyi Won; Internal Medicine
Yang, Wong Young Philip
Yanni, Matthew Moheb; Internal Medicine
Yap, Stanley Alexander; Urology
Yared, Kibar; Cardiology, Internal Medicine
Yarnell, Christopher John; Critical Care Medicine, Internal Medicine
Yee, Gilbert   Yu Ming; Orthopedic Surgery
Yeung, Eugene Yiu Chung; Diagnostic Radiology
Yeung, Latifa   Tse Fung; Gastroenterology, Pediatrics
Young, Amanda   Grace; Internal Medicine
Young, Mary   Christine; Orthopedic Surgery
Young Tai, Kin   Fan Wu; Pediatrics
Zahedi, Afshan; Endocrinology and Metabolism, Internal Medicine
Zhang, Hanfei; Internal Medicine
Zhang, Joyce Chenzi; Internal Medicine, Occupational Medicine
Znajda, James   Paul; Ophthalmology
Zorn, Marietta   Louise Theresa; Plastic Surgery
Zou, Limai; Family Medicine
Zoutman, Dick   Eric; Infectious Diseases, Internal Medicine, Medical Microbiology
Zung, Nora Pun-Yee; Family Medicine
