Abadir, Anna Maria A; Psychiatry
Chandran, Vinod; Rheumatology
Chang, Benny   Hong Sen; Family Medicine
Chang, Boon   Howe; Family Medicine, Family Medicine (Emergency Medicine)
Chang, Hong; Hematological Pathology
Chaparro Mutis, Blanca   Cecilia; Respirology
Chapman, Kenneth Ross; Internal Medicine, Respirology
Chau, Vicky; Geriatric Medicine, Internal Medicine
Chauhan, Vijay Singh; Cardiology, Internal Medicine
Chawla, Punita Tanya; Diagnostic Radiology
Chen, Robert   E Wei; Neurology
Chepeha, Douglas Brian; Otolaryngology - Head and Neck Surgery
Cherney, David   Zev Isaac; Internal Medicine, Nephrology
Cheung, Angela   Man-Wei; Internal Medicine
Cheung, Carol Chui-San; Anatomical Pathology
Cheung, Eileen Yee Lam; Family Medicine, Family Medicine (Emergency Medicine)
Chin, Ki Jinn; Anesthesiology
Cho, Dennis Dane; Emergency Medicine
Chopra, Anil; Emergency Medicine
Chow, Chung-Wai; Internal Medicine, Respirology
Chudasama, Siddharajsinh; Anesthesiology
Chun, Soohun; Cardiology, Internal Medicine
Chung, Frances Fong-Ting; Anesthesiology
Chung, Jennifer Chia-Ying; Cardiac Surgery
Chung, TaeBong; Diagnostic Radiology
Cil, Tulin Deniz; General Surgery
Cino, Maria; Gastroenterology, Internal Medicine
Clarke, Blaise Alexander; Anatomical Pathology
Clarke, Hance   Alex; Anesthesiology
Cleiman, Paula   Feigenbaum; Family Medicine, Family Medicine (Emergency Medicine)
Coburn, Bryan Alexander; Infectious Diseases, Internal Medicine
Cole, Edward   Herman; Internal Medicine, Nephrology
Collins, Evan   Jay; Psychiatry
Colman, Jack   Marc; Cardiology, Internal Medicine
Colman, Rebecca   Eve; Internal Medicine, Respirology
Colton, Patricia Anne; Psychiatry
Corral, Maria Del Rosario; Psychiatry
Covelli, Andrea   Marie; General Surgery, General Surgical Oncology
Covens, Allan   Lawrence; Obstetrics and Gynecology
Craigen, Gerard Patrick; Psychiatry
Cram, Peter Michael; Internal Medicine
Croitoru, Kenneth; Gastroenterology, Internal Medicine
Crump, Richard Michael; Hematology, Internal Medicine
Cserti-Gazdewich, Christine Margaret; Hematology, Internal Medicine
Culligan, Christopher John; Family Medicine
Cunningham, Morven Elizabeth; Gastroenterology
Cusimano, Robert   James; Cardiovascular and Thoracic Surgery, General Surgery
Cybulska, Paulina; Gynecologic Oncology, Obstetrics and Gynecology
Cybulsky, Myron Ivan; Anatomical Pathology
Cypel, Marcelo; General Surgery, Thoracic Surgery
Czarnecka-Kujawa, Katarzyna; Internal Medicine, Respirology
Czikk, Marie Julianna; Obstetrics and Gynecology
Daba, Ledjalem Aberra; Cardiology, Internal Medicine
Dahlke, Erin Jade; Dermatology
Dalseg, Timothy Ross; Emergency Medicine
Daly, Paul   Anthony; Cardiology
Daneman, Alan; Diagnostic Radiology
Daniel, Lorretta Bernice; Cardiology, Internal Medicine
Darling, Gail   Elizabeth; General Surgery, Thoracic Surgery
Dash, Satya; Endocrinology and Metabolism, Internal Medicine
Dattilo, Kathleen Maria; Anesthesiology
Davey, John   Roderick; Orthopedic Surgery
David, Tirone Esperidiao; Cardiovascular and Thoracic Surgery
De Almeida, John   Rukshan; Otolaryngology - Head and Neck Surgery
de Mestral, Charles   William Armand; General Surgery, Vascular Surgery
de Perrot, Marc   Eugene Antoine
De Ruiter, Joost Matthys; Anesthesiology
Dehghani, Payman; Family Medicine, Family Medicine (Emergency Medicine)
Del Sorbo, Lorenzo; Respirology
Delabie, Jan   Maria Andre; Laboratory Medicine
Delgado, Diego Hernan; Cardiology
Deol, Navjot Kaur; Gastroenterology, Internal Medicine
Detsky, Allan Steve; Internal Medicine
Devi, Shashi Prabha; Family Medicine
Devine, Luke Adam; Internal Medicine
Devon, Karen Michelle; General Surgery
Dhamko, Helena; Hematology, Internal Medicine
Dhar, Preeti; Critical Care Medicine, General Surgery
Dharamsi, Alia; Emergency Medicine
Diamandis, Phedias; Neuropathology
Diaz De Molnar, Ana   Maria
Dinsmore, Michael John; Anesthesiology
Djaiani, George   Nester; Anesthesiology
Doan, Richard   Joseph; Psychiatry
Donahoe, Laura Lynn; General Surgery, Thoracic Surgery
Donat, Diane June; Endocrinology and Metabolism, Internal Medicine
Done, Susan Jane; Anatomical Pathology
Donnelly, Mary   Sandra; Internal Medicine, Nephrology
Doufle, Ghislaine Yawavi; Anesthesiology
Downar, Eugene; Cardiology
Downey, Gregory Paul; Internal Medicine, Respirology
Dror, Yigal; Pediatrics
Drucker, Aaron Mark; Dermatology
Drucker, Daniel   Joshua; Internal Medicine
Dueck, Andrew  David; General Surgery, Vascular Surgery
Duero Posada, Juan Guillermo; Cardiology, Internal Medicine
Dunbar-Yaffe, Richard James; General Internal Medicine, Internal Medicine
Duncan, Dallas Allan Keith; Anesthesiology
Dzavik, Vladimir; Cardiology, Internal Medicine
Easson, Alexandra   Maria; General Surgery
East, James Michael; Critical Care Medicine, Internal Medicine
Elimova, Elena; Internal Medicine, Medical Oncology
Elliott, Mary Elizabeth; Psychiatry
Ellis, Paul Douglas; Neurology
Elterman, Dean Sol; Urology
Emmanuel, Majella   Priyanthi; Family Medicine
Enepekides, Danny Jordan; Otolaryngology - Head and Neck Surgery
Engle, Fredric Melvin; Obstetrics and Gynecology
Epelman, Slava; Cardiology, Internal Medicine
Escallon, Jaime Mainwaring; General Surgery
Eskander, Antoine; Otolaryngology - Head and Neck Surgery
Evans, Andrew   John; Anatomical Pathology
Evans, Arthur   Wayne
Ezzat, Shereen   Zarif; Endocrinology and Metabolism, Internal Medicine
Faghfoury, Hannaneh; Medical Genetics and Genomics
Fairbairn, James; Family Medicine
Fan, Eddy   Pey Ti; Critical Care Medicine, Internal Medicine
Farb, Richard Ian; Diagnostic Radiology
Farkouh, Michael Edward; Internal Medicine
Farooki, Nadia; Emergency Medicine
Farrugia, Mary   Michele; Obstetrics and Gynecology
Fasano, Alfonso; Neurology
Fedorko, Ludwik Mikolaj; Anesthesiology
Fehlings, Michael George; Neurosurgery
Feifer, Andrew Hillel; Urology
Feig, Denice   Suzan; Endocrinology and Metabolism, Internal Medicine
Feindel, Christopher   Michael; Cardiovascular and Thoracic Surgery, General Surgery
Feld, Jordan Jay; Gastroenterology, Internal Medicine
Ferguson, Niall   Douglas; Critical Care Medicine, Internal Medicine, Respirology
Ferguson, Sarah Elizabeth; Obstetrics and Gynecology
Fernandez Castillo, Juan Cesar; Respirology
Fidler, Lee Marshall; Internal Medicine, Respirology
Finelli, Antonio; Urology
Fiorellino, Joseph Nicholas; Anesthesiology
Fischer, Sandra Elisabeth; Anatomical Pathology
Fisher, Jolene   Heather; Internal Medicine, Respirology
Fisher, Mark Alexander; Cardiology, Internal Medicine
Fisman, David Norman; Internal Medicine
Flamer, David Richard; Anesthesiology
Fleming, Ivor Mackenzie; Anesthesiology, Family Medicine
Fleming, Patrick   James; Dermatology
Fleshner, Neil   Eric; Urology
Flint, Alastair John; Psychiatry
Floras, John   Stanley; Cardiology
Foley, Karen   Anne; Anesthesiology
Forbes, Thomas Lawrence; General Surgery, Vascular Surgery
Fratesi, Jennifer Alecia; Diagnostic Radiology
Freedman, Fred   Asher; Family Medicine
Friedman, Steven   Marc; Family Medicine, Family Medicine (Emergency Medicine)
Friedman, Zeev   Zvulun; Anesthesiology
Frost, David William Henry; Internal Medicine
Fung, Kan Ying
Fung, Scott; Gastroenterology, Internal Medicine
Gaisano, Herbert Young; Gastroenterology, Internal Medicine
Gallinger, Steven; General Surgery
Gandhi, Shital; General Internal Medicine, Internal Medicine
Gao, Andrew Feng; Neuropathology
Garcia, Carla   Susana; Psychiatry
Gardam, Michael   Andrew; Infectious Diseases, Internal Medicine
George, Susan   Renu; Endocrinology and Metabolism, Internal Medicine
Gerbitz, Armin Heinz; Hematology, Internal Medicine
Gerretsen, Philip   Matthew; Psychiatry
Ghai, Sandeep; Diagnostic Radiology
Ghai, Sangeet; Diagnostic Radiology
Ghanekar, Anand; General Surgery
Ghiasi, Nazli; Dermatology
Giacobbe, Peter; Psychiatry
Gilbert, Barry Lewis Reid; Psychiatry
Gilbert, Cameron Joseph; Cardiology, Internal Medicine
Gilbert, Ralph   William; Otolaryngology - Head and Neck Surgery
Ginsburg, Shiphra Rachel; Internal Medicine, Respirology
Girgis, Mina Nazih; Cardiology, Internal Medicine
Gladdy, Rebecca Anne; General Surgery
Glanc, Phyllis; Diagnostic Radiology
Glazer, Peter Raphael; Family Medicine, Family Medicine (Emergency Medicine)
Glazer, Stephen Allan; Critical Care Medicine, Internal Medicine
Gledhill, Norman   Scott; Family Medicine
Goberdhan, Shivesh; Internal Medicine
Gold, Jewel; Cardiology, Internal Medicine
Gold, Wayne Lawrence; Infectious Diseases, Internal Medicine
Goldberg, Robert Joshua; Endocrinology and Metabolism, Internal Medicine
Goldlist, Barry   Joseph; Geriatric Medicine, Internal Medicine
Goldstein, David   Paul; Otolaryngology - Head and Neck Surgery
Goldstein, Roger Samuel; Internal Medicine, Respirology
Goldszmidt, Eric; Anesthesiology
Goligher, Ewan   Christopher; Critical Care Medicine, Internal Medicine
Gollob, Michael Howard; Internal Medicine
Gomez Hernandez, Karen Ester; Endocrinology and Metabolism
Goodman, Daniel Alexander; Emergency Medicine
Goolam Hussain, Mohamed Rashid; Family Medicine
Gorfinkel, John Arthur; Ophthalmology
Gotlieb, Avrum   Irving; Anatomical Pathology
Govindarajan, Anand; General Surgery
Grant, Mary   Margaret; Diagnostic Radiology
Granton, John   Thomas; Internal Medicine, Respirology
Grenville, Jeffrey; Diagnostic Radiology
Gross, Gil Jay; Cardiology, Pediatrics
Gulamhusein, Aliya Fatemah; Gastroenterology, Internal Medicine
Gullane, Patrick Joseph; Otolaryngology - Head and Neck Surgery
Ha, Andrew Chun Tung; Cardiology, Internal Medicine
Habal, Flavio M; Gastroenterology, Internal Medicine
Haider, Masoom Abbas; Diagnostic Radiology
Halankar, Jaydeep Arun; Diagnostic Radiology
Hales, Sarah   Anne; Psychiatry
Haller, Christoph Marc; Cardiac Surgery
Hamilton, Robert James; Urology
Hamilton, Robert Murray; Cardiology, Pediatrics
Han, Jay   Shou; Anesthesiology, Anesthesiology
Hanbidge, Anthony   Edward; Diagnostic Radiology
Hanet, Stephen   Harold; Family Medicine
Hang, Marissa Xi; Internal Medicine
Hanif, Hasib Mohammed; Cardiac Surgery
Hanlon, John George; Anesthesiology, Pain Medicine
Hanneman, Katherin Alison; Diagnostic Radiology
Hansen, Shandi Michelle; Emergency Medicine
Haroon, Nigil; Rheumatology
Harper, Lea; Internal Medicine, Respirology
Harris, Louise; Cardiology
Harvey, Patricia Tyson; Ophthalmology
Harvey, Paula Jean; Cardiology
Hassouna, Magdy Mohamed Nasr El-Dine; Urology
Hawa, Raed Jad; Psychiatry
Hawryluck, Laura   Andrea; Internal Medicine
Haykal, Siba; Plastic Surgery
Hayman, Kaitlin; Emergency Medicine
Heggie, Jane  Ellen; Anesthesiology
Hendler, Aaron Lloyd; Diagnostic Radiology, Internal Medicine, Nuclear Medicine
Hennessey, Hooman; Diagnostic Radiology, Interventional Radiology
Herman, Stephen   Jay; Diagnostic Radiology
Herridge, Mary Margaret Sutherland; Internal Medicine, Respirology
Heslop, Claire L; Emergency Medicine
Hickey, Edward John Brendan; Cardiac Surgery
Higgins, Kevin   McLoughlin; Otolaryngology - Head and Neck Surgery
Hirschfield, Gideon Morris; Gastroenterology
Ho, Chia-Sing; Diagnostic Radiology
Hodges, Brian David; Psychiatry
Hofbauer, Brooke   Edison; Family Medicine
Hofer, Stefan   Oliver Paul; Plastic Surgery
Hogen, Liat Frida; Obstetrics and Gynecology
Hogg, David   Hartwick; Hematology, Internal Medicine
Horlick, Eric Mitchell; Cardiology, Internal Medicine
Hosseini Moghaddam, Seyed   Mohammadmehdi; Infectious Diseases
Hota, Susy Smita; Infectious Diseases, Internal Medicine
Howe, Kathryn   Leigh; Vascular Surgery
Huang, Alexander Francis; Anesthesiology
Huang, Vivian   Wai-Mei; Gastroenterology, Internal Medicine
Huang, Yayi; General Internal Medicine, Internal Medicine
Hulme, Jennifer Meghan; Family Medicine, Family Medicine (Emergency Medicine)
Humar, Atul; Infectious Diseases, Internal Medicine
Hurlburt, Lindsay Dawn; Anesthesiology
Husain, Mansoor; Cardiology, Internal Medicine
Husain, Shahid; Infectious Diseases
Hutcheon, Michael Alexander; Internal Medicine, Respirology
Hwang, David   Muren; Anatomical Pathology
Hwang, David Wei-De; Internal Medicine
Ibarra Moreno, Carlos Alberto; Anesthesiology
Ibrahim, Ali Zuhair; Internal Medicine, Nephrology
Ing, Douglas Jeffrey; Internal Medicine
Inman, Robert Davies; Rheumatology
Ip Fung Chun, Peter William; Internal Medicine
Irish, Jonathan   Crawford; Otolaryngology - Head and Neck Surgery
Jaberi, Arash; Diagnostic Radiology
Jackson, Timothy David; General Surgery
Jadad Bechara, Alejandro   Ricardo; Anesthesiology
Jaffer, Nasir Mansur; Diagnostic Radiology
Jaigobin, Cheryl   Susheila; Neurology
Jain, Ashu Nitin; Family Medicine
James, Jacqueline   Elizabeth; Endocrinology and Metabolism, Internal Medicine
James, Paul Damien; Gastroenterology, Internal Medicine
Janevski, John; Cardiology, Internal Medicine
Jang, Hyun-Jung; Diagnostic Radiology
Jang, Raymond Woo-Jun; Internal Medicine, Medical Oncology
Janssen, Henricus Leonardus Antonius; Gastroenterology
Jariani, Marjan; Anesthesiology
Jassal, Sarbjit   Vanita; Internal Medicine, Nephrology
Jauhal, Arenn Singh; Internal Medicine, Nephrology
Jerath, Angela; Anesthesiology
Jewett, Michael   Alexander Spencer; Urology
Jeyaraj, Satheesh Krishna; Diagnostic Radiology
Jhaveri, Kartik Sudhir; Diagnostic Radiology
John, Philip   Rowland; Diagnostic Radiology
Johnson, Sarah   Augusta; Diagnostic Radiology
Johnston, Kenneth   Wayne; General Surgery, Vascular Surgery
Johnstone, Jennie; Infectious Diseases, Internal Medicine
Jones, Claire   Ann; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Jones, Marcella Kristine; Family Medicine
Josephson, Timothy Blair; Emergency Medicine, Family Medicine
Joshi, Suchitra; Child and Adolescent Psychiatry, Psychiatry
Josse, Robert Gerald; Endocrinology and Metabolism, Internal Medicine
Juan, Joshua Vahid; Family Medicine
Juvet, Stephen   Charles; Internal Medicine, Respirology
Kachura, John Robert; Diagnostic Radiology
Kaercher Kramer, Caroline; Endocrinology and Metabolism
Kahn, Michael Khubbab; Anesthesiology, Critical Care Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Kain, Kevin   Charles; Infectious Diseases, Medical Microbiology
Kajal, Dilkash; Diagnostic Radiology
Kalia, Lorraine Victoria; Neurology
Kandel, Christopher Edward; Infectious Diseases, Internal Medicine
Kandel, Sonja Marion; Diagnostic Radiology
Kaplan, Alexander Jacques; Ophthalmology
Kapoor, Monika; Family Medicine, Family Medicine (Emergency Medicine)
Kapral, Moira Kassia; Internal Medicine
Karbi, Oscar   Asher; Emergency Medicine
Karkouti, Keyvan; Anesthesiology
Karsli, Cengiz   Han; Anesthesiology
Katzberg, Hans   Dieter; Neurology
Kaul, Rupert; Infectious Diseases, Internal Medicine
Kaushal, Amit; Family Medicine, Internal Medicine, Nephrology
Keating, Armand; Hematology, Internal Medicine
Kemp, Sheelagh Margaret; Anesthesiology
Kennedy, Erin Diane; General Surgery
Kennedy, Sidney   Hugh; Psychiatry
Keshavjee, Shafique; Cardiovascular and Thoracic Surgery, General Surgery
Khadadah, Fatima Mousa E KH S; Internal Medicine
Khalili, Ida; Diagnostic Radiology
Khan, James Shiraz; Anesthesiology
Khan, Mohammad Hashim; Internal Medicine, Respirology
Khan, Yasmin; Emergency Medicine
Khandelwal, Aditi; Hematology, Internal Medicine
Khanduja, Purva   Kristina; Anesthesiology
Kielar, Ania   Zofia; Diagnostic Radiology
Kim, Raymond Hyonmin; Internal Medicine
Kim, Sang   Joseph; Internal Medicine, Nephrology
Kim, Stephanie Gina; Geriatric Medicine, Internal Medicine
Kim, Tae   Kyoung; Diagnostic Radiology
Kingdom, John Charles Peter; Maternal Fetal Medicine, Obstetrics and Gynecology
Kitchlu, Abhijat; Internal Medicine, Nephrology
Kljenak, Diana; Psychiatry
Ko, Hyang Mi; Anatomical Pathology
Kobulnik, Jeremy; Cardiology, Internal Medicine
Kohan, Mehr-Afarin; Psychiatry
Kongkham, Paul   Narin; Neurosurgery
Konvalinka, Ana; Internal Medicine, Nephrology
Kovacs, Gabor Geza; Neurology, Neuropathology
Kozak, Joseph Harry; Family Medicine
Kraft, Stephen   Paul; Ophthalmology
Krahn, Murray Dale; Internal Medicine
Krause, Rachelle Amanda; Internal Medicine
Krings, Timo; Diagnostic Radiology
Kryshtalskyj, Nina; Family Medicine
Kucharczyk, Walter; Diagnostic Radiology
Kuhlmann, Michael Allen; General Internal Medicine, Internal Medicine
Kulkarni, Girish   Satish; Urology
Kumar, Deepali; Infectious Diseases, Internal Medicine
Kumar, Rajat; Hematology
Kuo, Kevin   Hsin-Mu; Hematology, Internal Medicine
Kuper, Ayelet; Internal Medicine
Kussin, Dennis Joseph; Psychiatry
Kwan, Janice Lup-Yee; Internal Medicine
La Delfa, Anthony Joseph; Infectious Diseases, Internal Medicine
Laflamme, Michael Alan; Anatomical Pathology
Laframboise, Stephane; Obstetrics and Gynecology
Lakhani, Aly; Internal Medicine
Laluck Junior, Bohdan   Julius; Internal Medicine
Lam, Andrew   James Yuen Wai; Family Medicine
Lam, Cindy Tze Yung; Ophthalmology
Lam, Wilson; Hematology, Internal Medicine
Lambros, Stephen Peter
Lampard, Robert Bruce; Emergency Medicine
Landes, Megan   Christine; Family Medicine
Lang, Anthony   Edward Thomas; Internal Medicine, Neurology
Langelier, David Michael; Physical Medicine and Rehabilitation
Lapinsky, Stephen   Earl; Internal Medicine
Lapointe-Shaw, Lauren; Internal Medicine
Lau, Adrian Ngar Chun; Endocrinology and Metabolism, Internal Medicine
Lau, Ambrose   Kaiting; Internal Medicine, Respirology
Lau, Jenny; Family Medicine
Laughlin, Suzanne; Diagnostic Radiology
Law, Arjun Datt; Hematology
Law, Hugo   Kwok Cheung
Lawler, Patrick Ryan; Cardiology, Critical Care Medicine, Internal Medicine
Lax, Matthew Jamie; Diagnostic Radiology
Lazinski, Dorothy; Diagnostic Radiology
Leckie, Ashley Elizabeth; Diagnostic Radiology
Lee, Ambrose Wai-Man; Family Medicine, Family Medicine (Emergency Medicine), Otolaryngology - Head and Neck Surgery
Lee, Christie   Martha; Critical Care Medicine, Internal Medicine, Respirology
Lee, Connie Namhoon; Family Medicine, Family Medicine (Emergency Medicine)
Lee, Douglas Sang Yun; Cardiology, Internal Medicine
Lee, Jason   Young; Urology
Lee, Terence Tat Nang; Internal Medicine
Leong, Wey-Liang; General Surgery
Leroux, Timothy Sean; Orthopedic Surgery
Leung, Jo Jo; Family Medicine, Family Medicine (Emergency Medicine)
Levy, Gary   Avrom; Gastroenterology, Internal Medicine
Lewis, Gary Franklin; Endocrinology and Metabolism, Internal Medicine
Lexchin, Joel   Raymond; Family Medicine, Family Medicine (Emergency Medicine)
Li, Madeline   Tsui-Yee; Psychiatry
Lian, Calvin Tai-Ien; Family Medicine, Family Medicine (Emergency Medicine)
Liberman, Dan; Geriatric Medicine, Internal Medicine
Licht, Christoph Paul Benedikt; Nephrology, Pediatrics
Lieberman, Lani   Denise; Pediatrics
Liederman, Zachary Harris; Hematology, Internal Medicine
Lilly, Leslie   Blake; Gastroenterology, Internal Medicine
Lim, David Wai; General Surgery
Lim, Dawn   Yin; Emergency Medicine
Linda, Dorota; Diagnostic Radiology
Lindsay, Thomas Fooks; General Surgery, Vascular Surgery
Liu, Jessica Janine; Internal Medicine
Liu, Louis Wing Cheong; Gastroenterology, Internal Medicine
Liu, Peter   Pi; Cardiology
Lo, Kirk   Cheng-Lun; Urology
Locke, Kenneth Andrew; Internal Medicine
Logan, Alexander Gordon; Internal Medicine
Logue, Kenneth   John
Lok, Charmaine Elizabeth; Internal Medicine, Nephrology
Lovatsis, Danny; Obstetrics and Gynecology
Lovshin, Julie Ann Louise; Endocrinology and Metabolism, Internal Medicine
Lozano, Andres M; Neurosurgery
Luca, Simina Roxana; Internal Medicine
Luk, Adriana   Carrie; Cardiology, Internal Medicine
Luther, Ryan Adel; General Internal Medicine, Internal Medicine
Lyn, Sheldon   Albert; Anesthesiology
Lynch, Marie-Josee Albert; Psychiatry
Lyons, Owen Daniel; Respirology
Ma, Martin   Tim; Anesthesiology
Macarthur, Alison   Jane; Anesthesiology
Macdonald, Catherine Ellen; Diagnostic Radiology
MacGillivray, Lindsey Elizabeth Suzanne; Psychiatry
MacMillan, Thomas Evan; Internal Medicine
Madani, Amin; General Surgery
Mafeld, Sebastian Charles; Diagnostic Radiology
Mahomed, Nizar   Noorallah; Orthopedic Surgery
Mahoney, James Leo; Plastic Surgery
Mak, Susanna So Sum; Cardiology, Internal Medicine
Makhani, Leila Farida; Family Medicine
Malinowski, Ann; Maternal Fetal Medicine, Obstetrics and Gynecology
