Abdin, Rawand   Mowaffaq; Internal Medicine, Internal Medicine
Blew, Laura   Joan; Family Medicine
Blew, Philip  Gordon; Anesthesiology
Bobba, Raja   Sekhar; Internal Medicine, Rheumatology
Bogach, Jessica Danielle; General Surgery
Boutin, Helene   Anne; Family Medicine
Boyd, Hugh Flexman; Family Medicine
Boyle, Anne Bernadette; Family Medicine
Braga, Manoela Figueiredo Bertozzi; Endocrinology and Metabolism
Brandt Vegas, Daniel; Internal Medicine
Brasch, Jennifer   Susan; Psychiatry
Braun, E   Anne; Geriatric Medicine, Internal Medicine
Brett, Mary Anne; Anatomical Pathology
Brimble, Kenneth   Scott; Internal Medicine, Nephrology
Brown, Christopher Allan; Family Medicine
Brown, Michael Victor; Psychiatry
Brown, Russell Edwin; Anesthesiology
Bruce, Tracey   Lynne; Anesthesiology
Buchanan, Ian Mitchell; Emergency Medicine
Buckley, David Norman; Anesthesiology
Bulakhtina, Elena   Alexandrovna; Anatomical Pathology, Forensic Pathology
Bullock, Lana; Family Medicine
Cadeddu, Margherita   Orsola; General Surgery
Callaghan, Denis James
Calotti, Fadi   Yousif Edwar; Ophthalmology
Cameron, Lauren   Marcia; Family Medicine
Caners, Kyla Dawn Dunlop; Emergency Medicine
Carlisle, Euan   James Frazer; Internal Medicine, Nephrology
Carmona, Rajendra   Junior; Internal Medicine, Rheumatology
Caron, Sharine   Colleen; Family Medicine, Family Medicine (Emergency Medicine)
Caronzo, Fortunato; Family Medicine
Castura, Christina   Louise; Family Medicine
Catanese, Luciana; Neurology
Cavalcante Lima Filho, Jose  Hermenio; Clinical Immunology and Allergy, Dermatology
Cebrian, Clara   Teresa; Psychiatry
Cenic, Aleksa; Neurosurgery
Centofanti, John Eugenio; Anesthesiology, Critical Care Medicine
Chagla, Zain; Infectious Diseases, Internal Medicine
Chakroborty, Amitabha; Internal Medicine
Chan, Beverley Pui Kee; General Surgery, Vascular Surgery
Chan, Brian John; Ophthalmology
Chan, Philip   Shiu-Lung; Anesthesiology, Pain Medicine
Chan, Teresa Man-Yee; Emergency Medicine
Chan Wan Kai, Noel   Chi Fen; Hematology
Chanda, Mohammed Yaameen; General Surgery
Channan, Peter Krishan; Emergency Medicine
Chari, Vinjamuri Madhusudana; Internal Medicine, Respirology
Chaudhry, Sultan Rashid; Internal Medicine, Nephrology
Chen, Ann   Marie Christine; Obstetrics and Gynecology
Chetty, Vasudhevan tony; Medical Biochemistry
Cheung, Andrew; General Internal Medicine, Internal Medicine
Cheung, Jason   Ho-Fai; Internal Medicine
Chiasson, David   Alexander; Anatomical Pathology
Chiavaras, Mary   Margaret; Diagnostic Radiology
Chmiel, Agnes Eve; Physical Medicine and Rehabilitation
Choi, David Leo; Otolaryngology - Head and Neck Surgery
Choi, Matthew; Plastic Surgery
Chong, John  Peter; Community Medicine
Chorley, Alexander Garrick; Emergency Medicine
Choudur, Hema Nalini; Diagnostic Radiology
Chu, Fan; Cardiac Surgery
Chu, Pei Chieh Peter; Family Medicine
Chuback, Jennifer Elizabeth; Plastic Surgery
Chui, Betty   Ka-Yeung; Internal Medicine, Nephrology
Chum, Marvin Chee Ho; Neurology
Chung, Han-Oh; Critical Care Medicine, Internal Medicine
Ciprietti, Lucas Anthony; Internal Medicine
Cividino, Alfred Augusto; Internal Medicine, Rheumatology
Cividino, Maureen Elizabeth Philp; Family Medicine
Clark, Gordon Curtis; Family Medicine
Clase, Catherine   Mary; Internal Medicine, Nephrology
Coblentz, Craig   Llewellyn; Diagnostic Radiology
Coke, Robert Valere; Critical Care Medicine, Internal Medicine
Colapinto, Michael Nicholas; Diagnostic Radiology
Collins, Stephen Michael; Internal Medicine
Conen, David; Cardiology
Connolly, Barbara Sheila; Neurology
Connolly, Colleen Marie; Neurology
Connolly, Katherine; Cardiology, Internal Medicine
Connolly, Stuart James; Cardiology
Cooke, Donald Matthew; Family Medicine
Cordovani, Daniel; Anesthesiology
Coren, Lee Anne Heather; Family Medicine
Coroneos, Christopher James; Plastic Surgery
Corriveau, Sophie Lynne; Internal Medicine, Respirology
Cowan, David   Donald; Geriatric Medicine, Internal Medicine
Cowan, Hamish Jonathan; Emergency Medicine
Cox, Conor James; Internal Medicine
Cox, Patrick   Gerard; Internal Medicine, Respirology
Creatchman, Terrence Michael; Family Medicine
Crombie, Fionnella   Sutherland Stewart; Family Medicine
Crossley, John George; Emergency Medicine
Crosthwaite, Aida Ilze; Family Medicine
Crowther, Mark   Andrew; Hematology, Internal Medicine
Curnew, Gregory   Paul; Cardiology, Internal Medicine
Curran, Sean   Patrick; Anesthesiology, Pain Medicine
Cushnie, Duncan Wells; Orthopedic Surgery
Cusimano, Steven Lawrence; Family Medicine
Cutz, Jean-Claude Ernest; Anatomical Pathology
da Rosa Borges, Bruno Cesar; Anesthesiology
Dal Cin, Arianna; Plastic Surgery
Damji, Mehboob   Fatehali
Darby, Peter   James; Anesthesiology
Darrat, Mahmoud Abdelmuneim; Anesthesiology
Dath, Deepak   P; General Surgery
Dauphin, Alezandre; Anesthesiology
Davies, Timothy Owen; Urology
Davine, Jonathan   Stanley; Family Medicine, Psychiatry
Davis, Clive; Internal Medicine
De Freitas, Sandra Angela; Internal Medicine
De Rubeis, Andrea   Rito; Family Medicine
de SA, Darren Lucien; Orthopedic Surgery
De, Shumona Soma; Family Medicine
De Tina, Annemaria; Anesthesiology
de Wit, Kerstin   Elizabeth; Emergency Medicine
Deb, Pratima; Anatomical Pathology
DeMaria, Jorge Eugenio; Urology
Demers, Catherine; Cardiology, Internal Medicine
Denburg, Judah   Aryeh; Hematology
Denkers, Matthew   Robert; Orthopedic Surgery
Dessouki, Shariff Esmat; Physical Medicine and Rehabilitation
Devereaux, Philip James; Cardiology, Internal Medicine
Dew, Bernard; Family Medicine, Family Medicine (Emergency Medicine)
Dhalla, Mohsin Nisarhusein; Family Medicine
Dhamanaskar, Kavita   Prashant; Diagnostic Radiology
Di Ianni, Michael John; Diagnostic Radiology
Di Paolo, Bruno   Livio
Dickson, Robert   Charles; Family Medicine
Dillon, Whitney Anne Huggins; Family Medicine
Dingle, Jonathan   Allan; Anesthesiology
Dionne, Joanna Colleen; Gastroenterology, Internal Medicine
Divakara Menon, Syamkumar Madathattu; Cardiology
Djuric, Vladimir; Physical Medicine and Rehabilitation
Domuracki, Kurt James; Anesthesiology
Dong, Junghwan; Family Medicine, Family Medicine (Emergency Medicine)
Don-Wauchope, Andrew Craig; Endocrinology and Metabolism, Medical Biochemistry
Dorasamy, Punginathn; Internal Medicine
Dorosh, Kyle Alexander; Family Medicine
Douglass, Rebecca Janet; Family Medicine
Douketis, James Demetrios; Internal Medicine
Dower, Andrea Mary; Anesthesiology
Dragomir, Alina   Roxana; Internal Medicine
Drew, Brian Michael; Orthopedic Surgery
Duan, Erick Huaileigh; Critical Care Medicine, Internal Medicine
Duboff, Narisa; Family Medicine
Duff, Sharon   Rose; Psychiatry
Dul, Anna Maria; Family Medicine
Dunlop, Robert   Humphrey Brett; Orthopedic Surgery
Durant, Craig David; General Surgery, Vascular Surgery
Ebrahim, Fady; Anesthesiology
Eby, Roberta   Jane; Emergency Medicine
Edstrom, Karen   Diane; Dermatology
Eikelboom, John   William Andrew; Hematology, Internal Medicine
Eldeyasty, Basem Khairy Abdelhay; Anesthesiology
El-Helou, Philippe   Philippe; Infectious Diseases, Internal Medicine
Elias, Fadi; Vascular Surgery
Elliott, Wade   Charles; Family Medicine
Elsharif, Adell Abdusalam; Medical Biochemistry
Emili, Anna-Marie; Family Medicine
Emili, Julie-Anne; Community Medicine, Family Medicine
Engels, Paul   Thomas; Critical Care Medicine, General Surgery
English, Kerri   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Eppel, Alan   Brian; Psychiatry
Erstling, Rachel   Sara; Psychiatry
Eryavec, Erik   Joseph
Eskicioglu, Cagla; Colorectal Surgery, General Surgery
Everson, Jennifer   Little; Family Medicine
Faghih, Mehrnoosh; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Faidi, Samir Abdelmagid; General Surgery
Farrell, Janet Clare; Anesthesiology
Farrugia, Patricia Ruth; Orthopedic Surgery
Fava, Mark   Adam; Ophthalmology
Federici, Giuliana   Margaret; Pediatrics
Fedorkow, Donna Maria; Obstetrics and Gynecology
Feng, Luming; Family Medicine
Fergani, Houssein   R; Family Medicine, Internal Medicine
Fernandes, Alisha Rebecca; General Surgery
Fernandez, Alcantro Bartholomeu Albino
Fischer, Marc Anthony; Urology
Fong, Crystal; Diagnostic Radiology
Forbes, Shawn   Samuel; Colorectal Surgery, General Surgery
Ford, Jennifer Lyndsey; Psychiatry
Foster, Matthew Alan; Physical Medicine and Rehabilitation
Fox-Robichaud, Alison   Elizabeth; Internal Medicine
Francescutti, Valerie   Amanda; General Surgery
Fraser, Graeme   Andrew McCrae; Hematology, Internal Medicine
Freitag, Andreas   Philip; Internal Medicine
Frey, Benicio Noronha; Psychiatry
Frosi Stella, Steffan; Diagnostic Radiology
Fulford, Martha Barbara; Infectious Diseases, Internal Medicine
Fung, Filgen  Yut-Tou; Emergency Medicine
Gagnon, Micheline Danis Marie; Geriatric Medicine, Internal Medicine
Gaind, Gagan   Singh; Psychiatry
Galange, Patrick   Christopher; Family Medicine
Gallagher, Erin Elisabeth; Family Medicine
Ganame, Javier Ignacio; Cardiology
Gangji, Azim S.; Internal Medicine, Nephrology
Ganguli, Subhas Chandra; Gastroenterology, Internal Medicine
Garces, Patricio Borromeo; Diagnostic Radiology
Gastaldo, Fernando; Diagnostic Radiology
Gelberg, Jacob; Internal Medicine, Respirology
Gerstein, Hertzel Chaim; Endocrinology and Metabolism, Internal Medicine
Ghert, Michelle Aileen; Orthopedic Surgery
Giammarco, Rosetta; Neurology
Gibson, Gillian Mildred; Family Medicine
Gibson, Kara   Joelle; Anesthesiology
Gilani, Ammar Anwar; Neurology
Gladman, Matthew Nathaniel; Neurology
Glenny, Christine Margaret; Family Medicine
Golda, Bronislaw Leszek
Goodacre, Margaret   Ellen; Family Medicine
Gowing, Robert   Neil; General Surgery, Vascular Surgery
Grad, Sharon Elizabeth; Physical Medicine and Rehabilitation
Grantham, Monica   Helen; Family Medicine
Greenbaum, Joseph; Clinical Immunology, Internal Medicine
Greenspan, Michael   Barry; Urology
Greenspoon, Allen   Sheldon
Greenwald, Joseph Aryeh; Emergency Medicine
Grewal, Rajdeep   Singh; Family Medicine, Family Medicine (Emergency Medicine)
Guenter, Clarence Dale; Family Medicine
Guirgis, Mina; Vascular Surgery
Gulenchyn, Karen   Yvonne; Internal Medicine, Nuclear Medicine
Gundy, Serena Laura; General Internal Medicine, Internal Medicine
Gupta, Gaurav Vinod; Emergency Medicine
Gupta, Michael   Kaviraj; Otolaryngology - Head and Neck Surgery
Guzman, Juan   Camilo; Internal Medicine
Haaland, Derek Allan; Clinical Immunology and Allergy, Internal Medicine, Rheumatology
Habib, Anthony Sleiman; Orthopedic Surgery
Haider, Ehsan   Ahmed Hussain; Diagnostic Radiology
Haider, Shariq; Infectious Diseases, Internal Medicine
Halder, Smita Luna Sudeshna; Gastroenterology, Internal Medicine
Hall, Devin Nicole; Neurology
Hambly, Nathan Daniel Morley; Internal Medicine, Respirology
Hamielec, Cindy   Maia; Internal Medicine, Respirology
Hamstra, Joel   Matthew; Anesthesiology
Hanel, Erich   Gregory; Family Medicine, Family Medicine (Emergency Medicine)
Hankinson, James Jonathan; Anesthesiology
Hanna, Wael Chadi; General Surgery, Thoracic Surgery
Hannah-Shmouni, Fady Alla; Endocrinology and Metabolism, Internal Medicine
Harlock, John   Anthony; General Surgery, Vascular Surgery
Harper, William Louis; Endocrinology and Metabolism, Internal Medicine
Hartman, Jeffrey Allan; Orthopedic Surgery
Harvey, David Tyson; Physical Medicine and Rehabilitation
Harvey, John   Tyson; Ophthalmology
Havers, Melanie   Marie; Anesthesiology
Hawley, Kristopher   Stephen; Emergency Medicine
Hayward, Catherine   Pauline Mary; Hematology, Internal Medicine
Healey, Jeffrey   Sean; Cardiology, Internal Medicine
Heller, Barbara Susan; General Surgery
Henneberry-Fudge, John David; Psychiatry
Henriques Candiago, Rafael; Psychiatry
Hersi, Ali; Emergency Medicine
Hindson, Judith   Mary; Family Medicine
Hirte, Holger   Wolfgang; Internal Medicine, Medical Oncology
Ho, Edwin Koon Ting; Anesthesiology
Ho, Terence Nathan Yum-Chuk; Internal Medicine, Respirology
Hong, Paul   Soo Gee; Internal Medicine
Horner, Cynthia   Jennifer-Marie; Anesthesiology
hosseini, seyed hossein; Physical Medicine and Rehabilitation
Hou, Chenchen; Hematology, Internal Medicine
Huwedi Abouanaser, Salaheddin   Faraj; Medical Microbiology
Huynh, Amanda Tieu-Mi; Internal Medicine
Huynh, Jessica Tieu-Uyen; Internal Medicine
Hynes, Nicolas   Marcus; Plastic Surgery
Ikesaka, Rick Takashi; Hematology, Internal Medicine
Ingram, Alistair   John; Internal Medicine, Nephrology
Ioannou, Kostas   Panagiotis; Cardiology, Internal Medicine
Iorio, Alfonso; Internal Medicine
Iqbal, Muhammad; Internal Medicine
Isac, Michelle   Marie; Anesthesiology
Iyer, Sneha; Family Medicine
Iyer, Vikram   Sekar; General Surgery, Vascular Surgery
Jackson, Paul   Arthur; Anesthesiology
Jaeschke, Roman   Zygmunt; Internal Medicine
Jalali, Subash; Internal Medicine
Jaskot, Thomas Peter
Jeans, Elizabeth Rosanne; Infectious Diseases, Internal Medicine, Medical Microbiology
Jeyaseelan, Joseph Ian; Family Medicine
Jichici, Draga; Neurology
Jo, Susan; Anesthesiology
Johal, Herman Singh; Family Medicine, Orthopedic Surgery
Johns, David George; Family Medicine
Johnson, Troy   Geoffrey; Family Medicine
Jolly, Sanjit   Singh; Cardiology, Internal Medicine
Jones, Jennifer Kathleen; Family Medicine
Joseph, Philip George; Cardiology, Internal Medicine
Jowett, Jonathan   Elliott; Family Medicine, Family Medicine (Emergency Medicine)
Junaid, Amjad; Family Medicine, Family Medicine (Emergency Medicine)
Kachur, Edward; Neurosurgery
Kahnamoui, Kamyar; General Surgery
Kalidindi, Navya; Neurology
Kamel Hasan, Olfat Shibli Mohammed; Nuclear Medicine
Kancherla, Yasodhara; General Surgery
Karachi, Timothy   Adem; Critical Care Medicine, Internal Medicine
Karbassi, Arsha; Cardiology
Karnis, Megan   Michelle Freebury; Obstetrics and Gynecology
Kasper, Ekkehard   Matthias; Neurosurgery
Kates, Nicholas   Simon; Psychiatry
Kavalsky, Dennis   Mark; Family Medicine
Kean, Walter Fairbairn; Internal Medicine
Keen, Sabina Lore Chantal; Geriatric Medicine, Internal Medicine
Keith, Paul Kevin; Clinical Immunology, Internal Medicine
Kelly, Stephen   Richard; General Surgery
Kennedy, Shauna Maureen; Diagnostic Radiology
Kerigan, Anthony   Thomas; Respirology
Kessler Borges, Flavia; General Internal Medicine
Khalaf, Dina Gamal Fathalla; Medical Oncology
Khalid, Zahira; General Internal Medicine, Internal Medicine
Khalidi, Nader   Amir; Internal Medicine, Rheumatology
Khambalia, Bashir
Khan, Khurram Jahangir; Gastroenterology, Internal Medicine
Khan, Mohammed Moin; Orthopedic Surgery
Khan, Mohammed Nazir; Diagnostic Radiology, Neuroradiology
Khanna, Vickas; Orthopedic Surgery
Khemani, Ekta; Anesthesiology
Khera, Joginder   Singh; Family Medicine
Khetani, Justin   Dilip; Otolaryngology - Head and Neck Surgery
Khong, Binh Kim; Anesthesiology
Kim, Ha-Yeon; Internal Medicine, Respirology
Kirby, John Martin; Diagnostic Radiology
Kitching, Allan Donald; Cardiology, Internal Medicine
Koff, David Alain; Diagnostic Radiology
Kolb, Martin   Rainer Josef
Kolesar, Richard Emil; Anesthesiology
Kollek, Daniel; Family Medicine, Family Medicine (Emergency Medicine)
Kopyto, Allan   Austin; Family Medicine
Korkis, Joseph Armand; Otolaryngology - Head and Neck Surgery
Korman, Sunny Bruce; Otolaryngology - Head and Neck Surgery
Kostandoff, Gregory Hunter; Anesthesiology
Kouroukis, Chrisostomos; Hematology, Internal Medicine
Kozenko, Mariya Anatoliivna; Medical Genetics and Genomics
Koziarski, Robert John; Family Medicine
Kraeker, Christian Bradley; Internal Medicine
Kraus, Peter   Alan; Internal Medicine
Kremer, Sidney Gregory Jordan; Cardiology, Internal Medicine
Krensky, Robert
Krepinsky, Joan Caroline; Internal Medicine, Nephrology
Krizmanich, William   John; Family Medicine, Family Medicine (Emergency Medicine)
Krol-Szpakowski, Margaret
Kufaishi, Hala Farid; Internal Medicine
Kumar, Rohini; Family Medicine
Kwok, Desmond Chin-Hung; Orthopedic Surgery
Kwok, Trevor   Pak Hai; Family Medicine
Labuda, Anna; Physical Medicine and Rehabilitation
Lace de Almeida, Claudia; Pediatric Cardiology, Pediatrics
Ladak, Karim; Internal Medicine, Rheumatology
Lagrotteria, Leda; Family Medicine
Lagrotteria, Lino   Pasquale; Family Medicine
Laidley, Ian Frederick; Emergency Medicine
Lajoie, Julie Jacqueline Mary; Anesthesiology
Lakhanpal, Pulkesh; Family Medicine
Lambe, Shahid Abdul Razak; Urology
Lamy, Andre; Cardiovascular and Thoracic Surgery, General Surgery
Landry, David   James; Diagnostic Radiology
Langmann, Caillin; Emergency Medicine
Lanktree, Matthew Bruce; Internal Medicine, Nephrology
Lanzini, Rosilene   Canzi Almada; Dermatology
Larrazabal, Ramiro Alfredo; Diagnostic Radiology
Lau, Arthur Ngar Tat; Internal Medicine, Rheumatology
Law, Sai Fai Bosco; Anesthesiology
Le, De   Quang; Family Medicine
LeBlanc, Guy; Family Medicine
Lee, Hilary Mary; Critical Care Medicine, Emergency Medicine
Lee, Jee-Yong   John; Cardiac Surgery, General Surgery
Lee, Jennie Ka Po; General Surgery
Lee, Justin Yusen; Geriatric Medicine, Internal Medicine
Legault, Kimberly   Janet; Internal Medicine, Rheumatology
Leggett, Peter   James; Family Medicine
Lemckert, Ronald Joachim; Otolaryngology - Head and Neck Surgery
Lennox, Robin Barbara Bateman; Family Medicine
Lentz, Vanessa   Juliane; Psychiatry
Leonardi, Mathew; Obstetrics and Gynecology
Leong, Darryl Peng-Yu; Cardiology, Internal Medicine
Leontiadis, Grigorios Ioannis; Gastroenterology
Lesiuk, Lawrence   Stephen; Anesthesiology
Leto, Daniela Laura; Infectious Diseases, Internal Medicine, Medical Microbiology
Leung, Marie Jasmine; Internal Medicine
Levinson, Anthony Julius; Psychiatry
Levis, Carolyn Mary; Plastic Surgery
Levy, David Richard; Family Medicine
Levy, Richard   Murray; Family Medicine
Lewis, Kimberley Anne Beverly; Critical Care Medicine, Internal Medicine
Lewis, Maxine Anne; Psychiatry
Lewis, Trevor Austin; Otolaryngology - Head and Neck Surgery
Li, David Yang; Diagnostic Radiology
Liaconis, Haralambos; General Surgery
Liang, Lorraine Min-Shan; Urology
Liang, William   Sun-Wah
Liebregts, Michelle Tanya; Emergency Medicine
Ligori, Tania; Anesthesiology, Critical Care Medicine
Lim, Henry; Family Medicine
Lin, Celina Maria Pao-Chi; Physical Medicine and Rehabilitation
Links, Paul Skevington; Psychiatry
Lloyd, Robert   Jeffrey; Pediatrics
Lo, Raymond Ching-Tat; Internal Medicine, Neurology
Lodhi, Amina; Internal Medicine, Rheumatology
Loeb, Mark Bertram; Infectious Diseases, Internal Medicine, Medical Microbiology
Lonn, Eva   Marcu; Cardiology, Internal Medicine
Lozinski, Ala   Zuzanna; Dermatology
Lubanska-Hubert, Elzbieta   Grazyna; Anesthesiology
Lumb, Barry   James; Gastroenterology, Internal Medicine
Luthra, Meera; Endocrinology and Metabolism, Internal Medicine
Lysecki, Paul Joseph; Critical Care Medicine, General Surgery
MacDonald, Jay   R; Emergency Medicine
Macdougall, Paul   Joseph; Family Medicine, Family Medicine (Emergency Medicine)
MacKinnon, Judith   Anne Wittman; Family Medicine
MacLean, Jonathan Alan; Otolaryngology - Head and Neck Surgery
Magloire, Patrick Morales; Cardiology, Internal Medicine
Mahn, Joanna; Family Medicine, Family Medicine (Emergency Medicine)
Maida, Eugene C; Pain Medicine, Physical Medicine and Rehabilitation
Main, Cheryl   Lea; Infectious Diseases, Internal Medicine, Medical Microbiology
Malhotra, Rohin Tilak; Critical Care Medicine, Diagnostic Radiology, Internal Medicine
Mallin, Alexandra Rebecca; Emergency Medicine
Mammen, Thomas; Diagnostic Radiology
Mangin, Derelie Ann; Family Medicine
Manjoo, Ajay; Orthopedic Surgery
Mann, Keith   Douglas; Ophthalmology
Marcaccio, Michael   Joseph; General Surgery
Marcucci, Maura; Internal Medicine
Margetts, Peter Joseph; Internal Medicine, Nephrology
Marjerrison, Stacey Leah; Pediatric Hematology/Oncology, Pediatrics
Markose, George; Diagnostic Radiology, Interventional Radiology
Marr, Sharon   Amy; Geriatric Medicine, Internal Medicine
Marrin, Michael   Lefebvre; Pediatrics
Marriott, Christopher   John Campbell; Nuclear Medicine
Marshall, Denise Irene; Family Medicine
Marshall, John   Kenneth; Gastroenterology, Internal Medicine
Martin, James Andrew; Ophthalmology
Martin, Leslie Joyce; General Internal Medicine, Internal Medicine
Martin, Stuart; Plastic Surgery
Martini, Jennifer Anne; Family Medicine
Mathew, Anna   T; Internal Medicine, Nephrology
Mathoo, Julian   Marshall Ranji; Physical Medicine and Rehabilitation
Matsos, Mark Paul; Internal Medicine, Rheumatology
Maxwell, Jay Preston; Anatomical Pathology, Forensic Pathology
Mayer, Kevin David; Family Medicine
Mazurek, Emma Mae; Family Medicine
Mazurek, Michael Francis; Neurology
Mazzetti, Gavin Joseph; General Internal Medicine, Internal Medicine
McCarty, Tracey   Stephanie; Family Medicine
McCloy III, Robert Andrew; Orthopedic Surgery
McConachie, David   Reid; Cardiology, Internal Medicine
McCullagh, David Joseph; Infectious Diseases, Internal Medicine
McCullagh, Scott Robert; Psychiatry
McCulloch, Amy Eleanor; Family Medicine, Family Medicine (Emergency Medicine)
McFarling, Matthew Ryan; Anesthesiology
McGill, Gregory Murray; Family Medicine
McKenzie, William   George Mark
McLeod, Heather Christine; Geriatric Medicine, Internal Medicine
McMillan, Sharon   Kim; Family Medicine
McRae, Mark   H. J.; Plastic Surgery
McRae, Matthew Christian J; Plastic Surgery
Meade, Maureen   Ora; Internal Medicine
Medina, Damien Richard; Critical Care Medicine, Internal Medicine
Mehta, Shamir; Cardiology, Internal Medicine
Menchions, Charles William Bruce; Psychiatry
Menezes, Natasja   Maria; Psychiatry
Menon, Suresh; Neurology, Neurology
Mercante, Nadia   Frances; Family Medicine
Mertz, Dominik
Metrie, Mary Mamdouh Hanna; Neurology
Meyers, Brandon Matthew; Internal Medicine, Medical Oncology
Michael, Sameh   William Ghaly; Family Medicine
Miklea, Jonel; Family Medicine
Miller, John   Douglas; General Surgery, Thoracic Surgery
Miller, Matthew Chester; Internal Medicine, Nephrology
Miller, Paul   Quinlan; Emergency Medicine
Minuzzi, Luciano; Psychiatry
Misiaszek, Brian   Christopher; Geriatric Medicine, Internal Medicine
Moayyedi, Paul; Gastroenterology, Internal Medicine
Moffatt, James Ian Riley; Diagnostic Radiology
Mohammed, Naufal; Internal Medicine
Moisiuk, Peter Donald; Anesthesiology
Molnar, Amber   October; Internal Medicine, Nephrology
Mondal, Tapas   Kumar; Cardiology, Pediatrics
Mondoux, Shawn; Emergency Medicine
Montgomery, Alison   Grace; Cardiology, Internal Medicine
Morgan, David Geoffrey; Internal Medicine
Morgan, Nancy   Angel Elise Marie; Internal Medicine
Moriarity, Tracey   Ann Therese; Family Medicine
Moro, Jaydeep Krishnakant; Orthopedic Surgery
Morris, Catherine   Ruth; Family Medicine
Mulcaster, Julian Thomas; Anesthesiology
Mulji, Amin Shaukatali; Cardiology
Mullen, Sarah Jane; Ophthalmology
Mullens, Jean   Louise; Family Medicine
Muniz Rodriguez, Flor Maria; Physical Medicine and Rehabilitation
Murphy, Francis   Richard; Dermatology
