Aalders, Ryan Francis; Family Medicine
Brill, Yoav; Obstetrics and Gynecology
Britton, Ian Alexander Watson; Cardiology, Internal Medicine
Bryon, Terrence Fredrick
Buchan, Brian Joseph; Critical Care Medicine, Internal Medicine
Bukmuz, Nadine   Madeleine
Burke, Stephen Joseph; Family Medicine
Burrell, Althea Alexina; Internal Medicine, Respirology
Burry, Erica Marie; Endocrinology and Metabolism, Pediatrics
Busato, Gian-Marco Christian; Otolaryngology - Head and Neck Surgery
Byrne, Tara Marie; Family Medicine, Family Medicine (Emergency Medicine)
Carruthers, Martha Helen; Family Medicine
Carson, James   David; Family Medicine
Chan, Alice Ching Man; Family Medicine
Chan, Caroline Lee-Kwan; Family Medicine, Family Medicine (Emergency Medicine)
Chan, Chris Ching Wai; Critical Care Medicine, Internal Medicine, Respirology
Chan, Vanessa   Pek Shun; Internal Medicine
Chan, Veronica Hew Tung; Pediatrics
Chandy, Mark Joseph Koonthanam; Cardiology, Internal Medicine
Chang, Neil Gerard; Obstetrics and Gynecology
Chapman, Kelly Suzanne; Family Medicine
Cheang, Timothy Sheau-En; General Surgery
Chen, Christine Michelle; Family Medicine, Family Medicine (Emergency Medicine)
Chen, Lily   Furong; Family Medicine
Cheng, Frederick Hong Tai; Family Medicine, Family Medicine (Emergency Medicine)
Cheng, Joan   Fuji; Family Medicine, Family Medicine (Emergency Medicine)
Cherniak, William; Family Medicine, Family Medicine (Emergency Medicine)
Cheung, Lydia Yee-Chin; Family Medicine
Chivers, Quinton Jamnes; Plastic Surgery
Choi, Perry   Praharita; Diagnostic Radiology
Chouinard, Renee Rachel; Obstetrics and Gynecology
Chow, Anthony; Family Medicine
Choy, Stephen Che Kit; Diagnostic Radiology
Chrystoja, Walter   Andre
Chung, Terry   Tai Hyun; Diagnostic Radiology
Claybo, Ross Allan; Emergency Medicine
Cohen, Matthew Allan; Obstetrics and Gynecology
Coles, Nicole Adrienne; Endocrinology and Metabolism, Pediatrics
Cooper, Pamela Jean; Pediatrics
Currie, Heather   Jean; Family Medicine
Dai, Monica Oi-Yee; Family Medicine
Damus, Alexander   Michael; Family Medicine
Dancey, David Ross; Internal Medicine, Respirology
Datta, Partha; Internal Medicine
Davids, Taryn; Otolaryngology - Head and Neck Surgery
Dawood, Taslim Allibhai; Neonatal-Perinatal Medicine, Pediatrics
De Sequeira, Carlos   Miguel Gouveia; Diagnostic Radiology
Devraj, Amanda Laxmi; Internal Medicine
Dhamko, Helena; Hematology, Internal Medicine
Dharmai, Gillian Sabrina; Obstetrics and Gynecology
Di Costanzo, Giovanni Angelo; Urology
Djelic, Lucas; Internal Medicine
Doctor, Shaheen Saifuddin; Pediatrics
Doobay, Anand   Vishwanath; Critical Care Medicine, Internal Medicine
Doobay, Dharmendra; Family Medicine
Dzineku, Frederick Mawupe; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
East, James Michael; Critical Care Medicine, Internal Medicine
El-Zimaity, Hala Mohamed Tawfik; Anatomical Pathology
Eskandar, Sherif   Nagui Fayek; Anesthesiology
Esterbauer, Ronald   Gordon; Family Medicine
Esufali, Susmita; Family Medicine
Fanaras, Effie; Internal Medicine, Respirology
Fera, Evridiki   Vicky; Infectious Diseases, Pediatrics
Fernandes, Nisha  Maria; Internal Medicine
Fernandes, Vinay Thomas; Otolaryngology - Head and Neck Surgery
Filosa, Thomas Michael; Family Medicine
Finkelstein, David Mark; Otolaryngology - Head and Neck Surgery
Fogel, Adam Seth; Family Medicine, Family Medicine (Emergency Medicine)
Forse, Kelly Monique; Family Medicine
Forse, Monique   Simms; Internal Medicine, Respirology
Fu, Anna; Gastroenterology, Internal Medicine
Fung, Filgen  Yut-Tou; Emergency Medicine
Ganeshalingam, Anushiya; Family Medicine
Garcia-Erdeljan, Meivys; Obstetrics and Gynecology
Garg, Abhinav; Pediatrics
Ge, Yin; Cardiology, Internal Medicine
Geenen, Caroline Louise; Neurology
Gheshmy, Afshan; Internal Medicine
Gilmour, Jeffrey  Lawrence; Obstetrics and Gynecology
Ginzburg, Val   Eliezer; Family Medicine
Gnanapandithen, Kumudini; Internal Medicine
Goldstein, Jeffrey Lee; Internal Medicine, Nephrology
Goodman, Rusty Calvin Jay; Rheumatology
Gorman, James   Alexander
Greenwald, Allen Gabriel; Internal Medicine, Respirology
Greenwald, Ilana Rachel; Family Medicine
Grewal, Deepa; Pediatrics
Grill, Allan Kevin; Family Medicine
Gupta, Chantal   Rachel; Former Name: Gupta-Chrystoja, Chantal Rachel
Gupta, Karuna Lesley; Family Medicine
Gurau, Adam Joel; Family Medicine
Guttman, Mark; Neurology
Hacker, Paul   Michael; Cardiology, Internal Medicine
Hadlock, Shane   David; Gastroenterology, Internal Medicine
Haider, Syed   Yasser Ammar; Orthopedic Surgery
Hajra, Leena; Internal Medicine, Medical Oncology
Halik, Jerry Joseph; Otolaryngology - Head and Neck Surgery
Hanna, Bassem Matta Nashed; Otolaryngology - Head and Neck Surgery
Hanna, Ramez Raafat; Diagnostic Radiology
Harel, Shai
Haw, Peter Michael; Family Medicine
Hayward, Victoria; Plastic Surgery
Held, Karen   Ann; Family Medicine
Henry, Melanie Joy; Family Medicine
Hess, Tiiu Mai; Ophthalmology
Himmel, Susan
Hirani, Aliya Mohamed; Family Medicine
Ho, Karen Cin Ting; Family Medicine, Family Medicine (Emergency Medicine)
Hojilla, Carlo Vincent; Anatomical Pathology
Homer, Ivy Michelle; Family Medicine
Hood, Roberta Denise; Family Medicine
Hummel, David   Brian; Clinical Immunology, Pediatrics
Huo, Jeanne Zhen; Family Medicine
Hussein, Elhadi Farag; Anesthesiology
Hussein, Naushad; Ophthalmology
Huynh, Sandra Vo Bao Linh; Family Medicine
Iakovleva, Gaiane Khatchatourovna; Anatomical Pathology
Ing, Alan; General Surgery
Iseman, Wendy Ellen; Family Medicine, Family Medicine (Emergency Medicine)
Jacobson, Paul David Morris; Family Medicine, Family Medicine (Emergency Medicine)
Jalal, Hamza; Neurology
Jang, Douglas Kye; Family Medicine
Jeong, James; Internal Medicine
Jethwa, Anita; Pediatrics
Jha, Mayank Monal; Internal Medicine, Rheumatology
Kachoei, Babak   Ataei; Internal Medicine
Kalani, Aashish; Internal Medicine
Kanetos, Emmanuel; Family Medicine
Kao, John   Te Shao; Plastic Surgery
Kapoor, Vimal   Scott; Community Medicine, Family Medicine, Family Medicine (Emergency Medicine), Occupational Medicine
Kassam, Fatma-Zahra Amirali; Radiation Oncology
Kayedi, Mandana; Internal Medicine
Kazandji, Dalal; Family Medicine
Keetbaas, Shayne Dirk; Orthopedic Surgery
Keng, Christine Jia-Shin; Colorectal Surgery, General Surgery
Kennedy, Joseph   Douglas; Family Medicine
Kerlow, Thomas   Nicholas; Family Medicine
Kern, Melissa Anne; Diagnostic Radiology
Kesarwani, Priya; Otolaryngology - Head and Neck Surgery
Khan, Baseer   Uddin; Ophthalmology
Khan, Danish Meraj; Family Medicine, Family Medicine (Emergency Medicine)
Khorasani-Zadeh, Arman; Gastroenterology, Internal Medicine
Kim, David   Hae-Min; Neurology
King, Barbara   Joan; Family Medicine, Family Medicine (Emergency Medicine)
Kirsch, Susan Ellen; Endocrinology and Metabolism, Pediatrics
Ko, Gordon   Dickman; Family Medicine, Family Medicine (Emergency Medicine), Physical Medicine and Rehabilitation
Kogan, Eva; Endocrinology and Metabolism, Internal Medicine
Kong, Grace Joanne; Anesthesiology, Family Medicine
Koo, Kevin; Orthopedic Surgery
Krishna, Gajan Ethan; Family Medicine
Kumar, Vikaash Naveen Chandra; Internal Medicine, Medical Oncology
Kus, Lukas Henryk; Otolaryngology - Head and Neck Surgery
Kwong, Justin See Wing; Urology
La Delfa, Anthony Joseph; Infectious Diseases, Internal Medicine
Lackman, Felice Debbie; Obstetrics and Gynecology
Ladak, Yasmin; Family Medicine
Lai, Alison Tin-Sum; Internal Medicine
Lai, Crystal Yan Chung; Family Medicine
Lai, Eliza   Pui Yin; Family Medicine
Lam, Emilie Yat-Yee; Family Medicine
Lam, Janice Sze Wei; Obstetrics and Gynecology
Lam, Richard   Alan; Anesthesiology
Lam, Yuet Ming; Family Medicine
Lau, Agatha; Gastroenterology, Internal Medicine
Le, Khoa Anh; Internal Medicine
Lee, Ambrose Wai-Man; Family Medicine, Family Medicine (Emergency Medicine), Otolaryngology - Head and Neck Surgery
Lee, Kevin   Anthony; Pediatrics
Lee, Paul Kin Pong; Internal Medicine
Lekas, Michael   Chris; Cardiology, Internal Medicine
Lekas, Poli; Internal Medicine, Nephrology
Leung, Kevin   Kin-Man; Family Medicine
Leventis, Anastasios; Family Medicine
Levin, Leo; Pediatrics
Lewtas, Joanne Lawrence; Internal Medicine, Rheumatology
Li, Brian Heng; Cardiology, Internal Medicine
Li, Gangyong; Anatomical Pathology
Li, Janice Chia Yen; Family Medicine
Li, Jennifer Zhirui; General Surgery
Li, Yunru; Anatomical Pathology
Liang, Edmund Ka Kwun; Ophthalmology
Licorish, Paulette   Moreen; Neurology
Lim, Hilda   Hue-Ching; Family Medicine
Linkenheil, Edith; Obstetrics and Gynecology
Liu, Emily Wai-Ying; Plastic Surgery
Liu, Eugene Sy; Ophthalmology
Liu, Hebert; Internal Medicine
Lokoff, Paul   Christopher; Anesthesiology
Losier, Justin H; Family Medicine, Family Medicine (Emergency Medicine)
Lotfi, Shamim; Vascular Surgery
Lougheed, Daryl Brandon; Family Medicine
Lu, Jonathan Chun Ting; Cardiology, Internal Medicine
Lui, Bosco   Ting Man; Otolaryngology - Head and Neck Surgery
Lukitto, Karolinah; Anesthesiology
Lynde, Charles Walter; Dermatology
Madej, Ursula Halina Zenobia; Pediatrics
Madronich, John   Robert; Plastic Surgery
Magee, Gary Lloyd; Family Medicine
Mahalingam, Sivendiran; Anesthesiology
Malach, Jessica Hannah; Pediatrics
Malkin, Lilia; Family Medicine, Family Medicine (Emergency Medicine)
Manalo, Elbert Jeffrey; Family Medicine
Mandel, Drue   Hartley; Family Medicine
Manek, Kamran Abbas; Family Medicine
Marisette, Stephen   Randall; Family Medicine
Martow, Jeffrey; Ophthalmology
Mauer, Martin   Bernard; Anesthesiology
Maxted, John   Malcolm; Family Medicine
Mazzotta, Paolo; Family Medicine
McLaren, Stephen   Tierney; Family Medicine
McLennan, Michael  Kenneth; Diagnostic Radiology
McMahon, John Stephen; Orthopedic Surgery
Mehta, Arun   Kumar
Mehta, Mauli Chiragbhai; Geriatric Medicine, Internal Medicine
Mehta, Mitesh; Diagnostic Radiology
Meindok, James Roman; Diagnostic Radiology
Menard, Sonia; Pediatrics
Miller, Eli; Family Medicine, Family Medicine (Emergency Medicine)
Mingie, Lorraine  Olivia
Minkowitz, Joseph; Cardiology, Internal Medicine
Mirtorabi, Nima; Family Medicine
Mitelman, Bernice Yona; Family Medicine, Family Medicine (Emergency Medicine)
Moeenalsadat, Mahsa; Anesthesiology
Mohammed, Michelle   Jodie; Internal Medicine
Mohile, Sonali Aniruddha; Pediatrics
Mollon, Brent Gary; Orthopedic Surgery
Moran, Philip   Andrew; Emergency Medicine
Morana, Corrado Giovanni; Family Medicine
Morgenstern, Justin; Family Medicine, Family Medicine (Emergency Medicine)
Morong, Sharon   Elizabeth; Otolaryngology - Head and Neck Surgery
Mousmanis, Patricia Ann; Family Medicine
Mudrik, Kevin   Paul
Mui, Elizabeth Dorothy; Family Medicine
Musewe, Norman N; Cardiology, Pediatrics
Musewe, Toylin Kudzai; Ophthalmology
Mutasingwa, Donatus   Rutajama; Family Medicine
Muthulingam, Varathaseelan; Internal Medicine
Nadarajah, Jeya   Thirumagal; Infectious Diseases, Internal Medicine, Medical Microbiology
Nandal, Vijay; Anesthesiology
Naqvi, Raza Mohammad; Geriatric Medicine, Internal Medicine
Narayanan, Chitra
Newton, William   Hugh; Family Medicine
Ng, David Professional; Family Medicine, Psychiatry
Ng, Ken Hiu Ming
Nguyen, Cam Tu Janet; Internal Medicine
Nita, Dragos   Alexandru; Neurology
Noble, Jason; Ophthalmology
Noble, Klaudia   Barbara; Diagnostic Radiology
Noticewala, Neelam Natverlal; Pediatrics
Nunan Barclay, Sarah   Jane; Family Medicine
Oda, Ronald   George; Family Medicine
O'Grady, Kevin Francis; Plastic Surgery
Olsen, Michael; Orthopedic Surgery
Oyenubi, Ademilola   Nasima; Internal Medicine
Oyewumi, Lamidi Kolawole; Psychiatry
Oyewumi, Modupe Tolunimi; Otolaryngology - Head and Neck Surgery
Padzik, Jan Pawel; Anesthesiology
Pancer, Larry   Brian; Pediatrics
Pancer, Zachary Isaac; Pediatrics
Pang, Victoria Hau-Yin; Pediatrics
Parikh, Prasan; Anesthesiology
Park, Edward Kyu Yol; Otolaryngology - Head and Neck Surgery
Pasricha, Ajai   Kumar; Family Medicine, Internal Medicine
Pasricha, Deepti; Family Medicine
Patterson, Andrew   Russell
Payne, Robert Paul; Urology
Pendergast, Patrick   John; General Surgery
Perna, Philip; Anesthesiology
Peters, Christyne   Janice; Obstetrics and Gynecology
Petrescu, Dan; Infectious Diseases, Internal Medicine
Philpott, Jane Pauline; Former Name: Little, Jane Pauline
Pinto, Tanya Rita; Geriatric Psychiatry, Psychiatry
Poon, Elizabeth; Family Medicine
Popa, Cristina Claudia; Family Medicine, Family Medicine (Emergency Medicine)
Popalis, Cynthia Marie; Gastroenterology, Pediatrics
Pyselman, Colette Rinske; Obstetrics and Gynecology
Qian Lee, Ivy   Hai-Ping; Psychiatry
Qureshi, Hamzah; Internal Medicine
Radina, Maria; Internal Medicine, Respirology
Ragheb, Mariam; Family Medicine
Rajaratnam, Angelin; Family Medicine
Rajasingham, Menaka; Anesthesiology
Rajendra, Jegapathy; Psychiatry
Ramkissoon, Sachin Terrance; Family Medicine, Family Medicine (Emergency Medicine)
Ranken, Kersti Anne; Obstetrics and Gynecology
Rasty, Golnar; Anatomical Pathology
Rasul, Zahara; Family Medicine
Reginald, Arunun Yohann; Ophthalmology
Reginold Constantine, Jenova; Family Medicine
Reid, Christopher Ryan; Cardiology, Internal Medicine
Ritsma, Jillian Rose; Family Medicine
Rival, Richard Allan; Otolaryngology - Head and Neck Surgery
Roberts, Gwendolyn Jane; Pediatrics
Robinson, Dale   Keith; Neurology
Rottensten, Kirsten Lise; Community Medicine
Ruban, Thanu; Internal Medicine, Rheumatology
Ryman, Brianna Lynn; Pediatrics
Saad, Samy   Mikhail Soliman; Anesthesiology
Sabir, Sonia; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Sai, Obodai; Psychiatry
Saini, Preeti; Family Medicine
Sales, Valerie; Infectious Diseases, Pediatrics
Samuel, Christopher Varughese; Family Medicine, Family Medicine (Emergency Medicine)
Sands, Alex; Internal Medicine
Santone, David   Joseph; Orthopedic Surgery
Sayedi Roshkhar, Sayedhadi; Orthopedic Surgery
Selucky, Michal; Gastroenterology, Internal Medicine
Senthilnathan, Selvi; Pediatric Cardiology
Sethna, Rustom   Homi; Psychiatry
Shammi, Chekkera   Motaiya; Psychiatry
Shapero, Gary   Alan; Family Medicine
Sharif, Anoosh; Diagnostic Radiology, Nuclear Medicine
Sharifi Ghorveh, Faranak; Internal Medicine
Sharma, Navneet; Pediatrics
Sheikh, Adeel Ali; Urology
Shi, Beili; Family Medicine
Shirali, Hemant   Ramesh; Orthopedic Surgery
Shore, Kevin Daniel; Critical Care Medicine, Internal Medicine
Shulman, David   Louis; Family Medicine, FCFP - Family Medicine
Singh, Gita; Obstetrics and Gynecology
Singh, Munesh Chandra; Pediatrics
Singh, Narendra Chandra; Endocrinology and Metabolism, Internal Medicine
Singh, Paramjeet Kaur; Family Medicine
Singh, Vishnu Shankar; Internal Medicine
Siu, Vincent; Cardiology, Internal Medicine
Sjodin, Astrid   Dawn; Family Medicine
Sklar, Michael Chaim; Anesthesiology
Smith, Crystal   Anne; Orthopedic Surgery
Solomon, Philip   Roland; Otolaryngology - Head and Neck Surgery
Solow, Henry Lucius; Internal Medicine
Soudi, Nima; Family Medicine, Family Medicine (Emergency Medicine)
Srinivasan Sridhar, Vikas; Internal Medicine, Nephrology
Steirman, Michael; Diagnostic Radiology
Stephen, Christopher   Michael; Diagnostic Radiology
Strauss, Barry   Irwin; Family Medicine
Suchak, Nayana   Avinash; Family Medicine
Sud, Maneesh Kumar; Cardiology, Internal Medicine
Sugai, Michael   Ken; Internal Medicine, Rheumatology
Sultana, Shahida; Internal Medicine
Svystonyuk, Oleksandr Ivanovich; Obstetrics and Gynecology
Syed, Sumairah Ashraf; Family Medicine
Tam, Yiu   Wing; Internal Medicine
Tan, Eva Yunru; Family Medicine, Family Medicine (Emergency Medicine)
Tan, Megan Ciara; Family Medicine
Tandon, Shruti; Cardiology, Internal Medicine
Tang, Kenneth; Anesthesiology
Tang, Wei; Psychiatry
Taylor, Michael   Jonathon; Family Medicine
Telch, Joseph; Pediatrics
Teshima, Tara Lynn; Plastic Surgery
Thirugnanam, Subarna; Critical Care Medicine, Internal Medicine
Thomas, Garry   Robert; Cardiology, Internal Medicine
Thompson, Courtney Ann; Infectious Diseases, Internal Medicine
Ticoll, Brian; Psychiatry
Toor, Sundeep Singh; Diagnostic Radiology
Treanor, Nuala Jean; Anesthesiology
Tsao, Pamela   Lih-Pin; Endocrinology and Metabolism, Internal Medicine
Tsui, Helen In Ling; Pediatrics
Tyndel, Felix Joseph; Internal Medicine, Neurology
Um, Gregory   Tai Hoon
Vallipuram, Janaki; Pediatrics
Vela, Kanna   Jeyaverny; Family Medicine
Virro, Michael   Reginald; Obstetrics and Gynecology
Vivona, Angelo   Antonio; General Surgery
Vohra, Geeta Bala; Family Medicine
Vora, Raaj; Orthopedic Surgery
Wais, Marta Ewa; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Walker, Robin   Michael Cumnor; Ophthalmology
Wallani, Zulfikarali Abdulrahim; Psychiatry
Wallman, Ronald   Andrew; Plastic Surgery
Wang, Jeffry   Bernard; Family Medicine
Ward, Michael Robert; Cardiology, Internal Medicine
Wasan, Santosh Madanlal; General Pathology
Watt, Kristina Nancy; Internal Medicine, Respirology
Watts, Evan; Orthopedic Surgery
Weinstock, Victor   Moss; Ophthalmology
Weissberger, Jeff   Michael; Family Medicine
Werger, Jeffrey   Paul; Otolaryngology - Head and Neck Surgery
West, Amanda Lynne; Family Medicine
Whang, Paul; Anesthesiology
Whelan, Patrick Joseph; General Surgery
Wiley, Joseph Charles; Pediatrics
Wise, Yishai Avraham; Family Medicine
Wong, Arthur Daniel Wai-Yen; General Internal Medicine, Internal Medicine
Wong, Dennis Kachun; Family Medicine
Wong, Jessica Oyman; Family Medicine
Wong, Richard Leung; Pediatrics
Woo, Elaine   Kin Jen; Ophthalmology
Xing, Jerry Guangyu; Orthopedic Surgery
Yang, Howard Calvin; Anatomical Pathology
Yang, Nicola Hiu Lam; Family Medicine
Yang, Peter Sihan; Diagnostic Radiology
Yang, Simon Yie; General Surgery
Yee, Allan John; Internal Medicine
Yermak, Darya; Internal Medicine
Yeung, Alex; Anesthesiology
Yip, Gina Tak Chee; Family Medicine
Yip, Jonathan; Otolaryngology - Head and Neck Surgery
Yogeswaran, Kumaresan; Gastroenterology, Internal Medicine
Yuen, Sheila Sze Yung; Family Medicine
Yusuf, Zarah Fathima; Pediatrics
Zaretsky, Ashley Brooke; Family Medicine
Zhang, Hui Jue; Maternal Fetal Medicine, Obstetrics and Gynecology
Zhang, Ying; Family Medicine
Zhao, Conglong Alex; Pediatrics
Zhou, Amy Yang; Internal Medicine
Zitsow, Jason   Howard; Family Medicine, Family Medicine (Emergency Medicine)
