Abdel Hadi, Farid Mostafa; Obstetrics and Gynecology
Buldo, George   Paul; Internal Medicine, Nephrology
Burke, Howard Mitchell; Family Medicine
Cadesky, Benjamin Harold; Internal Medicine
Callow, John   Arthur; Family Medicine
Campbell, Melanie Elizabeth; Obstetrics and Gynecology
Cancelliere, Laura Antoinette; Obstetrics and Gynecology
Cha, James Yi-Ming; Internal Medicine
Chacon Fonseca, Inara   Josefina; Medical Genetics and Genomics
Chan, Calvin Chi Hung; Family Medicine
Chan, Kristine; Family Medicine
Chan, Tak-Leung; Family Medicine
Chandhoke, Gursimran; Internal Medicine, Medical Oncology
Chang, Chiu   Yen Michael; Urology
Chang, Jose; Internal Medicine, Medical Oncology
Chen, Stephen Huang-Ting; Otolaryngology - Head and Neck Surgery
Cheng, Eva See Wah; Family Medicine
Cheng, Horace Chien-Sheng; Otolaryngology - Head and Neck Surgery
Cheung, Thomas; Family Medicine
Chhabra, Samir Rajpal; Orthopedic Surgery
Chiang, Mae   Suk Man; Internal Medicine
Chin, Ian   Douglas; General Surgery
Chiu, Leo; Internal Medicine
Chkrebtii, Natalia Olegovna; Infectious Diseases, Internal Medicine
Chong, Angeline Ying Wing; Endocrinology and Metabolism, Internal Medicine
Chong, Christopher Anthony Kui Yew; General Internal Medicine, Internal Medicine
Chong, Rachel Ying Vun; Endocrinology and Metabolism, Internal Medicine
Chopra, Jagdish Chander
Chou, Angela; Family Medicine
Chung, Jonathan Byung-Min; Diagnostic Radiology
Chung, Justin   Alexander; Family Medicine, Family Medicine (Emergency Medicine)
Clouthier, Justin; General Surgery, Vascular Surgery
Colapinto, David Andrew; Family Medicine
Conway, Melanie Robin; Clinical Immunology and Allergy, Pediatrics
Corless, Kevin   Joseph
Cox, Heather   Lynette; General Surgery, Vascular Surgery
Craig, Jeffrey David Clark; Infectious Diseases, Internal Medicine
Crisp, David   Thomas; Internal Medicine, Neurology
Cserti-Gazdewich, Christine Margaret; Hematology, Internal Medicine
Das, Paul  Joy; Family Medicine
Delabie, Jan   Maria Andre; Laboratory Medicine
Dessouki, Esmat   Abdel Aleem Mohamed; Orthopedic Surgery
Dessouki, Omar   Esmat; Orthopedic Surgery
Dhillon, Ripple; Family Medicine
Di Fabio, Jonathan   Michael; Critical Care Medicine, Internal Medicine
Dickie, Andrew   John Dundas; General Surgery, Thoracic Surgery
Didomizio, Laura Jane; Obstetrics and Gynecology
Dion, Isabelle; Family Medicine
Dixon, Peter Frederick; Radiation Oncology
Doell, Donald Matthew; Geriatric Medicine, Internal Medicine
Donsky, Geoffrey; Diagnostic Radiology
Doran, Richard Joseph; Anesthesiology
Dotsikas, Gus; Diagnostic Radiology
Drury, Kathryn   Jeanette; Family Medicine
Duong, Hanh Heather; Pediatrics
Eckhaus, Allan Alfred; Plastic Surgery
Eisenstat, Lyon Jonathan; Internal Medicine
El-Keeb, Rabea AbdulMonaim Hasen; Internal Medicine, Respirology
El-Mallah, Medhat William Rezk Allah Hanna; Radiation Oncology
Elmekkawi, Amir   Elsayed; Pediatrics
Ennis, Maurice Anthony; Family Medicine
Fan, Kathy Hua; Anesthesiology
Fern, Ken   Tom Chiu; Orthopedic Surgery
Fiser, Jarmila Emilia; Anatomical Pathology
Forbes, Leta Marie; Internal Medicine, Medical Oncology
Ford, Derek   Thomas; Plastic Surgery
Francis, Julie-Ann   Ronelle; Obstetrics and Gynecology
Freedman, Orit Chaya; Internal Medicine, Medical Oncology
Freeman, Kenneth   Carlton; Emergency Medicine
Fuller, Benjamin   Royce; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Fung, Frank
Galante, Sean Marc; Diagnostic Radiology
Gallay, Stephen   Howard; Orthopedic Surgery
Gao, Andrew Feng; Neuropathology
Gao, Megan Jieou; Family Medicine
Gauster, Andrea; Family Medicine
Gee, David; Family Medicine
Gepraegs, Tobi   Adele; Family Medicine
Gevorgyan, Artur; Otolaryngology - Head and Neck Surgery
Ghadai, Talha Ismaeel; Family Medicine
Gharsaa, Osama Suleiman; Orthopedic Surgery
Gibson, Sean; Urology
Ginsburg, Morris Neale; Family Medicine
Glicksman, Amy Sara; Pediatrics, Respirology
Go, Katharyn   Rose S; Family Medicine
Golger, Alexander; Plastic Surgery
Goussev, Igor Sergueevitch; General Surgery
Grabowski, Arthur   Christopher; Urology
Graham, Kevin Charles; Family Medicine
Green, Daniel Marc; Gastroenterology, Internal Medicine
Green, Kevin Hugh Ian; Family Medicine
Grenville, Jeffrey; Diagnostic Radiology
Groen, Jeremiah Alan; Family Medicine
Guo, Perry Yuanpeng; Family Medicine
Hanna, John Raafat; Diagnostic Radiology
Hannouche, Fadi; Anesthesiology
Hason, Yaniv
Hayward, Diana Anna; Anesthesiology
He, Ran; Family Medicine
Herath, Subaratna   Menike; Anesthesiology
Hiemstra, Lynn Jean; Family Medicine
Ho, Benjamin Bob Man; Gastroenterology, Internal Medicine
Ho, Vincent Wan Kang; Family Medicine
Hollander, Andree Line; Family Medicine, Family Medicine (Emergency Medicine)
Howlett, Michael Kenneth; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Huang, Julie May; Internal Medicine, Respirology
Hussain, Dulara; Neurology
Huzel, Lisa   Louise; Internal Medicine, Respirology
Ibrahim, Abdulmajid Saleh; Orthopedic Surgery
Ibrahim, John   Naguib Eid; Obstetrics and Gynecology
Igwe, Elena; Gynecologic Oncology, Obstetrics and Gynecology
Ingram, Karen   Jennifer; Geriatric Medicine, Internal Medicine
Iqbal, Fawaad Omar; Radiation Oncology
Irish, Leon   Douglas
Isaac, Nicole   Stephanie; Diagnostic Radiology
Islam, Md Ashiqul; Internal Medicine
Ismiil, Nadia   Dawod; Anatomical Pathology
Jadavji, Irfan; Family Medicine
Jagan, Nigel   Narrendra; Family Medicine
Jakins, Katey Loretta; Family Medicine
Jakubovic, Baruch David; Clinical Immunology and Allergy, Internal Medicine
Jana, Elizabeth   Victoria; Obstetrics and Gynecology
Jeyabalan, Neera; Internal Medicine, Medical Oncology
John, Thomas; Physical Medicine and Rehabilitation
Jones, Julia   Jessica; General Surgery
Kadakia, Ankit; Internal Medicine
Kahn, Daniel Paul; Family Medicine
Kahn, Michael Khubbab; Anesthesiology, Critical Care Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Kang, Xian; General Surgery
Kassel, Robert Neil; Otolaryngology - Head and Neck Surgery
Kassirer, Aubrey   Gerome; Family Medicine
Katyal, Parul; Anesthesiology
Kendall, Hugh   Edward Allan; General Surgery
Kennedy, Joel Nathan Douglas; Family Medicine
Kennedy, Michael Geoffrey; Family Medicine
Khachatryan, Davit; Psychiatry
Khadim, Hamid; Family Medicine
Khan, Mustufa   Zafar; Diagnostic Radiology
Khan, Zanobia Fayyaz; Anatomical Pathology
Khatib, Nour; Family Medicine, Family Medicine (Emergency Medicine)
Ko, Hyang Mi; Anatomical Pathology
Koll, Wayne Alan Leo; Radiation Oncology
Koneru, Rama   Devi; Internal Medicine, Medical Oncology
Kopolovic, Ilana Rebecca; Hematology, Internal Medicine
Korzinstone, Clifford   Arnold; Ophthalmology
Koziar, Mary Louise; Family Medicine
Krishnan, Koushik Narayan; Family Medicine, Family Medicine (Emergency Medicine)
Kriz, Robert   Paul; Anesthesiology
Kwamie, Yosef   Kwaku; Psychiatry
Kwan, Wing   Hong; Internal Medicine, Nuclear Medicine
Laboni, Sadea Arefin; Family Medicine
Ladak, Rahim   Akbarali; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Lam, Heidix Kim Hing; Internal Medicine, Nephrology
Laverty, Colin   John; Family Medicine
Lee, Betty Huey-Quen; Family Medicine
Lee, John   Stephen; Family Medicine
Lee, Justin Jong-Kyu; Urology
Lee, Norman Kam Kee; Nuclear Medicine
Lenga, Ilan; Internal Medicine, Nephrology
Lesser, Sharolyn   Ruth; Family Medicine
Leung, Stephanie Pui-Yee; Obstetrics and Gynecology
Leung Sui Fung, Leong   Yoong Kwang; Family Medicine, Family Medicine (Emergency Medicine)
Levine, Richard   Jay; Diagnostic Radiology
Li, Audrey   Merika Wei-Ying; Radiation Oncology
Li, Chien   Chuang; Family Medicine
Lieberman, Lani   Denise; Pediatrics
Lindsay, Robert   Alexander; Family Medicine
Liu, Fanfan; Family Medicine
Liu, Jennifer   Jiayi; Obstetrics and Gynecology
Li-Yun-Fong, Ryan   Justin; Obstetrics and Gynecology
Lo, Gregory   Kwong-Kan; Internal Medicine, Medical Oncology
Lockner, Charlene Anne; Family Medicine
Long, Edward   George Sandford; Internal Medicine
Lussier, Timothy Michael; Family Medicine
Mahmoud, Wael Ezzat Abd Elrahman; Family Medicine
Mandel, Karen   Miriam; Hematology, Pediatrics
Marinova, Evguenia   Latinova; Family Medicine
Martin, Jeffrey William; Family Medicine
Martin, Michael   George; Orthopedic Surgery
Martins, Jennifer Natalie; Psychiatry
Martyres, David Joseph; Family Medicine
Mason, Mark   Christopher; Physical Medicine and Rehabilitation
Masri, Hassan; Critical Care Medicine, Internal Medicine
Massaad, Viviane; Diagnostic Radiology
Massabki, Raouf Albert Youssef; Child and Adolescent Psychiatry, Psychiatry
Mathur, Arun Kumar; Urology
Maybee, John   Douglas; Anesthesiology
Mazhar, Mir Nadeem; Psychiatry
McAllister, Caroline Dawn; Family Medicine
McKenzie, William   George Mark
McTavish, Elspeth Ellen; Family Medicine, Public Health and Preventive Medicine
Mehta, Ajay Bharat; Family Medicine
Mensinkai, Suchitra; Family Medicine
Mete, Ozgur; Anatomical Pathology, Laboratory Medicine
Mikhail, Mikel; Ophthalmology
Mills, Michael David; Ophthalmology
Misra, Manjula; Ophthalmology
Missiha, Sharif   Bishara; Gastroenterology, Internal Medicine
Mitchell, Marianna   Kristina; Pediatrics
Mitra, Sohini; Obstetrics and Gynecology
Mohapatra, Subhra Suman; Family Medicine
Mohl, Robert   Walter; Anesthesiology
Mok, Jean; Family Medicine
Moore, Lori Ann; Diagnostic Radiology
Moozar, Kouros; General Surgery
Moran, Joseph Francis; Family Medicine
Moran, Kevin   Charles
Moran, Philip   Andrew; Emergency Medicine
Morra, Pasqualino; Internal Medicine
Morton, Thomas John; Urology
Moss, Farley David; Family Medicine
Mount, Victoria Anne-Lii Hyatt; Family Medicine
Moussa, Bassem   Gamal Fahmy; Anatomical Pathology
Mui, Jimmy Ka Yeung; Radiation Oncology
Mumtaz, Shariq; Neurology
Munoz, David G; Neuropathology
Munroe, Sarah Anne; Family Medicine
Murnaghan, Olivia Katherine; Obstetrics and Gynecology
Murtada Dite Al-Sayed, Sukayna   Aly; Family Medicine
Mutungi, Tumushabe Maliza; Obstetrics and Gynecology
Myers, Andrew   Brian; Diagnostic Radiology
Naassan, Anthony Elie; Hematology, Internal Medicine
Nagai, Gordon Raymond; Internal Medicine, Nuclear Medicine
Narini, Philip   Paul; Plastic Surgery
Nasarullah, Fareeha; Family Medicine
Newton, Kathryn; Family Medicine
Ng, Edmund Hui On; Diagnostic Radiology
Ngo, Thi Kim Ngoc Caroline; Family Medicine
Nguyen, Ngoc Truong Tieu; Family Medicine
Niglas, Mark Richard; Radiation Oncology
Nijhawan, Navdeep; Ophthalmology
Nijmeh, Larry   John; Family Medicine
Noble, Peter Charles; Family Medicine
Oldham, Jaclyn Elizabeth Ellen; Family Medicine
O'Loghlen, Sean; Internal Medicine, Respirology
Oravec, Michael; Gastroenterology, Internal Medicine
Osborne, Edward   James; Family Medicine
Osinga, Christopher John; Orthopedic Surgery
Owlia, Aida; Family Medicine, Family Medicine (Emergency Medicine)
Palencar, Adriana; Family Medicine
Pancham, Paul   Ian; Obstetrics and Gynecology
Pang, Wei-Hsi; Family Medicine
Panowyk, Timothy John; Family Medicine
Parajian, Armen; General Surgery, Thoracic Surgery
Parajian, Talar; Anesthesiology
Parikh, Prasan; Anesthesiology
Parmar, Varinderjit Singh; Psychiatry
Paty, Jared David; Family Medicine
Pavone, Elio; Gastroenterology, Internal Medicine
Pendergrast, Jacob   McGimsey; Hematology, Internal Medicine
Perez-Ordonez, Bayardo Jose; Anatomical Pathology
Peto, John Janos; Geriatric Medicine, Internal Medicine
Pham, Nguyen Hoai Huong; Internal Medicine
Pilavdzic, Dragana; Anatomical Pathology
Poonah, Muhammad Fairoze; Family Medicine
Popovic, Gordana; Family Medicine
Puzio, Adam J F; Anesthesiology
pyle, adam; Family Medicine
Racicovschi, Daria Sanda; Psychiatry
Radhi, Jasim   Mohammed; Anatomical Pathology
Rahim, Sherali   Akber; Cardiology, Internal Medicine
Raikhlin, Anton; Diagnostic Radiology
Rajah, Rashid; Pediatrics
Randhawa, Manjinder   Singh
Rastogi, Ankit; Family Medicine
Rastogi, Aroop; Diagnostic Radiology
Raviele, Anelia   Konstantinova; Psychiatry
Reardon, Peter Mark Stephen; Critical Care Medicine, Emergency Medicine
Ricciuto, Daniel Robert; Infectious Diseases, Internal Medicine
Ritchie, Sarah Anne; Family Medicine
Ro, Athanasius   Sang-Ki; Ophthalmology
Rohani, Tommy Kambiz; Family Medicine
Rollins, Karen Elaine; Neurology
Rothenstein, Jeffrey   Marc; Internal Medicine, Medical Oncology
Roy, Pragma Laboni; Neurology
Ruff, Heather Michelle; Anatomical Pathology
Ruszkowski, Alexandra Dorota; Plastic Surgery
Saad, Samy   Mikhail Soliman; Anesthesiology
Sagi, Eliyhoo; Psychiatry
Sakran, Mahmoud   Hassan Mohamed Ali; Pediatrics
Samuel, Joyce Mary; Family Medicine
Sandhu, Monty; Internal Medicine
Santin, Jose Luis; Family Medicine
Santos Temperine, Eduardo
Scanlon, Joseph Basha; Family Medicine
Schattner, Ariah   Joshua; Hematology, Internal Medicine
Schoeman, Hendrik   Nicolaas; Family Medicine
Schwock, Joerg; Anatomical Pathology
Selby, Rita; Hematology, Internal Medicine
Sengar, Pankaj Singh; General Surgery
Shahata, Ahmed Farouk Ahmed; Obstetrics and Gynecology
Sharma, Arunabh; Internal Medicine, Respirology
Sharma, Vishal Kumar; Plastic Surgery
Sharngoe, Tenzing Calden; Internal Medicine
Shehata, Fady Fouad Amin; Obstetrics and Gynecology
Shenouda, Caroline; Obstetrics and Gynecology
Shim, Katharine   Ju-Hyun; Internal Medicine, Medical Oncology
Simantirakis, Pantelis; Anesthesiology
Simor, Andrew Eugene; Infectious Diseases, Internal Medicine, Medical Microbiology
Singh, Jitendra Kumar; Internal Medicine
Singh, Padamjit Mohan; Obstetrics and Gynecology
Singh, Puneet Kaur; Family Medicine
Sivapalan, Nardhana; Family Medicine
Slavchenko, Paul   Taras; Anesthesiology
Slobodian, Laurissa Michelle; Family Medicine
Smerdon, Kirsten; Internal Medicine, Medical Oncology
Smith, David Gerald; General Surgery
Smith, Stephen   Michael; Anatomical Pathology
Smith, Steven Ira; Urology
Soliman, Karim Adel Farid; Critical Care Medicine, Internal Medicine
SORIAL, IHAB  Zaki Nessim; Psychiatry
Spurrell, David   William; Anesthesiology
Sridhar, Srilata   Kavita; Critical Care Medicine, Internal Medicine
Steele, Andrew William; Internal Medicine, Nephrology
Stone, Anthony   Benedict
Stryde, Trevor Sherman; General Surgery
Stuparyk, Robert Michael; Family Medicine, Family Medicine (Emergency Medicine)
Sud, Shama; Clinical Immunology and Allergy, Pediatrics
Sun, Christina   Hui Yu; Obstetrics and Gynecology
Sundaram, Manickavasagam; Family Medicine
Suntharalingam, Sujiththa; Family Medicine
Suri, Megha; General Surgery
Swain, Gordon Jerome; Hematology, Internal Medicine
Swan, James   Henry; Internal Medicine
Szabla, Aleksandra; Family Medicine
Tadkase, Ankeeta; Family Medicine
Taerk, Evan; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Tahiliani, Manoj; Cardiology, Internal Medicine
Tahiliani, Ravi; Cardiology, Internal Medicine
Tahir, Ferhana; Family Medicine
Tam, Stephanie   Hok-Yee; Urology
Tanaka, Yumi; Family Medicine, Family Medicine (Emergency Medicine)
Tarek-Kaminker, Richard   Stephen; Orthopedic Surgery
Tauseef, Nazia; Obstetrics and Gynecology
Thangaroopan, Arulanantham; Psychiatry
Tierens, Anna Maria Michaella; Laboratory Medicine
Toma, Radu; Anesthesiology
Toman, Melanie Krista; Anesthesiology
Trainor, Shannon   Elizabeth; General Surgery, Thoracic Surgery
Tram, Carolyn Quyen Ngoc; Critical Care Medicine, Internal Medicine
Tseng, Leo; Physical Medicine and Rehabilitation
Tsuji, Matthew Ronald Shoji; Orthopedic Surgery
Tuppal, Raj   Kumar; Dermatology, Internal Medicine
Tzerovska, Rayka Ivanova; Anesthesiology
Udoeyop, Emmanuel   Jonathan; Obstetrics and Gynecology
Valiulis, Algis   Paulius; General Surgery
van der Kwast, Theodorus   Hendricus; Anatomical Pathology
Vandersluis, Rudolf; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Vasanthamohan, Lakshman; Hematology, Internal Medicine
Vieira, Rose-Anne Patricia; Family Medicine
Voinov, Valentin; Internal Medicine
Vu, Thien-An   John; Family Medicine
Wall, Leah Kathleen; Family Medicine
Walsh, Samuel  Joseph Travis; Anesthesiology
Wang, David T C; General Surgery
Wang, Jie Ting; Family Medicine
Wang, Mo Qing; Family Medicine
Wang, Xiao Ling; Family Medicine
Warlet Caldeira, Patricia
Wax, Randy   Stuart; Internal Medicine
Wei, Charles Chia-Ying; Internal Medicine, Nephrology
Wei, Wei; Diagnostic Radiology
Weir, Martina   June Egan; Family Medicine
Welsh, Christopher   Cullen; Family Medicine
Westbrook, Christopher; Family Medicine
Wherrett, Laurie   Jane; General Surgery
Whiting, Wilma Georgene; Anesthesiology
Wiggers, John Bradley; Infectious Diseases, Internal Medicine
Wilk, Andrew
Wilson, Jessica; Family Medicine
Wolek, Ryan Richard; Orthopedic Surgery
Wong, Helen Hoi Lam; Pediatrics
Woods, Anthony Craig; Hematology, Internal Medicine
Wu, Robert Chi; General Surgery
Yan, Allan; Internal Medicine
Yarnell, Christopher John; Critical Care Medicine, Internal Medicine
Yassein, Hossam; Ophthalmology
Yeung, Carrie; Internal Medicine, Medical Oncology
Ying, Thomas   Shu Fong
Youssef, Youssef Mikhail Rezk; Radiation Oncology
Yu, Savio Kwok Hei; Anesthesiology
Yung, Timothy Howard; Family Medicine
Yusuf, Muhseen Mohamed; Obstetrics and Gynecology
Zahavi, Michael Andrew; Family Medicine
Zaidi, Hasan   Abbas; Gastroenterology, Internal Medicine
Zakaria, Muhammed; Psychiatry
Zalewski, Pawel Gerard; Internal Medicine, Medical Oncology
Zheng, Luke; Pediatrics
Zheng, Luyu; Family Medicine
Zhu, Justin Xiao Guang; Internal Medicine, Nephrology
Zochowski, Thomas; Orthopedic Surgery
Zubair, Naeem   Ahmad; Anesthesiology
