Abonowara, Abdulgani Ab M; Cardiology, Internal Medicine
Medina, Damien Richard; Critical Care Medicine, Internal Medicine
Mehta, Amit   Labhshanker; Diagnostic Radiology
Mehta, Shamir; Cardiology, Internal Medicine
Mertz, Dominik
Minkarious, Edmon Fares Wahba; Internal Medicine, Nephrology
Mitar, Michael Domin; Internal Medicine, Respirology
Mkondo, Allen   Samuel Arhen; Pediatrics
Mohajerani, Seyed-Alireza; Family Medicine
Mohamed, Ali Mohamed Alaaeldin Labib Ali Labib; Family Medicine
Mohan, Uthra; Obstetrics and Gynecology
Mondal, Tapas   Kumar; Cardiology, Pediatrics
Monroy Rodriguez, Fanny Rocio; Pediatrics
Muhammad, Amin   Ali; Psychiatry
Musa, Ihsan Mohammed; Family Medicine, Family Medicine (Emergency Medicine)
Nagai, Ryuta; Internal Medicine, Nephrology
Naji, Faysal Nemah; Vascular Surgery
Natarajan, Madhu   Kailash; Cardiology, Internal Medicine
Nikneshan, Davar; Neurology
Nolan, Thomas   Joseph; Internal Medicine, Respirology
Nowicki, Robert   Duncan; Obstetrics and Gynecology
Nwebube, Nwachukwu Ifeanyi; Obstetrics and Gynecology
Ogunkeye, Alarape Oluwatosin; Pediatrics
Okawara, Gordon   Shigeo; Radiation Oncology
Okon, Marquis Moses Aniedi-Abasi; Obstetrics and Gynecology
Oladipo, Paul   Olawuwo; Family Medicine
Olufowobi, Olufemi Olugbenga; Obstetrics and Gynecology
Pallen, Alphie; Psychiatry
Pallie, Sven; Cardiology, Internal Medicine
Pandey, Anil Kumar; Anesthesiology
Paolone, Stephanie Ann; Internal Medicine
Parihar, Rishi; General Internal Medicine, Internal Medicine
Park, Je Woo; Diagnostic Radiology
Perez, Edgardo   Luis; Psychiatry
Pervez, Yasmin; Internal Medicine
Phillips, Cameron; Internal Medicine, Medical Oncology
Phillips, Stephanie Elaine; General Surgery
Pinilla Echeverri, Natalia; Cardiology
Plaza, Katarzyna; General Internal Medicine, Internal Medicine
Porwal, Hemraj Ratanchand; Family Medicine, Internal Medicine
Powers, Justin Anthony Robert; Family Medicine
Predescu, Dragos; Pediatrics
Puvendran, Samuel Nandakumar; Geriatric Medicine, Internal Medicine
Qawi, Huma; Internal Medicine, Medical Oncology
Rabbat, Christian George; Internal Medicine, Nephrology
Rabin, Elijah   Zephania; Internal Medicine
Rafiq, Arif; Anesthesiology
Ralph, Douglas Gordon
Ramanauskas, Justin A; Family Medicine
Rammohan, Surianarayanan; General Surgery, Vascular Surgery
Raut, Amit; General Internal Medicine, Internal Medicine
Raut-Deshpande, Pooja; Internal Medicine
Reddy, Kundavaram Narsimha; General Surgery, Urology
Redekop, Kylie Justine; Family Medicine
Refaei, Mohammad Refaei; Hematology, Internal Medicine
Rempel, Brenda Marlene; Internal Medicine
Rezaei Nejad, Mahsa; Internal Medicine
Rhemtulla, El-Karim Fatehali Jaffer; Ophthalmology
Ricciardi, Louie; Family Medicine
Riddle, Christopher; Family Medicine, Family Medicine (Emergency Medicine)
Robert, Christopher Eugene; Orthopedic Surgery
Robert, Paul   Francis; Orthopedic Surgery
Robichaud, Jeff   Marcel; Otolaryngology - Head and Neck Surgery
Romatowski, Walter   William; Gastroenterology
Rose, Jeremy Michael; Emergency Medicine
Rosloski, Joseph   Melvin
Ross, Nagi Abdel Malak; Family Medicine
Roy, Madan   Mohan; Pediatrics
Rudge, Sara   Kathryn; Family Medicine
Rumble, Edward   John; Orthopedic Surgery
Rust, Andrew Christopher; Family Medicine, Family Medicine (Emergency Medicine)
Rycroft, Jennifer Elizabeth; Family Medicine
Sacevich, Nathan Lee; Orthopedic Surgery
Safranyos, Richard   Gregory Alexander; Geriatric Medicine, Internal Medicine
Samuels, Peter   Michael; Family Medicine
Sangha, Navjeet Singh; Internal Medicine
Sarin, Sachin; Psychiatry
Savenkov, Oleg   Anatolievich; Psychiatry
Sawula, Donald   Alan; General Surgery
Schwalm, Jon-David Reid; Cardiology, Internal Medicine
Sebaldt, Alexandre Bernard; Anesthesiology
Segal, Dan; Gastroenterology, Internal Medicine
Senechal, Melanie; Family Medicine
Setrak, Rafi   Fahram; Family Medicine, Family Medicine (Emergency Medicine)
Shaikh, Maria Estrella Vergara; Family Medicine
Shaikh, Omer Sharif; Pediatrics
Shakhatreh, Hala Dafi Saleem; Pediatrics
Sharif, Sameer; Critical Care Medicine, Emergency Medicine
Shaw, Oliver Graham; Family Medicine
Sheikh, Amber Zia; Ophthalmology
Sheth, Tej   Narendra; Cardiology, Internal Medicine
Shetty, Akshay Rathnakar; Gastroenterology, Internal Medicine
Shetty, Geeta   Rathnakar; Anesthesiology
Shetty, Maithili   Rathnakar; Psychiatry
Shoebridge, Jeffrey   James; Urology
Shukla, Neeraj   Krishna; Child and Adolescent Psychiatry, Psychiatry
Sibbald, Matthew Gary; Cardiology, Internal Medicine
Siddiqui, Sameerah; Internal Medicine
Sillick, Jade Ellen; Family Medicine
Simunovic, Marko   Roderick; General Surgery
Singh, Jagdeep; Family Medicine, Family Medicine (Emergency Medicine)
Sloan, Kevin   Patrick; Dermatology
Soliman, Gamal Mikhail Labib; Internal Medicine, Nephrology
Somal, Kirandeep; Psychiatry
Song, Tom Tai Young; Urology
Spurek, Monika; Cardiology, Internal Medicine
St. Amand, Timothy   Andre; Family Medicine, Family Medicine (Emergency Medicine)
Stacey, Paul   Jeffrey; Physical Medicine and Rehabilitation
Stacpoole, Rebecca Anne; Family Medicine
Sternadel, Jerzy; Obstetrics and Gynecology
Stewart, Thomas   Edward; Internal Medicine
Stobbe, Karl   Edward; Family Medicine, Family Medicine (Emergency Medicine)
Stoltz, Katherine   Janet; Internal Medicine, Neurology
Tan, Nigel Shih-Yen; Cardiology, Internal Medicine
Tang, Alan   Chi-Luen; Otolaryngology - Head and Neck Surgery
Tang, Shangguo; Anatomical Pathology
Tatzel, Stephanie Marie; Urology
Tatzel, Timothy   Roger; Family Medicine
Teal, Patricia   Kathleen; Ophthalmology
Tharmabala, Mithula; Internal Medicine
Thiyagarajah, Kartiga; Hematology, Internal Medicine
Thiyagarajan, Senthil   Kumar; Anesthesiology
Tiffney, Jennifer; Psychiatry
Tisdale, Britton Edgett; Urology
Tolami Hemmati, Nasim; Diagnostic Radiology
Torigian, Michael   Andrew; Family Medicine
Treleaven, Darin James; Internal Medicine, Nephrology
Tsakiridis, Theodoros; Radiation Oncology
Tsang, Jennifer   Lai-Yee; Critical Care Medicine, Internal Medicine
Tsang, Michael Brennon; Cardiology, Internal Medicine
Upadhye, Suneel; Emergency Medicine
Utgikar, Rucha; Critical Care Medicine, Internal Medicine
Vaidyanathan, Sammy
Vaishnav, Vandana; Anesthesiology
Valettas, Nicholas; Cardiology, Internal Medicine
Van Der Walt, Louiza; Family Medicine
van Essen, Suzanne   Nicole; Family Medicine, Family Medicine (Emergency Medicine)
Van Kampen, Janice Yolande; Psychiatry
VanderMeer, Rachel   Laura; Internal Medicine, Medical Oncology
Vasan, Hariharan; Critical Care Medicine, Internal Medicine
Velasquez Malvehy, Juan   Martin; Internal Medicine
Velianou, James   Louis; Cardiology, Internal Medicine
Ventresca, Mario   Robert; Ophthalmology
Viljoen, Johan; Family Medicine, Obstetrics and Gynecology
Viviers, Georg Francois; Family Medicine
Vu, Christine-Marie My-Tran; Family Medicine
Vujosevic, Darija; Family Medicine
Walmsley, Laura Emily; Family Medicine
Wang, Michael Ke; Internal Medicine
Ward, Melissa Marie; Family Medicine, Family Medicine (Emergency Medicine)
Warsi, Mohammed   Ali; Psychiatry
Wasserman, David Warren; Internal Medicine, Medical Oncology
Wickens, Brandon Ronald; Otolaryngology - Head and Neck Surgery
Wiens, Doris Helene; Family Medicine
Wilkes-Whitehall, Deborah Ann; Family Medicine
Wilkie, Heather Lynn; Family Medicine
Wolski, Darryl   Mark; Family Medicine
Woodsford, Mathew   Noel; Family Medicine
Yelamanchili, Radhika; Internal Medicine, Medical Oncology
Yoo, David Kyungjae; Internal Medicine, Respirology
Young, Peter Gerard James; Plastic Surgery
Yu-Siao, Barbara Ann; Psychiatry
Zarabi, Sarah Farshchi; Internal Medicine
Zebrowska, Grazyna Anna; Anatomical Pathology
Zefkic, Katrina   Elise; Obstetrics and Gynecology
Zheng, Zuoyu; General Pathology
Zuliani, Preston Allan; Family Medicine
Zulys, Matthew; General Surgery
