Abdel Malak, Nagy   Malak; Family Medicine
Athreya, Sriharsha; Diagnostic Radiology, Interventional Radiology
Atrie, Damon; Emergency Medicine
Attar, Ahmad Ahmad A; Neurology
Avram, Ronen; Plastic Surgery
Avram, Victoria Rose Alexandra; Orthopedic Surgery
Ayeni, Olawale   Olugbenga; Family Medicine
Ayeni, Olufemi Rolland; Orthopedic Surgery
Ayibiowu, Ogunroti; Family Medicine
Aziz, Mariam; Geriatric Psychiatry, Psychiatry
Aziz, Tariq; General Pathology
Babic, Bojana; Endocrinology and Metabolism, Pediatrics
Bain, James   Ralph; Plastic Surgery
Baird, John Burke; Pediatrics
Baker, Steven   Kent; Physical Medicine and Rehabilitation
Banner, Harrison Matthew; Obstetrics and Gynecology
Bansal, Pankaj Eric; Family Medicine
Baraniecki, Robert Roch; Family Medicine, Family Medicine (Emergency Medicine)
Barker, Kimberly Lynn; Family Medicine, Family Medicine (Emergency Medicine)
Bashir, Abdelnasir   Omer; Critical Care Medicine, Internal Medicine
Basi, Simran Singh; Physical Medicine and Rehabilitation
Bates, Shannon   Marie; Hematology, Internal Medicine
Baw, Bandar Abdulraheem Islam; Clinical Pharmacology and Toxicology, Emergency Medicine
Beattie, Anne   Maxine; Ophthalmology
Bednar, Drew Alexander; Orthopedic Surgery
Belley-Cote, Emilie-Prudence; Cardiology, Critical Care Medicine, Internal Medicine
Belostotsky, Vladimir; Nephrology, Pediatrics
Benko, Randy   Robin; Anesthesiology
Bennett Heyd, Christopher George; Emergency Medicine
Bennett, Mark Robert Gerald; Psychiatry
Bennett, Teresa Ann; Psychiatry
Bentley, Todd Christopher; Physical Medicine and Rehabilitation
Bercik, Premysl; Gastroenterology, Internal Medicine
Berg, Tobias; Hematology, Medical Oncology
Best, Carolyn; Obstetrics and Gynecology
Bhavsar, Sankalp   Virendrakumar; Internal Medicine, Rheumatology
Bhola, Nereja; Anesthesiology
Bianchi, Fernando Anthony; Internal Medicine
Bibic, Desa; Family Medicine
Bibr, Henry Jindrich; Psychiatry
Bielecki, Barbara   Ania; Family Medicine
Bigelow, Gayle Sandra; Psychiatry
Black, Morgan Taylor; Family Medicine
Black, Morry Phillip; Family Medicine
Blain, Allison   Marie; Anesthesiology
Blew, Laura   Joan; Family Medicine
Blew, Philip  Gordon; Anesthesiology
Bobba, Raja   Sekhar; Internal Medicine, Rheumatology
Bonert, Michael; Anatomical Pathology
Bordeleau, Louise   Jeannine; Internal Medicine, Medical Oncology
Boudreau, Vanessa; General Surgery
Boulos, Pauline; Internal Medicine, Rheumatology
Bourgeois, Jacqueline Marie; Anatomical Pathology
Boursiquot, Philippe-Edouard; Psychiatry
Bouskill, Stephanie Lynn; Forensic Psychiatry, Psychiatry
Boyd, Hugh Flexman; Family Medicine
Boyd, Kerry   Ellen; Child and Adolescent Psychiatry, Psychiatry
Boylan, Colm Edmund; Diagnostic Radiology
Boylan, Khrista Rea Anne; Psychiatry
Boyle, Anne Bernadette; Family Medicine
Bozanovic, Radenka; Anatomical Pathology
Bracken, Keyna   Jane; Family Medicine
Bradford, John Mcdonald Wilson; Psychiatry
Braga, Luis   Henrique Perocco; Urology
Braga, Manoela Figueiredo Bertozzi; Endocrinology and Metabolism
Brandt Vegas, Daniel; Internal Medicine
Brasch, Jennifer   Susan; Psychiatry
Braun, E   Anne; Geriatric Medicine, Internal Medicine
Brill, Herbert; Gastroenterology, Pediatrics
Brimble, Kenneth   Scott; Internal Medicine, Nephrology
Brown, Michael Victor; Psychiatry
Brozek, Jan Ludwik; Internal Medicine
Bruma, Cleopatra   Virginia; Family Medicine
Buchanan, Ian Mitchell; Emergency Medicine
Buckley, David Norman; Anesthesiology
Bullock, Lana; Family Medicine
Cadeddu, Margherita   Orsola; General Surgery
Calotti, Fadi   Yousif Edwar; Ophthalmology
Cameron, Brian   Howard; General Surgery, Pediatric General Surgery
Cameron, Lauren   Marcia; Family Medicine
Cameron, Lita Ubluriaq Wegadusk; Family Medicine
Campos Bustamante, Maria de Lourdes; Family Medicine
Canisius, Elisabeth; Pediatrics
Canning, Megan Lindsay; Family Medicine
Cano, Paul   Bernard; Family Medicine
Carlisle, Euan   James Frazer; Internal Medicine, Nephrology
Carmona, Rajendra   Junior; Internal Medicine, Rheumatology
Caron, Sharine   Colleen; Family Medicine, Family Medicine (Emergency Medicine)
Caronzo, Fortunato; Family Medicine
Cavalcante Lima Filho, Jose  Hermenio; Clinical Immunology and Allergy, Dermatology
Cebrian, Clara   Teresa; Psychiatry
Cenic, Aleksa; Neurosurgery
Centofanti, John Eugenio; Anesthesiology, Critical Care Medicine
Chagla, Zain; Infectious Diseases, Internal Medicine
Chaimowitz, Gary Andrew; Psychiatry
Chamberlain, Jean   Earla; Obstetrics and Gynecology
Chan, Anthony   Kam Chuen; Hematology, Pediatrics
Chan, Beverley Pui Kee; General Surgery, Vascular Surgery
Chan, Brian John; Ophthalmology
Chan, Philip   Shiu-Lung; Anesthesiology, Pain Medicine
Chan, Teresa Man-Yee; Emergency Medicine
Chanchlani, Rahul; Pediatrics
Chanda, Mohammed Yaameen; General Surgery
Channan, Peter Krishan; Emergency Medicine
Chari, Vinjamuri   Ramanuja; Physical Medicine and Rehabilitation
Chari, Vinjamuri Madhusudana; Internal Medicine, Respirology
Charland, David Andre; Family Medicine
Chaudhary, Varun; Ophthalmology
Cheema, Rimpy; Family Medicine
Cherian, Joe; Family Medicine, Family Medicine (Emergency Medicine)
Chetty, Vasudhevan tony; Medical Biochemistry
Cheung, Andrew; General Internal Medicine, Internal Medicine
Cheung, Jason   Ho-Fai; Internal Medicine
Cheung, Wendy Hor-Yee; Pediatrics
Chitayat, Samara Gina; Pediatrics
Choi, David Leo; Otolaryngology - Head and Neck Surgery
Choi, Matthew; Plastic Surgery
Chorley, Alexander Garrick; Emergency Medicine
Chu, Derek Kuo-Cheng; Clinical Immunology and Allergy, Internal Medicine
Chu, Fan; Cardiac Surgery
Chuang, Rita Jo-Yun; Family Medicine
Chuback, Jennifer Elizabeth; Plastic Surgery
Chui, Betty   Ka-Yeung; Internal Medicine, Nephrology
Chum, Marvin Chee Ho; Neurology
Chung, Han-Oh; Critical Care Medicine, Internal Medicine
Cividino, Alfred Augusto; Internal Medicine, Rheumatology
Cividino, Maureen Elizabeth Philp; Family Medicine
Clarke, Ellen Dorothy Reece; Family Medicine
Clase, Catherine   Mary; Internal Medicine, Nephrology
Clinton, Jean   Maria; Psychiatry
Coll-Black, Mary Celia; Obstetrics and Gynecology
Collins, Rhonda  Lynn; Family Medicine
Collins, Stephen; Psychiatry
Collins, Stephen Michael; Internal Medicine
Conen, David; Cardiology
Conner, William   Tristram; Pediatrics
Connolly, Barbara Sheila; Neurology
Connolly, Colleen Marie; Neurology
Connolly, Katherine; Cardiology, Internal Medicine
Cooke, Donald Matthew; Family Medicine
Copps, Brenda   Elizabeth; Family Medicine
Cordovani, Daniel; Anesthesiology
Coren, Lee Anne Heather; Family Medicine
Coret, Alexander; Diagnostic Radiology
Coret-Simon, Judit; Diagnostic Radiology
Corey, JoAnn Marie; Psychiatry
Corriveau, Sophie Lynne; Internal Medicine, Respirology
Costescu, Dustin   James Whitby; Obstetrics and Gynecology
Cote, Isabelle; Forensic Psychiatry, Psychiatry
Courtright, Alanna Sarah Hart; Psychiatry
Couturier, Jennifer   Laura; Psychiatry
Cowan, David   Donald; Geriatric Medicine, Internal Medicine
Cowan, Hamish Jonathan; Emergency Medicine
Cox, Conor James; Internal Medicine
Cox, Patrick   Gerard; Internal Medicine, Respirology
Craven, Marilyn Ann; Family Medicine
Creatchman, Terrence Michael; Family Medicine
Croft, Benjamin Gordon; Family Medicine
Crombie, Fionnella   Sutherland Stewart; Family Medicine
Crossley, John George; Emergency Medicine
Crosthwaite, Aida Ilze; Family Medicine
Crowson, Jonathan Brian; Psychiatry
Crowther, Mark   Andrew; Hematology, Internal Medicine
Culbert, Erin   Lia; Pediatrics
Cullen, Nora Kathleen; Physical Medicine and Rehabilitation
Cullimore, Amie   Jane; Obstetrics and Gynecology
Curran, Sean   Patrick; Anesthesiology, Pain Medicine
Cushnie, Duncan Wells; Orthopedic Surgery
Cutz, Jean-Claude Ernest; Anatomical Pathology
Cyr, Michael Mark; Clinical Immunology, Internal Medicine
da Rosa Borges, Bruno Cesar; Anesthesiology
Dal Cin, Arianna; Plastic Surgery
Damji, Mehboob   Fatehali
Dao, Chung Van; Family Medicine
Darby, Peter   James; Anesthesiology
Dath, Deepak   P; General Surgery
Dauphin, Alezandre; Anesthesiology
Davies, Timothy Owen; Urology
Davine, Jonathan   Stanley; Family Medicine, Psychiatry
Davis, Amie   Jeanette; Family Medicine
Davis, Clive; Internal Medicine
Davis, Meghan   Colleen; Family Medicine
De Benedetti, Monica Catherine; Family Medicine
De Rubeis, Andrea   Rito; Family Medicine
De, Shumona Soma; Family Medicine
de Wit, Kerstin   Elizabeth; Emergency Medicine
Deadman, John Carruthers; Psychiatry
Deb, Pratima; Anatomical Pathology
Del Bel Belluz, Zoe Ann; Family Medicine
DeMaria, Jorge Eugenio; Urology
Demers, Catherine; Cardiology, Internal Medicine
Denburg, Judah   Aryeh; Hematology
Denkers, Matthew   Robert; Orthopedic Surgery
Dessouki, Shariff Esmat; Physical Medicine and Rehabilitation
Devereaux, Philip James; Cardiology, Internal Medicine
Dhalla, Mohsin Nisarhusein; Family Medicine
Dhamanaskar, Kavita   Prashant; Diagnostic Radiology
Dhesy-Thind, Sukhbinder Kaur; Internal Medicine, Medical Oncology
Di Paolo, Bruno   Livio
Dickson, Robert   Charles; Family Medicine
Dillon, Whitney Anne Huggins; Family Medicine
Dionne, Joanna Colleen; Gastroenterology, Internal Medicine
Divakara Menon, Syamkumar Madathattu; Cardiology
Dobranowski, Julian; Diagnostic Radiology
Domuracki, Kurt James; Anesthesiology
Donnery, Cara   Anne Marie; Obstetrics and Gynecology
Dooley, Jessica Dunn; Pediatrics
Douglass, Rebecca Janet; Family Medicine
Douketis, James Demetrios; Internal Medicine
Doumouras, Aristithes Gerard; General Surgery
Dower, Andrea Mary; Anesthesiology
Dowhaniuk, Jenna Katherine; Gastroenterology, Pediatrics
Dua, Beninder Singh; Clinical Immunology and Allergy, Internal Medicine
Duan, Erick Huaileigh; Critical Care Medicine, Internal Medicine
Dube, Marie-Josee; Obstetrics and Gynecology
Duboff, Jonathan Hartley; Psychiatry
Duboff, Narisa; Family Medicine
Duff, Sharon   Rose; Psychiatry
Dul, Anna Maria; Family Medicine
Dunlop, Robert   Humphrey Brett; Orthopedic Surgery
Durant, Craig David; General Surgery, Vascular Surgery
Eby, Roberta   Jane; Emergency Medicine
Edstrom, Karen   Diane; Dermatology
Eino, Dalia   Mahmoud; Ophthalmology
Ejaz, Resham; Medical Genetics and Genomics
El Sayed, Manal Faissal; Pediatrics
El Shinnawy, Ihab Hussein Mahrous; Anatomical Pathology
El-Helou, Philippe   Philippe; Infectious Diseases, Internal Medicine
Elias, Fadi; Vascular Surgery
Elit, Lorraine   Margaret; Obstetrics and Gynecology
El-Khodary, Mohamed Ahmed Ibrahim; Diagnostic Radiology
Ellis, Peter   Michael; Internal Medicine, Medical Oncology
Ellis, Susan   Maureen Ollerhead; Obstetrics and Gynecology
Elsharif, Adell Abdusalam; Medical Biochemistry
El-Sherbini, Hamdi Mohamed Hamdi Abdel-Rahman; Physical Medicine and Rehabilitation
Emili, Anna-Marie; Family Medicine
Emili, Julie-Anne; Community Medicine, Family Medicine
Engels, Paul   Thomas; Critical Care Medicine, General Surgery
Eppel, Alan   Brian; Psychiatry
Epstein, Ralph; Family Medicine
Ernst, Caroline Doreen; Pediatrics
Erstling, Rachel   Sara; Psychiatry
Eskicioglu, Cagla; Colorectal Surgery, General Surgery
Esmaeilizand, Rana; Neonatal-Perinatal Medicine, Pediatrics
Evans, John   Tate; General Surgery
Everson, Jennifer   Little; Family Medicine
Faghih, Mehrnoosh; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Fahmy, David Cyril; Clinical Immunology and Allergy, Internal Medicine
Faidi, Samir Abdelmagid; General Surgery
Farag, Alexandra Iwasa; Family Medicine
Farrell, Janet Clare; Anesthesiology
Fava, Mark   Adam; Ophthalmology
Federici, Giuliana   Margaret; Pediatrics
Fedorkow, Donna Maria; Obstetrics and Gynecology
Feloiu, Florin Daniel; Physical Medicine and Rehabilitation
Ferencz, Joseph Carl; Psychiatry
Fergani, Houssein   R; Family Medicine, Internal Medicine
Fernandez, Alcantro Bartholomeu Albino
Finley, Christian John; General Surgery, Thoracic Surgery
Fischer, Marc Anthony; Urology
Fitzgerald, Peter   Gregory; General Surgery, Pediatric General Surgery
Fitzpatrick, Kelly Patricia; Pediatrics
Flageole, Helene; General Surgery, Pediatric General Surgery
Fleming, Adam James; Pediatric Hematology/Oncology, Pediatrics
Forbes, Shawn   Samuel; Colorectal Surgery, General Surgery
Ford, Jennifer Lyndsey; Psychiatry
Ford-Jones, Anthony   Eric Andre; Pediatrics
Forero Mantilla, Carlos Mauricio; Anesthesiology
Francescutti, Valerie   Amanda; General Surgery
Franic, Slobodan Eduardo; Diagnostic Radiology
Fraser, Graeme   Andrew McCrae; Hematology, Internal Medicine
Freitag, Andreas   Philip; Internal Medicine
Frey, Benicio Noronha; Psychiatry
Frey, Michael   Charles; Family Medicine
Frotten, Erin Marie; Family Medicine
Fugere, Christina Michelle; Family Medicine
Fulford, Martha Barbara; Infectious Diseases, Internal Medicine
Gagnon, Micheline Danis Marie; Geriatric Medicine, Internal Medicine
Gaind, Gagan   Singh; Psychiatry
Galange, Patrick   Christopher; Family Medicine
Galinski, Saramin Elizabeth; Anesthesiology
Gallagher, Erin Elisabeth; Family Medicine
Gambarotto, Kathryn   Rose; Pediatrics
Ganame, Javier Ignacio; Cardiology
Gangam, Nirupama; Obstetrics and Gynecology
Gangji, Azim S.; Internal Medicine, Nephrology
Ganguli, Subhas Chandra; Gastroenterology, Internal Medicine
Garner, Stephanie; Internal Medicine, Rheumatology
Garside, Sarah   Louise; Psychiatry
Gelberg, Jacob; Internal Medicine, Respirology
Ghert, Michelle Aileen; Orthopedic Surgery
Giammarco, Rosetta; Neurology
Gibson, Kara   Joelle; Anesthesiology
Giglia, Lucia Giuseppa; Pediatrics
Gilbert, Jaclyn Christina; Anesthesiology
Gladman, Matthew Nathaniel; Neurology
Glenny, Christine Margaret; Family Medicine
Gmora, Scott   Barrett; General Surgery
Godzisz, Sydney Lauren; General Surgery
Goebel, Cindy   Rose; Family Medicine
Gohla, Gabriela   Elisabeth; Anatomical Pathology
Golda, Bronislaw Leszek
Gowing, Robert   Neil; General Surgery, Vascular Surgery
Grafham, Mark   Ronald George
Grant, Christina Noelle; Pediatrics
Grantham, Monica   Helen; Family Medicine
Greenbaum, Joseph; Clinical Immunology, Internal Medicine
Greenspan, Michael   Barry; Urology
Greenspoon, Allen   Sheldon
Greenwald, Joseph Aryeh; Emergency Medicine
Grieci, Tanya; Family Medicine
Gross, Peter   Lawrence; Internal Medicine
Grubb, Amanda Monica Margaret; Family Medicine
Guenter, Clarence Dale; Family Medicine
Guirgis, Mina; Vascular Surgery
Gulenchyn, Karen   Yvonne; Internal Medicine, Nuclear Medicine
Gunasekera, Shiny Dinuka; Psychiatry
Gupta, Akash; General Pathology
Gupta, Gaurav Vinod; Emergency Medicine
Gupta, Michael   Kaviraj; Otolaryngology - Head and Neck Surgery
Gurau, David Aaron; Obstetrics and Gynecology
Guyatt, Gordon   Henry; Internal Medicine
Guzman, Juan   Camilo; Internal Medicine
Gwardjan, Andrzej Jerzy; Physical Medicine and Rehabilitation
Ha, Michael; Emergency Medicine
Haaland, Derek Allan; Clinical Immunology and Allergy, Internal Medicine, Rheumatology
Habib, Anthony Sleiman; Orthopedic Surgery
Hadcock, Steven   John; Family Medicine
Haider, Ehsan   Ahmed Hussain; Diagnostic Radiology
Haider, Shariq; Infectious Diseases, Internal Medicine
Halder, Smita Luna Sudeshna; Gastroenterology, Internal Medicine
Hall, Devin Nicole; Neurology
Hallett, Kristen   Maureen; Pediatrics
Hambly, Nathan Daniel Morley; Internal Medicine, Respirology
Hamielec, Cindy   Maia; Internal Medicine, Respirology
Hamilton, David Ian Stanley; Emergency Medicine
Hamstra, Joel   Matthew; Anesthesiology
Hanel, Erich   Gregory; Family Medicine, Family Medicine (Emergency Medicine)
Hanley, Erin Lesley Margaret; Psychiatry
Hanmiah, Rajendar; General Internal Medicine, Internal Medicine
Hanna, Wael Chadi; General Surgery, Thoracic Surgery
Harish, Srinivasan; Diagnostic Radiology
Harlock, John   Anthony; General Surgery, Vascular Surgery
Harms, Sheila   Christine; Psychiatry
Hart, Alexander; Emergency Medicine
Hart, Lawrence Errol; Internal Medicine, Rheumatology
Hartman, Jeffrey Allan; Orthopedic Surgery
Harvey, John   Tyson; Ophthalmology
Harvey, Patricia Tyson; Ophthalmology
Hasanee, Khalid; Ophthalmology
Hasey, Gary   Marcel; Psychiatry
Hatcher, Lydia   Bhattacharya; Family Medicine, FCFP - Family Medicine
Hategan, Ana; Psychiatry
Hattersley, Beverly Anne; Family Medicine
Havers, Melanie   Marie; Anesthesiology
Hawley, Kristopher   Stephen; Emergency Medicine
Hayward, Catherine   Pauline Mary; Hematology, Internal Medicine
Hayward, Melissa   Lynn; Emergency Medicine
Healey, Andrew Joseph; Critical Care Medicine, Emergency Medicine
Heller, Barbara Susan; General Surgery
Henneberry-Fudge, John David; Psychiatry
Henriques Candiago, Rafael; Psychiatry
Hersi, Ali; Emergency Medicine
Hill, Nicole Leanne; Obstetrics and Gynecology
Hindson, Judith   Mary; Family Medicine
Hirte, Holger   Wolfgang; Internal Medicine, Medical Oncology
Ho, Terence Nathan Yum-Chuk; Internal Medicine, Respirology
Hodgson, Nicole Christina; General Surgery
Holbrook, Anne Marie; Internal Medicine
Hong, Dennis; General Surgery
Hoosainny, Waseema Nisaa; Obstetrics and Gynecology
Horner, Cynthia   Jennifer-Marie; Anesthesiology
Hotte, Sebastien Jean; Internal Medicine, Medical Oncology
Hou, Chenchen; Hematology, Internal Medicine
Hughes, Julie Karen Jean; Pediatrics
Hunt, Dereck   Leslie; Internal Medicine
Hunter, Andrea   Jane; Pediatrics
Huwedi Abouanaser, Salaheddin   Faraj; Medical Microbiology
Huynh, Amanda Tieu-Mi; Internal Medicine
Huynh, Jessica Tieu-Uyen; Internal Medicine
Hynes, Nicolas   Marcus; Plastic Surgery
Ikesaka, Rick Takashi; Hematology, Internal Medicine
Inch, Kristin Allison; Pediatrics
Ingram, Alistair   John; Internal Medicine, Nephrology
Iqbal, Ali; Internal Medicine, Nephrology
Iqbal, Muhammad; Internal Medicine
Isac, Michelle   Marie; Anesthesiology
Issenman, Robert  Malcolm; Pediatrics
Ivanyi, Katalin   Eva; Family Medicine
Iyer, Sneha; Family Medicine
Iyer, Vikram   Sekar; General Surgery, Vascular Surgery
Jackson, Paul   Arthur; Anesthesiology
Jaeschke, Roman   Zygmunt; Internal Medicine
Jalali, Subash; Internal Medicine
Jaskot, Thomas Peter
Jeney, Elizabeth   Victoria Maria; Otolaryngology - Head and Neck Surgery
Jeyaseelan, Joseph Ian; Family Medicine
Jo, Susan; Anesthesiology
Johns, David George; Family Medicine
Johnson, Ashley Victoria Dorothy; Psychiatry
Johnson, Natasha Ingrid; Pediatrics
Jones, Jennifer Kathleen; Family Medicine
Jorgenson, Kristen Diane; Family Medicine
Joseph, Philip George; Cardiology, Internal Medicine
Jozefacki, Alexis Anne; Family Medicine
Juergens, Rosalyn   Anne; Medical Oncology
Julian, Brittany Bernadette; Family Medicine
Junaid, Amjad; Family Medicine, Family Medicine (Emergency Medicine)
Junker-Andersen, Lorna   Ruth; Family Medicine, Family Medicine (Emergency Medicine)
Juriansz, Brian   Darrel
Kachur, Edward; Neurosurgery
Kahnamoui, Kamyar; General Surgery
Kak, Ipshita; General Pathology
Kalidindi, Navya; Neurology
Kam, April   Jacqueline; Pediatrics
Kamel Hasan, Olfat Shibli Mohammed; Nuclear Medicine
Kane-Corriveau, Sandra Patricia; Family Medicine
Kantor, Navot; Family Medicine
Kapoor, Anil; Urology
Karachi, Timothy   Adem; Critical Care Medicine, Internal Medicine
Karbassi, Arsha; Cardiology
Karnis, Megan   Michelle Freebury; Obstetrics and Gynecology
Kasper, Ekkehard   Matthias; Neurosurgery
Kates, Nicholas   Simon; Psychiatry
Kavalsky, Dennis   Mark; Family Medicine
Kean, Walter Fairbairn; Internal Medicine
Keen, Sabina Lore Chantal; Geriatric Medicine, Internal Medicine
Kehinde, Olasunkanmi   Abioye; Family Medicine, FCFP - Family Medicine
Keith, Paul Kevin; Clinical Immunology, Internal Medicine
Kelly, Stephen   Richard; General Surgery
Kelton, John   Greenhow; Hematology, Internal Medicine
Kenny-Scherber, Alyssa Claire; Family Medicine
Kerigan, Anthony   Thomas; Respirology
Khalid, Zahira; General Internal Medicine, Internal Medicine
Khalidi, Nader   Amir; Internal Medicine, Rheumatology
Khambalia, Bashir
Khan, Aliya Aziz; Geriatric Medicine, Internal Medicine
Khan, Khurram Jahangir; Gastroenterology, Internal Medicine
Khan, Mohammed Moin; Orthopedic Surgery
Khan, Sarah; Infectious Diseases, Pediatrics
Khanna, Vickas; Orthopedic Surgery
Khera, Joginder   Singh; Family Medicine
Khetani, Justin   Dilip; Otolaryngology - Head and Neck Surgery
Khokhar, Faiza; Internal Medicine, Rheumatology
Kim, Ha-Yeon; Internal Medicine, Respirology
Kinzie, Sarah   Christine; Family Medicine
Kitching, Allan Donald; Cardiology, Internal Medicine
Klein, Cheryl   Anne; Hematology, Internal Medicine
Koff, David Alain; Diagnostic Radiology
Kolb, Martin   Rainer Josef
Kolesar, Richard Emil; Anesthesiology
Koole, Janice Joan; Family Medicine
Kopyto, Allan   Austin; Family Medicine
Korkis, Joseph Armand; Otolaryngology - Head and Neck Surgery
Korman, Sunny Bruce; Otolaryngology - Head and Neck Surgery
Korostil, Michele   Colleen; Psychiatry
Korz, Linda Tsz Ching; Anesthesiology
Kostandoff, Gregory Hunter; Anesthesiology
Kozenko, Mariya Anatoliivna; Medical Genetics and Genomics
Koziarski, Robert John; Family Medicine
Kraftcheck, Danny   Joseph John; Family Medicine
Kraus de Camargo, Olaf Andres; Pediatrics
Krepinsky, Joan Caroline; Internal Medicine, Nephrology
Krol-Szpakowski, Margaret
Kulasingham, Shaneka
Kumar, Rohini; Family Medicine
Kwok, Desmond Chin-Hung; Orthopedic Surgery
Kwok, Trevor   Pak Hai; Family Medicine
Labib, Noura Ahmed Maher Emam; Emergency Medicine
Labuda, Anna; Physical Medicine and Rehabilitation
Lace de Almeida, Claudia; Pediatric Cardiology, Pediatrics
Lagrotteria, Leda; Family Medicine
Lagrotteria, Lino   Pasquale; Family Medicine
Laidley, Ian Frederick; Emergency Medicine
Lajoie, Julie Jacqueline Mary; Anesthesiology
Lakhanpal, Pulkesh; Family Medicine
Lam, David Bing Wah; Psychiatry
Lam, Michelle Christina; Family Medicine
Lambe, Shahid Abdul Razak; Urology
Lamont, Rachel Ann; Psychiatry
Lamy, Andre; Cardiovascular and Thoracic Surgery, General Surgery
Landry, David   James; Diagnostic Radiology
Langmann, Caillin; Emergency Medicine
Lanktree, Matthew Bruce; Internal Medicine, Nephrology
Larche, Margaret  Jean; Clinical Immunology and Allergy, Rheumatology
Latchman, Andrew Romesh; Pediatrics
Lau, Arthur Ngar Tat; Internal Medicine, Rheumatology
Law, Sai Fai Bosco; Anesthesiology
LeBlanc, Guy; Family Medicine
Lee, Hilary Mary; Critical Care Medicine, Emergency Medicine
Lee, Justin Yusen; Geriatric Medicine, Internal Medicine
Lee, Stefanie   Yan; Diagnostic Radiology
Lee, Wei-Zhen; Family Medicine
Legault, Kimberly   Janet; Internal Medicine, Rheumatology
Leggett, Peter   James; Family Medicine
Lemckert, Ronald Joachim; Otolaryngology - Head and Neck Surgery
Lennox, Robin Barbara Bateman; Family Medicine
Lentz, Vanessa   Juliane; Psychiatry
Leong, Baldwin   James; Family Medicine
Leontiadis, Grigorios Ioannis; Gastroenterology
Leto, Daniela Laura; Infectious Diseases, Internal Medicine, Medical Microbiology
Leucht, Stephan Thomas; Pediatrics
Leung, Marie Jasmine; Internal Medicine
Leung, Vincent Andrew; Diagnostic Radiology
Levine, Mitchell Arnold Henry; Internal Medicine
Levinson, Anthony Julius; Psychiatry
Levis, Carolyn Mary; Plastic Surgery
Levy, David Richard; Family Medicine
Levy, Richard   Murray; Family Medicine
Lewis, Kimberley Anne Beverly; Critical Care Medicine, Internal Medicine
Lewis, Maxine Anne; Psychiatry
Lewis, Trevor Austin; Otolaryngology - Head and Neck Surgery
Lezon-Giacomelli, Dianne Angela; Geriatric Psychiatry, Psychiatry
Li, Yanan; Internal Medicine, Respirology
Liaconis, Haralambos; General Surgery
Liang, Lorraine Min-Shan; Urology
Liang, William   Sun-Wah
Ligori, Tania; Anesthesiology, Critical Care Medicine
Lim, Audrey Yen; Pediatrics
Lim, Henry; Family Medicine
Lim, Wendy Pei-Wen; Hematology, Internal Medicine
Lin, Celina Maria Pao-Chi; Physical Medicine and Rehabilitation
