Adachi, Jonathan   Derrick Jun; Internal Medicine, Rheumatology
Bianchi, Fernando Anthony; Internal Medicine
Bibic, Desa; Family Medicine
Blain, Allison   Marie; Anesthesiology
Blew, Laura   Joan; Family Medicine
Blew, Philip  Gordon; Anesthesiology
Bobba, Raja   Sekhar; Internal Medicine, Rheumatology
Bokhari, Syed Amin; Internal Medicine
Bordeleau, Louise   Jeannine; Internal Medicine, Medical Oncology
Boutin, Helene   Anne; Family Medicine
Boyd, Hugh Flexman; Family Medicine
Boyle, Anne Bernadette; Family Medicine
Braga, Luis   Henrique Perocco; Urology
Braga, Manoela Figueiredo Bertozzi; Endocrinology and Metabolism
Brasch, Jennifer   Susan; Psychiatry
Braun, E   Anne; Geriatric Medicine, Internal Medicine
Brimble, Kenneth   Scott; Internal Medicine, Nephrology
Brown, Michael Victor; Psychiatry
Brown, Russell Edwin; Anesthesiology
Brozek, Jan Ludwik; Internal Medicine
Bruce, Tracey   Lynne; Anesthesiology
Bruma, Cleopatra   Virginia; Family Medicine
Buchanan, Ian Mitchell; Emergency Medicine
Buckley, David Norman; Anesthesiology
Bullock, Lana; Family Medicine
Cameron, Lauren   Marcia; Family Medicine
Campbell, Clinton James Vaughan; Hematological Pathology
Caners, Kyla Dawn Dunlop; Emergency Medicine
Carlisle, Euan   James Frazer; Internal Medicine, Nephrology
Carmona, Rajendra   Junior; Internal Medicine, Rheumatology
Caron, Sharine   Colleen; Family Medicine, Family Medicine (Emergency Medicine)
Carter Ramirez, Daniel Marcelo; Family Medicine
Catanese, Luciana; Neurology
Cavalcante Lima Filho, Jose  Hermenio; Clinical Immunology and Allergy, Dermatology
Cebrian, Clara   Teresa; Psychiatry
Centofanti, John Eugenio; Anesthesiology, Critical Care Medicine
Chagla, Zain; Infectious Diseases, Internal Medicine
Chakroborty, Amitabha; Internal Medicine
Chamberlain, Jean   Earla; Obstetrics and Gynecology
Chan, Brian John; Ophthalmology
Chan, Philip   Shiu-Lung; Anesthesiology, Pain Medicine
Chan, Teresa Man-Yee; Emergency Medicine
Chanda, Mohammed Yaameen; General Surgery
Chen, Ann   Marie Christine; Obstetrics and Gynecology
Cheung, Andrew; General Internal Medicine, Internal Medicine
Cheung, Jason   Ho-Fai; Internal Medicine
Choi, David Leo; Otolaryngology - Head and Neck Surgery
Choi, Matthew; Plastic Surgery
Chorley, Alexander Garrick; Emergency Medicine
Chuback, Jennifer Elizabeth; Plastic Surgery
Chui, Betty   Ka-Yeung; Internal Medicine, Nephrology
Chum, Marvin Chee Ho; Neurology
Ciprietti, Lucas Anthony; Internal Medicine
Cividino, Alfred Augusto; Internal Medicine, Rheumatology
Cividino, Maureen Elizabeth Philp; Family Medicine
Clase, Catherine   Mary; Internal Medicine, Nephrology
Coblentz, Craig   Llewellyn; Diagnostic Radiology
Coke, Robert Valere; Critical Care Medicine, Internal Medicine
Colapinto, Michael Nicholas; Diagnostic Radiology
Collins, Stephen Michael; Internal Medicine
Conen, David; Cardiology
Connolly, Barbara Sheila; Neurology
Connolly, Colleen Marie; Neurology
Connolly, Katherine; Cardiology, Internal Medicine
Cooke, Donald Matthew; Family Medicine
Cordovani, Daniel; Anesthesiology
Coren, Lee Anne Heather; Family Medicine
Coroneos, Christopher James; Plastic Surgery
Costescu, Dustin   James Whitby; Obstetrics and Gynecology
Cowan, David   Donald; Geriatric Medicine, Internal Medicine
Cowan, Hamish Jonathan; Emergency Medicine
Cox, Conor James; Internal Medicine
Craigie, Pamela   Mary
Creatchman, Terrence Michael; Family Medicine
Crombie, Fionnella   Sutherland Stewart; Family Medicine
Crossley, John George; Emergency Medicine
Crosthwaite, Aida Ilze; Family Medicine
Crowther, Mark   Andrew; Hematology, Internal Medicine
Curran, Sean   Patrick; Anesthesiology, Pain Medicine
Cusimano, Steven Lawrence; Family Medicine
Cutz, Jean-Claude Ernest; Anatomical Pathology
Cvetkovic, Anna; Infectious Diseases, Internal Medicine
da Rosa Borges, Bruno Cesar; Anesthesiology
Dal Cin, Arianna; Plastic Surgery
Darby, Peter   James; Anesthesiology
Darrat, Mahmoud Abdelmuneim; Anesthesiology
Dath, Deepak   P; General Surgery
Dauphin, Alezandre; Anesthesiology
Davies, Gwynivere Amber; Hematology, Internal Medicine
Davies, Timothy Owen; Urology
Davine, Jonathan   Stanley; Family Medicine, Psychiatry
Davis, Clive; Internal Medicine
Davis, Meghan   Colleen; Family Medicine
Daya, Dean; Anatomical Pathology
Dayes, Ian   Stuart; Radiation Oncology
De Beer, Justin De Villiers; Orthopedic Surgery
De Freitas, Sandra Angela; Internal Medicine
De Tina, Annemaria; Anesthesiology
de Wit, Kerstin   Elizabeth; Emergency Medicine
Deb, Pratima; Anatomical Pathology
Demers, Catherine; Cardiology, Internal Medicine
Denkers, Matthew   Robert; Orthopedic Surgery
Dessouki, Shariff Esmat; Physical Medicine and Rehabilitation
Devereaux, Philip James; Cardiology, Internal Medicine
Dew, Bernard; Family Medicine, Family Medicine (Emergency Medicine)
Dhamanaskar, Kavita   Prashant; Diagnostic Radiology
Dhesy-Thind, Sukhbinder Kaur; Internal Medicine, Medical Oncology
Di Paolo, Bruno   Livio
Dickson, Robert   Charles; Family Medicine
Dingle, Jonathan   Allan; Anesthesiology
Dionne, Joanna Colleen; Gastroenterology, Internal Medicine
Divakara Menon, Syamkumar Madathattu; Cardiology
Dobranowski, Julian; Diagnostic Radiology
Domuracki, Kurt James; Anesthesiology
Dong, Junghwan; Family Medicine, Family Medicine (Emergency Medicine)
Don-Wauchope, Andrew Craig; Endocrinology and Metabolism, Medical Biochemistry
Dorasamy, Punginathn; Internal Medicine
Dorosh, Kyle Alexander; Family Medicine
Douglass, Rebecca Janet; Family Medicine
Dower, Andrea Mary; Anesthesiology
Dragomir, Alina   Roxana; Internal Medicine
Duan, Erick Huaileigh; Critical Care Medicine, Internal Medicine
Duff, Sharon   Rose; Psychiatry
Duong, Mylinh; Respirology
Durant, Craig David; General Surgery, Vascular Surgery
Ebrahim, Fady; Anesthesiology
Edwards, Michelle Diane; Internal Medicine
Eiriksson, Lua Ruhiyyih; Obstetrics and Gynecology
El-Helou, Philippe   Philippe; Infectious Diseases, Internal Medicine
Elias, Fadi; Vascular Surgery
Elit, Lorraine   Margaret; Obstetrics and Gynecology
Elliott, Wade   Charles; Family Medicine
Ellis, Peter   Michael; Internal Medicine, Medical Oncology
Ellis, Susan   Maureen Ollerhead; Obstetrics and Gynecology
English, Kerri   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Eppel, Alan   Brian; Psychiatry
Epstein, Ralph; Family Medicine
Erstling, Rachel   Sara; Psychiatry
Eskicioglu, Cagla; Colorectal Surgery, General Surgery
Evans, John   Tate; General Surgery
Everson, Jennifer   Little; Family Medicine
Faghih, Mehrnoosh; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Faidi, Samir Abdelmagid; General Surgery
Farag, Alexandra Iwasa; Family Medicine
Farjou, George; Infectious Diseases, Internal Medicine
Farrauto, Leonardo Angelo; Physical Medicine and Rehabilitation
Farrugia, Patricia Ruth; Orthopedic Surgery
Fava, Mark   Adam; Ophthalmology
Federici, Giuliana   Margaret; Pediatrics
Feng, Luming; Family Medicine
Fergani, Houssein   R; Family Medicine, Internal Medicine
Fernandes, Aaron; Internal Medicine
Fernandes, Alisha Rebecca; General Surgery
Ferri, Melanie; Diagnostic Radiology
Finlay, Karen; Diagnostic Radiology
Fischer, Marc Anthony; Urology
Fleming, Adam James; Pediatric Hematology/Oncology, Pediatrics
Forbes, Shawn   Samuel; Colorectal Surgery, General Surgery
Francescutti, Valerie   Amanda; General Surgery
Franic, Slobodan Eduardo; Diagnostic Radiology
Fraser, Graeme   Andrew McCrae; Hematology, Internal Medicine
Freitag, Andreas   Philip; Internal Medicine
Frey, Benicio Noronha; Psychiatry
Frosi Stella, Steffan; Diagnostic Radiology
Frotten, Erin Marie; Family Medicine
Fugere, Christina Michelle; Family Medicine
Fulford, Martha Barbara; Infectious Diseases, Internal Medicine
Fung, Filgen  Yut-Tou; Emergency Medicine
Gagnon, Micheline Danis Marie; Geriatric Medicine, Internal Medicine
Gaind, Gagan   Singh; Psychiatry
Gallagher, Erin Elisabeth; Family Medicine
Ganame, Javier Ignacio; Cardiology
Gangji, Azim S.; Internal Medicine, Nephrology
Ganguli, Subhas Chandra; Gastroenterology, Internal Medicine
Gastaldo, Fernando; Diagnostic Radiology
Gelberg, Jacob; Internal Medicine, Respirology
General, Stacey Nicole; Family Medicine
Gerstein, Hertzel Chaim; Endocrinology and Metabolism, Internal Medicine
Ghattas, Rimon; Internal Medicine
Ghert, Michelle Aileen; Orthopedic Surgery
Ghouse, Ali Taher; Physical Medicine and Rehabilitation
Giammarco, Rosetta; Neurology
Gibson, Kara   Joelle; Anesthesiology
Gilani, Ammar Anwar; Neurology
Gladman, Matthew Nathaniel; Neurology
Glenny, Christine Margaret; Family Medicine
Goffin, John Robert; Internal Medicine, Medical Oncology
Goldberg, Mira; Radiation Oncology
Golev, Dmitry Sergeyevich; Diagnostic Radiology
Goodacre, Margaret   Ellen; Family Medicine
Grad, Sharon Elizabeth; Physical Medicine and Rehabilitation
Grantham, Monica   Helen; Family Medicine
Greenbaum, Joseph; Clinical Immunology, Internal Medicine
Greenspan, Michael   Barry; Urology
Greenspoon, Allen   Sheldon
Greenspoon, Jeffrey   Noah; Radiation Oncology
Greenwald, Eric   Richard; Gastroenterology, Internal Medicine
Greenwald, Joseph Aryeh; Emergency Medicine
Grendar, Jan; General Surgery
Grewal, Rajdeep   Singh; Family Medicine, Family Medicine (Emergency Medicine)
Gross, Peter   Lawrence; Internal Medicine
Gudelis, Susan   Ona; Family Medicine
Guenter, Clarence Dale; Family Medicine
Gulenchyn, Karen   Yvonne; Internal Medicine, Nuclear Medicine
Gundy, Serena Laura; General Internal Medicine, Internal Medicine
Gupta, Gaurav Vinod; Emergency Medicine
Gupta, Michael   Kaviraj; Otolaryngology - Head and Neck Surgery
Guyatt, Gordon   Henry; Internal Medicine
Guzman, Juan   Camilo; Internal Medicine
Haaland, Derek Allan; Clinical Immunology and Allergy, Internal Medicine, Rheumatology
Habib, Anthony Sleiman; Orthopedic Surgery
Hadcock, Steven   John; Family Medicine
Haider, Ehsan   Ahmed Hussain; Diagnostic Radiology
Haider, Shariq; Infectious Diseases, Internal Medicine
Halder, Smita Luna Sudeshna; Gastroenterology, Internal Medicine
Hall, Devin Nicole; Neurology
Hambly, Nathan Daniel Morley; Internal Medicine, Respirology
Hamielec, Cindy   Maia; Internal Medicine, Respirology
Hamstra, Joel   Matthew; Anesthesiology
Hanel, Erich   Gregory; Family Medicine, Family Medicine (Emergency Medicine)
Hankinson, James Jonathan; Anesthesiology
Hanna, Wael Chadi; General Surgery, Thoracic Surgery
Hannah-Shmouni, Fady Alla; Endocrinology and Metabolism, Internal Medicine
Hartman, Jeffrey Allan; Orthopedic Surgery
Harvey, David Tyson; Physical Medicine and Rehabilitation
Harvey, John   Tyson; Ophthalmology
Hastings, Deborah   Mary; Cardiology, Internal Medicine
Hattersley, Beverly Anne; Family Medicine
Havers, Melanie   Marie; Anesthesiology
Hayward, Catherine   Pauline Mary; Hematology, Internal Medicine
Healey, Jeffrey   Sean; Cardiology, Internal Medicine
Healy, Brian Daniel; Internal Medicine, Medical Oncology
Heller, Barbara Susan; General Surgery
Henriques Candiago, Rafael; Psychiatry
Hersi, Ali; Emergency Medicine
Hillis, Christopher Michael; Hematology, Internal Medicine
Hindson, Judith   Mary; Family Medicine
Hirte, Holger   Wolfgang; Internal Medicine, Medical Oncology
Ho, Edwin Koon Ting; Anesthesiology
Ho, Terence Nathan Yum-Chuk; Internal Medicine, Respirology
Hodgson, Nicole Christina; General Surgery
Holbrook, Anne Marie; Internal Medicine
Horner, Cynthia   Jennifer-Marie; Anesthesiology
hosseini, seyed hossein; Physical Medicine and Rehabilitation
Hotte, Sebastien Jean; Internal Medicine, Medical Oncology
Hou, Chenchen; Hematology, Internal Medicine
Hunt, Dereck   Leslie; Internal Medicine
Husain, Saima   Fathima; Internal Medicine
Huwedi Abouanaser, Salaheddin   Faraj; Medical Microbiology
Huynh, Amanda Tieu-Mi; Internal Medicine
Huynh, Jessica Tieu-Uyen; Internal Medicine
Hynes, Nicolas   Marcus; Plastic Surgery
Ingram, Alistair   John; Internal Medicine, Nephrology
Iorio, Alfonso; Internal Medicine
Iqbal, Muhammad; Internal Medicine
Isac, Michelle   Marie; Anesthesiology
Iyer, Vikram   Sekar; General Surgery, Vascular Surgery
Jackson, Paul   Arthur; Anesthesiology
Jaeschke, Roman   Zygmunt; Internal Medicine
Jalali, Subash; Internal Medicine
Jaskot, Thomas Peter
Jeans, Elizabeth Rosanne; Infectious Diseases, Internal Medicine, Medical Microbiology
Jimenez Fiedler, Waldo Gaston; Obstetrics and Gynecology
Jo, Susan; Anesthesiology
Johns, David George; Family Medicine
Johnson, Troy   Geoffrey; Family Medicine
Jones, Graham   Longden; Internal Medicine, Respirology
Jones, Jennifer Kathleen; Family Medicine
Joseph, Philip George; Cardiology, Internal Medicine
Jowett, Jonathan   Elliott; Family Medicine, Family Medicine (Emergency Medicine)
Juergens, Rosalyn   Anne; Medical Oncology
Junaid, Amjad; Family Medicine, Family Medicine (Emergency Medicine)
Junker-Andersen, Lorna   Ruth; Family Medicine, Family Medicine (Emergency Medicine)
Juriansz, Brian   Darrel
Jurriaans, Erik; Diagnostic Radiology
Kachur, Edward; Neurosurgery
Kagoma, Yoan Katongole; Diagnostic Radiology
Kahnamoui, Kamyar; General Surgery
Kalidindi, Navya; Neurology
Kamel Hasan, Olfat Shibli Mohammed; Nuclear Medicine
Kanani, Sabira   Sajjad; Family Medicine
Karachi, Timothy   Adem; Critical Care Medicine, Internal Medicine
Karbassi, Arsha; Cardiology
Karnis, Megan   Michelle Freebury; Obstetrics and Gynecology
Kavalsky, Dennis   Mark; Family Medicine
Kazemi, Ghazaleh; Internal Medicine, Medical Oncology
Kean, Walter Fairbairn; Internal Medicine
Kearon, Michael Clive; Internal Medicine, Respirology
Keen, Sabina Lore Chantal; Geriatric Medicine, Internal Medicine
Keith, Paul Kevin; Clinical Immunology, Internal Medicine
Kelly, Stephen   Richard; General Surgery
Kessler Borges, Flavia; General Internal Medicine
Khalaf, Dina Gamal Fathalla; Medical Oncology
Khalid, Zahira; General Internal Medicine, Internal Medicine
Khalidi, Nader   Amir; Internal Medicine, Rheumatology
Khambalia, Bashir
Khan, Khurram Jahangir; Gastroenterology, Internal Medicine
Khanna, Vickas; Orthopedic Surgery
Khemani, Ekta; Anesthesiology
Khera, Joginder   Singh; Family Medicine
Khong, Binh Kim; Anesthesiology
Kim, Do-Hoon; Radiation Oncology
Kim, Ha-Yeon; Internal Medicine, Respirology
Kirby, John Martin; Diagnostic Radiology
Koff, David Alain; Diagnostic Radiology
Kolb, Martin   Rainer Josef
Kolesar, Richard Emil; Anesthesiology
Kollek, Daniel; Family Medicine, Family Medicine (Emergency Medicine)
Kong, Iwa; Radiation Oncology
Korkis, Joseph Armand; Otolaryngology - Head and Neck Surgery
Korman, Sunny Bruce; Otolaryngology - Head and Neck Surgery
Korz, Linda Tsz Ching; Anesthesiology
Kostandoff, Gregory Hunter; Anesthesiology
Kouroukis, Chrisostomos; Hematology, Internal Medicine
Kraeker, Christian Bradley; Internal Medicine
Kraus, Peter   Alan; Internal Medicine
Krepinsky, Joan Caroline; Internal Medicine, Nephrology
Krizmanich, William   John; Family Medicine, Family Medicine (Emergency Medicine)
Krol-Szpakowski, Margaret
Kumar Tyagi, Nidhi; Internal Medicine, Medical Oncology
Kwok, Trevor   Pak Hai; Family Medicine
Lace de Almeida, Claudia; Pediatric Cardiology, Pediatrics
Ladak, Karim; Internal Medicine, Rheumatology
Lagrotteria, Leda; Family Medicine
Lagrotteria, Lino   Pasquale; Family Medicine
Laidley, Ian Frederick; Emergency Medicine
Lajoie, Julie Jacqueline Mary; Anesthesiology
Lakhanpal, Pulkesh; Family Medicine
Lalani, Aly-Khan Azadally Ebrahim; Internal Medicine, Medical Oncology
Lambe, Shahid Abdul Razak; Urology
Landry, David   James; Diagnostic Radiology
Lanktree, Matthew Bruce; Internal Medicine, Nephrology
Lau, Arthur Ngar Tat; Internal Medicine, Rheumatology
Leber, Brian Frederick; Hematology, Internal Medicine
Lee, Bryan Chek Wei; Internal Medicine, Medical Oncology
Lee, Hilary Mary; Critical Care Medicine, Emergency Medicine
Lee, Justin   Wann-Yee; Radiation Oncology
Lee, Justin Yusen; Geriatric Medicine, Internal Medicine
Lee, Stefanie   Yan; Diagnostic Radiology
Legault, Kimberly   Janet; Internal Medicine, Rheumatology
Leggett, Peter   James; Family Medicine
Lemckert, Ronald Joachim; Otolaryngology - Head and Neck Surgery
Leonardi, Mathew; Obstetrics and Gynecology
Leong, Darryl Peng-Yu; Cardiology, Internal Medicine
Leontiadis, Grigorios Ioannis; Gastroenterology
Lepic, Kylie Lynn; Hematology, Internal Medicine
Lesiuk, Lawrence   Stephen; Anesthesiology
Leto, Daniela Laura; Infectious Diseases, Internal Medicine, Medical Microbiology
Leung, Marie Jasmine; Internal Medicine
Levine, Oren Hannun; Internal Medicine, Medical Oncology
Levinson, Anthony Julius; Psychiatry
Levis, Carolyn Mary; Plastic Surgery
Levy, David Richard; Family Medicine
Lewis, Kimberley Anne Beverly; Critical Care Medicine, Internal Medicine
Lewis, Trevor Austin; Otolaryngology - Head and Neck Surgery
Liaconis, Haralambos; General Surgery
Liang, Lorraine Min-Shan; Urology
Liang, William   Sun-Wah
Liebregts, Michelle Tanya; Emergency Medicine
Ligori, Tania; Anesthesiology, Critical Care Medicine
Lim, Henry; Family Medicine
Lin, Celina Maria Pao-Chi; Physical Medicine and Rehabilitation
Linkins, Lori-Ann; Hematology, Internal Medicine
Lloyd, Robert   Jeffrey; Pediatrics
Lobo Mueller, Edrise   Morici; Former Name: Lobo, Edrise Morici
Lodhi, Amina; Internal Medicine, Rheumatology
Loeb, Mark Bertram; Infectious Diseases, Internal Medicine, Medical Microbiology
Lonn, Eva   Marcu; Cardiology, Internal Medicine
Lozinski, Ala   Zuzanna; Dermatology
Lubanska-Hubert, Elzbieta   Grazyna; Anesthesiology
Lukka, Himanshu Ranchhoddas; Radiation Oncology
Lumb, Barry   James; Gastroenterology, Internal Medicine
Lynch, Meredith Deloris; Diagnostic Radiology
Lysecki, Paul Joseph; Critical Care Medicine, General Surgery
Macaluso, Salvatore Edward; Family Medicine
Macdougall, Paul   Joseph; Family Medicine, Family Medicine (Emergency Medicine)
MacKinnon, Judith   Anne Wittman; Family Medicine
MacLean, Jonathan Alan; Otolaryngology - Head and Neck Surgery
Magloire, Patrick Morales; Cardiology, Internal Medicine
Mahn, Joanna; Family Medicine, Family Medicine (Emergency Medicine)
Maida, Eugene C; Pain Medicine, Physical Medicine and Rehabilitation
Main, Cheryl   Lea; Infectious Diseases, Internal Medicine, Medical Microbiology
Major, Pierre Paul; Internal Medicine, Medical Oncology
Malhotra, Rohin Tilak; Critical Care Medicine, Diagnostic Radiology, Internal Medicine
Mallin, Alexandra Rebecca; Emergency Medicine
Mann, Keith   Douglas; Ophthalmology
Marcaccio, Michael   Joseph; General Surgery
Marcellus, Deborah Caryn; Hematology, Internal Medicine
Marcucci, Maura; Internal Medicine
Margetts, Peter Joseph; Internal Medicine, Nephrology
Markose, George; Diagnostic Radiology, Interventional Radiology
Marr, Sharon   Amy; Geriatric Medicine, Internal Medicine
Marrin, Michael   Lefebvre; Pediatrics
Marriott, Christopher   John Campbell; Nuclear Medicine
Marshall, Denise Irene; Family Medicine
Marshall, John   Kenneth; Gastroenterology, Internal Medicine
Martin, Leslie Joyce; General Internal Medicine, Internal Medicine
Martin, Stuart; Plastic Surgery
Martini, Jennifer Anne; Family Medicine
Mathew, Anna   T; Internal Medicine, Nephrology
Matino, Davide; Medical Biochemistry
Matsos, Mark Paul; Internal Medicine, Rheumatology
Maybee, Abby Catherine; Family Medicine
Mazurek, Emma Mae; Family Medicine
Mazurek, Michael Francis; Neurology
Mazzetti, Gavin Joseph; General Internal Medicine, Internal Medicine
McCloy III, Robert Andrew; Orthopedic Surgery
McCullagh, David Joseph; Infectious Diseases, Internal Medicine
McCulloch, Amy Eleanor; Family Medicine, Family Medicine (Emergency Medicine)
McFarling, Matthew Ryan; Anesthesiology
McGill, Gregory Murray; Family Medicine
McInnes, Natalia; Endocrinology and Metabolism, Internal Medicine
McIntyre, William Finlay; Cardiology, Internal Medicine
McLeod, Heather Christine; Geriatric Medicine, Internal Medicine
McMillan, Sharon   Kim; Family Medicine
McRae, Matthew Christian J; Plastic Surgery
McWhirter, Elaine; Internal Medicine, Medical Oncology
Mehta, Praneil Dave; Internal Medicine
Menon, Suresh; Neurology, Neurology
Mercante, Nadia   Frances; Family Medicine
Mertz, Dominik
Metrie, Mary Mamdouh Hanna; Neurology
Meyer, Ralph Melbourne; Hematology, Internal Medicine
Meyers, Brandon Matthew; Internal Medicine, Medical Oncology
Mian, Hira Shahid; Hematology, Internal Medicine
Miklea, Jonel; Family Medicine
Miller, Matthew Chester; Internal Medicine, Nephrology
Miller, Paul   Quinlan; Emergency Medicine
Minuk, Terry   Grant; Diagnostic Radiology
Misiaszek, Brian   Christopher; Geriatric Medicine, Internal Medicine
Moayyedi, Paul; Gastroenterology, Internal Medicine
Mohammed, Naufal; Internal Medicine
Moisiuk, Peter Donald; Anesthesiology
Molnar, Amber   October; Internal Medicine, Nephrology
Mondoux, Shawn; Emergency Medicine
Montgomery, Alison   Grace; Cardiology, Internal Medicine
Moore, Ainsley Elizabeth; Family Medicine
Morgan, David Geoffrey; Internal Medicine
Moriarity, Tracey   Ann Therese; Family Medicine
Moro, Jaydeep Krishnakant; Orthopedic Surgery
Muhn, Channy Young; Dermatology
Mukherjee, Som   Dave; Internal Medicine, Medical Oncology
Mulcaster, Julian Thomas; Anesthesiology
Mullen, Sarah Jane; Ophthalmology
Munir, Sohaib; Diagnostic Radiology
Muniz Rodriguez, Flor Maria; Physical Medicine and Rehabilitation
Muralitharan, Selvabarath; Internal Medicine
Murphy, Francis   Richard; Dermatology
Murty, Naresh Kumar; Neurosurgery
Mushtaq, Sheeba; Internal Medicine
Naeem, Omer; Neurology
Nagarajan, Naveen   Parasu; Diagnostic Radiology
Nair, Parameswaran Krishnan; Internal Medicine, Respirology, Respirology
Nair, Sabarinath   Balachandran; Diagnostic Radiology
Nair, Saeda Sabarinath; Anesthesiology
Nantes, Stephanie  Grace; Family Medicine
Nantha-Aree, Manyat; Anesthesiology
Narula, Neeraj; Gastroenterology, Internal Medicine
Nash, Edythe   Lynn Izumi; Family Medicine
Nash, Wesley Scott; Family Medicine
Nasri, Hachem; Internal Medicine
Nassef, Mohamed Abdelaziz Hussein; Anesthesiology
Natarajan, Madhu   Kailash; Cardiology, Internal Medicine
Nathoo, Sameer Bharat; Family Medicine
Nayar, Sumiti; Neurology
Neary, John David deReeder; Internal Medicine
Neighbour, Helen; Internal Medicine, Respirology
Nelli, Jennifer Maria; Anesthesiology
Nguyen, My Van Julie; Obstetrics and Gynecology
Nguyen, Nhu Tram Agnes; Radiation Oncology
Oczkowski, Simon John Walsh; Critical Care Medicine, Internal Medicine
Oczkowski, Wieslaw   Jan; Neurology
Oduwole, Kayode   Olajide; Orthopedic Surgery
Ofosu, Kofi Edward Amlyn; Psychiatry
Ogilvie, Rick   Arthur; Orthopedic Surgery
O'Hare, Turlough   John; Anesthesiology
Okawara, Gordon   Shigeo; Radiation Oncology
O'Malley, Lauren Grace; Physical Medicine and Rehabilitation
O'Malley, Maureen Patricia; Dermatology
Onorato, Linda; Anesthesiology
Orovan, William   Lennox; Urology
O'Shea, Timothy   Michael; Infectious Diseases, Internal Medicine, Medical Microbiology
Otero Fuentes, Carmen   Gloria; Diagnostic Radiology
Owen, Julian James; Critical Care Medicine, Emergency Medicine
Pai, Menaka; Hematology, Internal Medicine
Panju, Akbarali   Abdulrasul; Internal Medicine
Panju, Mohamed; Internal Medicine
Papaioannou, Alexandra; Geriatric Medicine, Internal Medicine
Pardhan, Alim; Emergency Medicine
Pare, Guillaume; Medical Biochemistry
Park, Hun-Je; Family Medicine
Parrish, Michael   Brian; Anesthesiology
Parvez, Elena; General Surgery
Patel, Maltibehn   Pranjeevan; Radiation Oncology
Patel, Mohammed   Ameen; Internal Medicine
Patterson, Christopher   James; Geriatric Medicine, Internal Medicine
