Abdelrazek, Mohamed Assem Mohamed Mahmoud; Diagnostic Radiology
Berberich, Amanda Jean; Endocrinology and Metabolism, Internal Medicine
Beretta, Rachel Marriott; Family Medicine
Bergin, Margaret Lynn; Cardiology, Internal Medicine
Bertrand, Monique   Adele Marie; Obstetrics and Gynecology
Bevan, Rachel Bronwen; Family Medicine
Bhaduri, Mousumi Samar; Diagnostic Radiology
Bhangu, Jaspreet Singh; Geriatric Medicine, Internal Medicine
Bhanji, Tania; Family Medicine
Bhimani, Munsif   Ali; Family Medicine, Family Medicine (Emergency Medicine)
Bielas, Katarzyna Ewa; Family Medicine
Biswas, Abhijit; Anesthesiology
Bjazevic, Jennifer Marlene; Urology
Black, Stephanie Alicia; Obstetrics and Gynecology
Blake, Peter   Gerard; Internal Medicine, Nephrology
Blanchette, Phillip Stanley; Internal Medicine, Medical Oncology
Bohdanowicz, Alexandre   Peter
Bondy, Lise Catherine; Infectious Diseases, Internal Medicine
Borger, Jonathan Ronald; Anesthesiology, Critical Care Medicine
Borrie, Michael   John; Geriatric Medicine, Internal Medicine
Boulton, Melfort   Richard; Neurosurgery
Boyd, Tristan Alexander; Internal Medicine, Rheumatology
Brackstone, Muriel; General Surgery
Brady, Scott Ronald John; Family Medicine, Family Medicine (Emergency Medicine)
Brahm, Gary   Lee; Diagnostic Radiology
Breadner, Daniel Adam; Internal Medicine, Medical Oncology
Brine, Meggan Ashleigh; Family Medicine
Brock, Gerald Benjamin; Urology
Brookes, Jonathan; Anesthesiology, Anesthesiology
Brownscombe, Larry   Mason; Internal Medicine
Bruni, Ida; Anesthesiology
Brymer, Christopher   David; Geriatric Medicine, Internal Medicine
Bulakbasi Balci, Tugce; Medical Genetics and Genomics, Medical Genetics and Genomics
Burhan, Amer Mohammed Abdul-Latif; Geriatric Psychiatry, Psychiatry
Burrell, Alishya Rose; Geriatric Medicine, Internal Medicine
Byrne, Christopher Michael; Emergency Medicine
Caine, Sean Patrick; Family Medicine, Family Medicine (Emergency Medicine)
Cairney, Anne   Elizabeth Lois; Pediatrics
Calvin, James   Eldon; Cardiology, Internal Medicine
Cameron, Paul Allan; Critical Care Medicine, Internal Medicine
Campbell, David   Robert; Psychiatry
Campbell, Jeffrey Douglas; Urology
Carey, Timothy   Patrick; Orthopedic Surgery
Carstensen, Heinrich   Michael; Diagnostic Radiology
Casserly, Courtney Sarah; Neurology
Cassidy, Caitlin Margaret Rose; Physical Medicine and Rehabilitation
Castro Mendez, Lucas; Radiation Oncology
Cave, Anita Laima; Anesthesiology
Cejic, Sonny   Sinisa; Family Medicine
Chakrabarti, Subrata; Anatomical Pathology
Chan, Cynthia   Jenifer; Obstetrics and Gynecology
Chan, Ian Lik-Yan; Diagnostic Radiology
Chan, Lik Hang Tommy; Neurology
Chan, Nelson Nai Shun; Family Medicine
Chan, Richard Kok Tiong; Neurology
Chande, Nilesh; Gastroenterology, Internal Medicine
Chang, Patrick; Family Medicine
Chen, Zihao; Family Medicine
Cheng, Anita King-Lum; Pediatrics
Cheng, Davy   Chung-Huen; Anesthesiology
Cherry, Richard   Andrew; Anesthesiology
Chin, Lip Kuen Joseph; Urology
Chin, Melissa Yarr Wern; Anesthesiology
Chin-Yee, Ian   Harold; Hematology, Internal Medicine
Chiu, Michael; Internal Medicine, Nephrology
Chiu, Simon Sin-Sing; Psychiatry
Chou, Queena; Obstetrics and Gynecology
Chu, Michael   Wayne Art; Cardiac Surgery
Chung, Jonathan Byung-Min; Diagnostic Radiology
Church, Brian   Arthur; Anesthesiology
Church, Karalyn Lee; Emergency Medicine
Clarke, Collin   Franklin Murphy; Anesthesiology
Clemens, Kristin Kyomi; Endocrinology and Metabolism, Internal Medicine
Clement, John   Stuart; Family Medicine
Colby, William David; Medical Microbiology
Colozza, Sara Josephine; Family Medicine
Colquhoun, Patrick Horton Danvers; General Surgery
Connaughton, Dervla; Nephrology
Constant Lohmann Palhares, Ana Elisa; Medical Oncology
Cookson, Christina Anne; Family Medicine
Cool, Derek William; Diagnostic Radiology
Coome, Grant Edward Arthur; Family Medicine, Family Medicine (Emergency Medicine)
Cooper, Paul   Edward; Neurology
Coulter, Corinne Anne Marie; Family Medicine
Crabbe, Rory Adam
Craen, Rosemary   Ann Patricia; Anesthesiology
Craig, Michael Brian; Family Medicine
Cubillos Salcedo, Javier Enrique; Anesthesiology
Dagnone, Robert Vico; Emergency Medicine
Dales, Laurence Blais; Family Medicine
Danby, Michelle Christine; Pediatrics
Dasgupta, Monidipa; Geriatric Medicine, Internal Medicine
Dave, Sumit; Urology
Davey, Ryan Alexander; Cardiology, Internal Medicine
Davies, Edward   Thomas; General Surgery
Davis, Matthew   Theodore; Emergency Medicine
De Ribaupierre, Sandrine   Nathalie; Neurosurgery
de Vasconcelos Fernandes, Ricardo Augusto; Medical Oncology
de Vrijer, Barbra; Obstetrics and Gynecology
Debicki, Derek Brian; Neurology
Degen, Ryan Michael; Orthopedic Surgery
Del Balso, Christopher David; Orthopedic Surgery
Delport, Johannes Andries; Medical Microbiology
DeLyzer, Tanya Lynn; Plastic Surgery
Demirkaya, Erkan; Pediatrics, Rheumatology
Denstedt, John Douglas; Urology
Deotare, Uday Ramesh; Hematology
DeRose, Gaetano; General Surgery, Vascular Surgery
Despard, Caroline Mary; Family Medicine
Devlin, Megan Katharine Benson; Infectious Diseases, Internal Medicine
Dhaliwal, Inderdeep Singh; Internal Medicine, Respirology
Dhir, Achal   Kumar; Anesthesiology
Dhir, Shalini; Anesthesiology
Di Cecco, Robert; Obstetrics and Gynecology
Diachun, Laura Lee; Geriatric Medicine, Internal Medicine
Diamantouros, Pantelis; Cardiology, Internal Medicine
Dias, Bryan Francis; Cardiology, Internal Medicine
Dickey, Chandlee Camille; Psychiatry
Diosy, David   Christopher; Neurology
Dittmer, Douglas Kenneth; Physical Medicine and Rehabilitation
Donahue, Paula Catherine; Internal Medicine
Dong, Alex Xin; Emergency Medicine
Donovan, Keith Duane; Emergency Medicine
Doran, Sean Thomas; Emergency Medicine
Dost, Omer Ali; Family Medicine
Dresser, George Kenneth; Internal Medicine
Dreyer, Jonathan   Frederic; Emergency Medicine
Driman, David   Kevin; Anatomical Pathology
Drosdowech, Darren   Sean; Orthopedic Surgery
D'Souza, David Paul; Radiation Oncology
Dua, Varinder; Psychiatry
Dubois, Luc   Andre Joseph; General Surgery, Vascular Surgery
Duggal, Neil; Neurosurgery
Duggal, Vikas; Psychiatry
Dukelow, Adam   Michael; Emergency Medicine
Dulay, Jaspal Singh; Family Medicine
Duncan, Audra Arax; Vascular Surgery
Durocher, Daniel Paul; Cardiology, Internal Medicine
Dzongowski, Petros; Family Medicine
Eastabrook, Genevieve Danielle Marie; Obstetrics and Gynecology
Eaton, Jo-Ann   Margaret
Edmonds, Marcia   Lynn; Emergency Medicine
Egan, Raymond   Richard; Child and Adolescent Psychiatry, Psychiatry
Eisenhauer, Mary Alison; Emergency Medicine
El Sadek, Imad   Hassan; Family Medicine
Elfakhani, Mohamad; Psychiatry
El-Halabi, Waseem Nabil; Emergency Medicine
Ellaway, Mary   Ruby; Family Medicine
Elnahas, Ahmad Ibrahim; General Surgery
El-Sadi, Salman Abdel Khader Salman; Family Medicine, Family Medicine (Emergency Medicine)
Elsayed, Sameer; Infectious Diseases, Internal Medicine, Medical Microbiology
Ernst, Donald   Scott; Internal Medicine, Medical Oncology
Ernst, Jaclyn Ashley; General Internal Medicine, Internal Medicine
Etemad-Rezai, Roya; Diagnostic Radiology
Ettler, Helen   Catrin; Anatomical Pathology, General Pathology
Evans, Herbert   Brian; Plastic Surgery
Faber, Kenneth   John; Orthopedic Surgery
Fairweather, Sara Michelle; Family Medicine
Fantillo, Vanessa April; Anesthesiology
Farquhar, Donald Robert; Internal Medicine, Respirology
Faulds, Catherine Joan; Family Medicine
Ferguson, Peter Charles; Orthopedic Surgery
Ferner, Paul Godfrey; Family Medicine
Feyles, Valter; Obstetrics and Gynecology
Finger, Elizabeth Carrie; Neurology
Fisher, Barbara   Jean; Radiation Oncology
Flier, Suzanne; Anesthesiology
Forristal, Chantal Jacqueline; Emergency Medicine
Fortin, Dalilah; General Surgery, Thoracic Surgery
Fotheringham, Mary Elizabeth; Emergency Medicine
Foxcroft, Laura   Charlene; Family Medicine, Family Medicine (Emergency Medicine)
Fraser, John   Alexander; Neurology
Freeman, Thomas   Robert; Family Medicine
Fujii, Satoru; Anesthesiology
Fuller, John   Geoffrey; Anesthesiology
Fung, Kevin; Otolaryngology - Head and Neck Surgery
Fuss, Jeffrey   William; Emergency Medicine
Gabriel, Joseph; Family Medicine
Gan, Bing   Siang; Plastic Surgery
Gandhi, Mandark Sudhirkumar; Gastroenterology, Internal Medicine
Ganjavi, Hooman; Psychiatry
Gannon, Kathleen   Elizabeth; Family Medicine
Garcia Bournissen, Facundo; Pediatrics
Garcia-Horton, Alejandro; Hematology, Internal Medicine
Garg, Amit; Internal Medicine, Nephrology
Garg, Pallav; Cardiology, Internal Medicine
Getgood, Alan   Martin John; Orthopedic Surgery
Ghate, Gauri; Emergency Medicine
Giffin, James   Robert; Orthopedic Surgery
Gillis, Joshua   Allan; Plastic Surgery
Giraldo Arismendy, Javier Mauricio; Anesthesiology
Gob, Alan; Hematology, Internal Medicine
Goela, Aashish; Diagnostic Radiology
Gofton, Teneille   Emma; Neurology
Gomez Lemus, Jose   Alejandro; Anatomical Pathology
Gonder, John   Russell; Ophthalmology
Gonzalez Valencia, Nelson Javier; Anesthesiology
Gordon, Dina; Family Medicine
Gordon, Neil; Anesthesiology
Gorodzinsky, Fabian Pablo; Pediatrics
Grace, Archie   Norman; Family Medicine
Graham, Marie Elise Roebuck; Otolaryngology - Head and Neck Surgery
Grant, Aaron   Leigh; Plastic Surgery
Granton, Jeffrey   Thomas; Anesthesiology, Critical Care Medicine
Gratton, Robert   Jeffrey; Obstetrics and Gynecology
Gray, Daryl Kenneth; General Surgery
Gregor, James   Christopher; Gastroenterology, Internal Medicine
grewal, ruby; Orthopedic Surgery
Gros, Michelle   Louise; Anesthesiology
Grushka, Daniel   Henry; Family Medicine, Family Medicine (Emergency Medicine)
Gryn, Steven   Ely; Clinical Pharmacology, Internal Medicine
Grynspan, Bernard; Psychiatry
Guaiana, Giuseppe; Psychiatry
Gulka, Irene Billie; Diagnostic Radiology
Gunz, Anna Catherine; Critical Care Medicine, Pediatrics
Guo, Lin-Rui; Cardiac Surgery
Gupta, Madhulika   Agarwal; Family Medicine, Psychiatry
Gurr, Kevin Robert; Orthopedic Surgery
Hackam, Daniel   Gidon; Internal Medicine
Hacking, Paige Elise; Family Medicine
Haddad, Richard Gordon; Diagnostic Radiology
Haddara, Wael   Mahmoud; Critical Care Medicine, Endocrinology and Metabolism, Internal Medicine
Hahn, Karin   Marie Elizabeth; Internal Medicine, Medical Oncology
Hall, Patricia Anne; Psychiatry
Hames, Heather Elizabeth; Emergency Medicine
Hamilton, Kirk   Douglas; Family Medicine, Palliative Medicine
Hammerberg, Ole; Medical Microbiology, Pediatrics
Hammond, Jo-Anne   Marie Smithers; Family Medicine
Haney, Elizabeth Anne; Family Medicine, Family Medicine (Emergency Medicine)
Haque, Azizul; Psychiatry
Harle, Christopher   Coswald; Anesthesiology
Harricharan, Monisha; Family Medicine
Harris, Stewart Brian; Family Medicine
Harris-Schulz, Kyra Domini; Family Medicine
Hassani, Behzad; Family Medicine, Family Medicine (Emergency Medicine)
Hawel, Jeffrey David; General Surgery
Hawthorne, Diane   Wendy; Family Medicine
Hebb, Matthew Olding; Neurosurgery
Hegazy, Ahmed Fathy Mohamed; Anesthesiology, Critical Care Medicine
Hemphill, Andrew David; Family Medicine
Herrick, Ian Alexander; Anesthesiology
Hertzman, Natalie W M; Family Medicine
Hilsden, Richard; General Surgery
Ho, Derek   Cheney; Diagnostic Radiology
Ho, Jenny   Mei-Yen; Hematology, Internal Medicine
Hocke, Volker Stephan; Psychiatry
Hocking, David Gregory; Diagnostic Radiology
Hodge, William   Gerald; Ophthalmology
Hommel, Joel Patrick; Family Medicine
Honarmand, Kimia; Critical Care Medicine, Internal Medicine
Hoogstra, Jason Andrew; Anesthesiology
Hosseini Moghaddam, Seyed   Mohammadmehdi; Infectious Diseases
Howard, James   Layton; Orthopedic Surgery
Howard, Jessica Catherine; Family Medicine
Howlett, Christopher   Jon; Anatomical Pathology
Howson-Jan, Kang; Internal Medicine
Hsia, Cyrus Chen; Hematology, Internal Medicine
Huang, Shih-Han   Susan; Internal Medicine, Nephrology
Hugel, Nicole Alysia; General Internal Medicine, Internal Medicine
Huitema, Ashlay Anne; Cardiology, Internal Medicine
Hunter-Orange, Jessica Marion; Family Medicine
Husein, Murad; Otolaryngology - Head and Neck Surgery
Hussain, Nadeem Ayaz; Gastroenterology, Internal Medicine
Hutnik, Cindy   Mary-Lynn; Ophthalmology
Huynh, Melissa Jessica; Urology
Hwang, Yesul; Family Medicine
Inculet, Richard   Ion; General Surgery, Thoracic Surgery
Iordanous, Yiannis; Ophthalmology
Iskhakova, Maria Aleksandrovna; Former Name: Ishakova, Maria Aleksandrovna
Iyer, Hariharan   Subramaniam; Nephrology
Izawa, Jonathan   Iwao; Urology
Jablonsky, George; Cardiology
Jain, Arsh   Kumar; Internal Medicine, Nephrology
Jain, Shilpa Ruchi; Infectious Diseases, Internal Medicine
Jairath, Vipul; Gastroenterology, Internal Medicine
Jan, Saadia Hameed; Family Medicine
Jarmain, Sarah   Helen; Psychiatry
Jeimy, Samira; Clinical Immunology and Allergy, Internal Medicine
Jenkins, Mary Ethel; Neurology
Jeremic, Goran; Otolaryngology - Head and Neck Surgery
Johnson, Melissa Anne; Family Medicine
Jones, Andrew   Edward; Emergency Medicine
Jones, Emily Bentley; General Internal Medicine, Internal Medicine
Jones, Sarah   Ann; General Surgery, Pediatric General Surgery
Jordan, John   Michael; Family Medicine
Joseph, Mariamma George; General Pathology
Joubert, Gary   Ivan Edmond; Pediatrics
Joy, Tisha Rosalin; Endocrinology and Metabolism, Internal Medicine
Kafil, Tahir Syed; Internal Medicine
Kane, Aditi Prashant; Family Medicine
Kane, Sheri-Lynn Catherine; Geriatric Medicine, Internal Medicine
Kao, Raymond Liang-Chiyu; Internal Medicine
Kaschor, Brenna  Ann; Family Medicine
Kashgari, Alia Yousif Ashour; Internal Medicine, Respirology
Katchky, Ryan Noah; Orthopedic Surgery
Katsiris, Sandra   Elaine; Anesthesiology
Kerr, Paul Anthony; Pediatrics
Khalaf, Roy; Anesthesiology
Khan, Yasir; Psychiatry
Khanna, Reena; Gastroenterology, Internal Medicine
Khanna, Rokesh Kumar
Khaw, Alexander Volker; Neurology
Khot, Zaid; Critical Care Medicine, General Surgery
Kim, George Paul; Family Medicine
Kim, Richard Brian; Internal Medicine
King, Carol Philberta; Obstetrics and Gynecology
King, Graham  John Winsor; Orthopedic Surgery
Kling, Stacie; Family Medicine
Knowles, Sarah Angela; General Surgery
Koivu, Sharon   Louise; Former Name: Hertwig, Sharon Louise
Kortas, Claude; Internal Medicine, Nephrology
Kovacs, Michael   Joseph; Hematology, Internal Medicine
Kribs, Stewart   Wayne; Diagnostic Radiology
Kumalo, Thandanani   Godwill Qedusizi; General Pathology
Kuprowski, Mark Christopher; Clinical Immunology and Allergy, Internal Medicine
Kuruvilla, Mridula   Sara; Internal Medicine, Medical Oncology
Kwan, Keith Fee; General Pathology
Laba, Joanna Marie; Radiation Oncology
Lacerte, Michel; Physical Medicine and Rehabilitation
Laidley, David Thomas; Nuclear Medicine
Lam, Jason Chi-Shing; Family Medicine
Lam, Selay; Hematology, Internal Medicine
Landau, John Harold; Critical Care Medicine, Vascular Surgery
Landman, Simon   Thomas Andrew; Internal Medicine, Respirology
Lanius, Ruth Anne; Psychiatry
Latosinsky, Steven; General Surgery
Lavi, Ronit; Anesthesiology
Lavi, Shahar; Cardiology, Internal Medicine
Lazo Langner, Alejandro; Hematology, Internal Medicine
Leasa, David John; Internal Medicine, Respirology
LeBel, Marie-Eve; Orthopedic Surgery
Lee, Donald   Heaton; Diagnostic Radiology
Lee, Jason J; Internal Medicine, Rheumatology
Lee, Kenneth   William
Leeper, William   Robert; General Surgery
Lefcoe, Daniel   Hugh; Psychiatry
Leger, Daniel; Family Medicine
Lenehan, John Gordon; Internal Medicine, Medical Oncology
Leong, Yvonne   Wai-Wan; Obstetrics and Gynecology
Leong-Sit, Peter   Pak-Kian; Cardiology, Internal Medicine
Leslie, Kenneth   Anderson; General Surgery
Leung, Andrew   Edward; Diagnostic Radiology
Leung, Stephanie Elaine; Diagnostic Radiology
Levin, Helen Marga Emma; Pediatric Emergency Medicine, Pediatrics
Lewell, Michael Peter; Emergency Medicine
Lewis, James Franklin; Internal Medicine, Respirology
Li, Bo; Ophthalmology
Li, Juliana Jing; Psychiatry
Licskai, Christopher   James; Internal Medicine, Respirology
Lin, Cheng; Anesthesiology
Lin, Tony Kuang Yu; Ophthalmology
Lindsay, Robert   Mcgregor; Internal Medicine
Liu, Selina Laura; Endocrinology and Metabolism, Internal Medicine
Loba Gutierrez, Georges; Psychiatry
Lock, Michael   Ian; Family Medicine, Radiation Oncology
Logan, Diane   Mary; Internal Medicine, Medical Oncology
Loh, Eldon; Physical Medicine and Rehabilitation
Lohmann, Reinhard   Christian; Hematology, Internal Medicine
Lopes, Laudelino Marques; Obstetrics and Gynecology
Loubani, Tarek Mahmoud; Family Medicine
Louzada, Martha  de Lacerda; Hematology, Internal Medicine
Lovett, Erin   Patricia; Obstetrics and Gynecology
Lownie, Stephen Patrick Murray; Neurosurgery
Luckett-Gatopoulos, Sarah Elizabeth Anastasia; Emergency Medicine
Ludwig, Nathan Scott; Anesthesiology
Lugowski, Magdalene Anne; General Surgery
Luke, Patrick   Pak Wai; Urology
Lum, Pooitsing   Andrea; Diagnostic Radiology
Lynch, Timothy Paul; Pediatrics
Lyons, Laura   Myerling Isabel; Family Medicine
MacDonald, Christine Anne; Family Medicine, Family Medicine (Emergency Medicine)
Macdonald, David   Roy; Neurology
MacDonald, Maria Jill; Neurology
MacDonald, Penny Anne; Neurology
MacDougall, Arlene Greer; Psychiatry
MacDougall, Keith   William; Neurosurgery
Maciver, Allison Heather; General Surgery, General Surgical Oncology
Mack, Peter   Haworth; Anesthesiology
Mackenzie, Constance Alexa; Clinical Pharmacology, Internal Medicine, Respirology
MacKenzie, Mary   Jean Frances; Internal Medicine, Medical Oncology
Macleod, Mark   David; Orthopedic Surgery
MacMillan, Joseph Barry; Obstetrics and Gynecology
MacNeil, Stephanie Danielle; Otolaryngology - Head and Neck Surgery
Mahngar, Kevinjeet Singh; Family Medicine, Family Medicine (Emergency Medicine)
Mahon, Jeffrey Lewis; Internal Medicine
Mai, Lauren Marie; Neurology
Makar Abdel Messih, Inas Helmy; Ophthalmology
Malik, Shiraz Akram; Family Medicine
Malthaner, Richard   Adam; General Surgery, Thoracic Surgery
Malu, Doosuur David; Family Medicine
Mandzia, Jennifer Lee; Neurology
Mangel, Joy Elise; Hematology, Internal Medicine
Manian, Usha Deivanai; Cardiology, Internal Medicine
Manji, Farouq   N; General Surgery
Manlucu, Jaimie; Cardiology, Internal Medicine
Marbeen, Melad Ideen; Family Medicine
Markovic, Nevena; Neurology
Marmai, Kristine   Louise; Anesthesiology
Martin, Claudio   Marcelo; Internal Medicine
Maruncic, Michael Anthony; Obstetrics and Gynecology
Mathew, Andrew Luka; Cardiology, Internal Medicine
Matic, Damir; Plastic Surgery
Matusa, Elena; Family Medicine
Mawhinney, Leah Anne; Family Medicine
Maxwell, Howard   Brent; Emergency Medicine
Mayich, Michael Steven; Diagnostic Radiology
McAlister, Vivian   Charles; General Surgery
McBride, Simon   Peter
McCabe, Gregory Paul; Anesthesiology
McCarty, David; Cardiology, Internal Medicine
McCauley, William   Alan; Emergency Medicine
McConnell, Allison Heather; Emergency Medicine
McCormack, David   George; Internal Medicine, Respirology
McGee, Jacob David; Obstetrics and Gynecology
Mcilraith, Ian   Peter; Ophthalmology
McIntosh, Keith Steven; Gastroenterology, Internal Medicine
McIntyre, Christopher William; Internal Medicine, Nephrology
McKay, Scott   Douglas; Family Medicine
McKelvie, Brianna Lynn; Critical Care Medicine, Pediatrics
McKelvie, Robert Samuel; Cardiology, Internal Medicine
McKeough, Nancy   Anne; Family Medicine
McKillop, Scott Douglas; Diagnostic Radiology
McLachlin, Catherine   Margaret; Anatomical Pathology
McManus, Ruth   Marie; Endocrinology and Metabolism, Internal Medicine
McNair, Susan   Margaret
McNamara, Jeffrey James; Anesthesiology
McNeil, Ceara Jean; Family Medicine, Family Medicine (Emergency Medicine)
McPherson, Terrence Patrick; Cardiology, Internal Medicine
Megyesi, Joseph Frank; Neurosurgery
Mehta, Sanjay; Internal Medicine, Respirology
Mehta, Viraj; Psychiatry
Meiwald, Allison   Louise; Emergency Medicine
Mele, Tina Stefania; General Surgery
Mendel, Simone Aviva; Internal Medicine
Mendez, Adrian Ivar; Otolaryngology - Head and Neck Surgery
Merchea, Man   Mohan; Ophthalmology
Millard, Wanda Marie; Emergency Medicine
Milo, Michael Edward; Psychiatry
Mintsoulis, Danielle   Christina; Family Medicine
Mirsattari, Seyed Mohammad; Neurology
Mirza, Zoya Ashar; Family Medicine
Misir, Amita Tanya Raha; Pediatrics
Mitchell, Clare Elizabeth; Pediatrics
Mitchell, Michael Andrew; Internal Medicine, Respirology
Mitchell, Nadine Claudia; Pediatrics
Moffat, Bradley Stewart; General Surgery
Mohar, Ayesha Intsar; Family Medicine
Moist, Louise Maureen; Internal Medicine, Nephrology
Mok, Andrea   Hon-Yee; Family Medicine
Montero Odasso, Manuel   Maria; Geriatric Medicine, Internal Medicine
Moore, Corey Curtis; Otolaryngology - Head and Neck Surgery
Moore, Phyllis   Mary; Internal Medicine
Moote, David   William; Clinical Immunology, Internal Medicine
Morrison, Stephen   Theodor; Anesthesiology
Mosdossy, Gregory   Julius; Emergency Medicine
Motolko, Michael; Ophthalmology
Moulin, Dwight   Emmerson; Neurology
Mount, Gillian Rebecca; Hematology, Internal Medicine
Moussa, Madeleine; Anatomical Pathology
Mrkobrada, Marko; Internal Medicine
Mujoomdar, Amol; Diagnostic Radiology
Munro, David   Scott
Mura, Marco; Internal Medicine, Respirology
Murphy, David   Gerard; Emergency Medicine
Muscedere, Giulio; Diagnostic Radiology
Myers, Kathryn Ann; Internal Medicine
Myers, Mary Lee; Cardiovascular and Thoracic Surgery, General Surgery
Myslik, Frank Ernest; Family Medicine, Family Medicine (Emergency Medicine)
Nachnani, Mahesh Kumar; Psychiatry
Nagappa, Mahesh; Anesthesiology
Nagar, Rohit; Pediatrics
Naidu, Renuka   Srinivasan; Critical Care Medicine, Internal Medicine
Nashid, Nancy; Infectious Diseases, Pediatrics
Naudie, Douglas de Lotbiniere; Orthopedic Surgery
Nayak, Rahul; General Surgery, Thoracic Surgery
Ndur, Joshua   Dooyum; Pediatrics
Neely, Sara Margaret; Family Medicine
Nelham, Mark   William
Newton, Peter   Timothy; Anesthesiology
Ng, Victor Kar Ho; Family Medicine, Family Medicine (Emergency Medicine)
Ng, Wai   Pui; Neurosurgery
Ngo, Michelle Anne; Psychiatry
Ngungu, Jedrin; Psychiatry
Nguyen, Timothy Huy Khoi; Radiation Oncology
Nichols, Anthony   Charles; Otolaryngology - Head and Neck Surgery
Nichols, Bruce   David; Ophthalmology
Nicolaou, Georghios; Anesthesiology
Nicoll, Jessica Ann; Critical Care Medicine, Pediatrics
Nicolle, Michael   Wade; Neurology
Nielsen, Harry William; Family Medicine
Nimir, Asim Babo; Internal Medicine
Ninan, Ajit Thyparampil; Child and Adolescent Psychiatry, Psychiatry
Nisker, Jeffrey Allan; Obstetrics and Gynecology
Noftle, Brooke Malcolm Edward; Family Medicine
Noppens, Ruediger   Robert; Anesthesiology
Northcott, Sandra Joy; Psychiatry
Nowicki, Aleksandra Agnieszka; Psychiatry
Ojha, Rahul; Pediatrics
Omidvar, Vida; Family Medicine
Orsini, Silvia   Antonella; Family Medicine
Oswald, Tyler   Benjamin; Anesthesiology
Ott, Michael   Colin; General Surgery
Ouellette, David   William; Critical Care Medicine, Emergency Medicine
Ower, Katherine   Mary; Anesthesiology
Painter, Richard William; Child and Adolescent Psychiatry, Psychiatry
Palaniyappan, Lena Kathiravan; Psychiatry
