Aaron, Shawn   David; Internal Medicine, Respirology
Bakewell, Francis William; Emergency Medicine
Balaa, Fady   Kamal; General Surgery
Balaa, Nadia; Family Medicine
Bardsley, Jillian Ashlynn; Family Medicine
Bariciak, Erika Deanne; Pediatrics
Barnes, Christopher John; Family Medicine, Palliative Medicine
Barrows, Tammy Lynn; Anesthesiology
Baryla, Julia Grazyna; Ophthalmology
Bassal, Mylene; Pediatrics
Bastianelli, Francesco   Elio; Ophthalmology
Bastianelli, Paul Anthony Roy; Ophthalmology
Batra, Gurumukh   Das; Pediatrics
Bayanati, Hamid; Diagnostic Radiology
Bayat, Muhammad   Ridwan Hoosen; Diagnostic Radiology
Bazarjani, Sadrollah Seifollahi; Nuclear Medicine
Bazile, Emilio; Psychiatry
Beanlands, Rob Stewart Buzzicott; Cardiology, Internal Medicine
Beaule, Paul-Edgar; Orthopedic Surgery
Beecker, Jennifer   Ruth; Dermatology, Family Medicine, Family Medicine (Emergency Medicine)
Behki, Rama   Rani; Ophthalmology
Belliveau, Michel   James-Rheal; Ophthalmology
Ben Fadel, Nadya   Mahmud; Neonatal-Perinatal Medicine, Pediatrics
Bence-Bruckler, Isabelle Andri; Hematology, Internal Medicine
Berdusco, Randa Lynn; Orthopedic Surgery
Bertens, Kimberly Anne; General Surgery
Bettolli, Marcos; General Surgery
Bhargava, Anuj; Ophthalmology
Bhatla, Rajiv; Psychiatry
Bhatti, Adil; Ophthalmology
Bhimji, Khadija; Family Medicine
Bielawska, Barbara; Gastroenterology, Internal Medicine
Bigue, Caroline
Billie, Christine; Family Medicine
Bismil, Ramprasad; Psychiatry
Bissada, Hany   Edgard; Psychiatry
Biyani, Mohan   Brijlal; Nephrology
Black, Amanda Yvonne; Obstetrics and Gynecology
Blackmer, Jeffrey Edwin; Physical Medicine and Rehabilitation
Blacquiere, Dylan   Paul Vincent; Neurology
Blake, Patrick   Augustine
Blanco, Paula   Leticia; Anatomical Pathology
Blew, Brian   Douglas Malcolm; Urology
Bloom, Leonard; Family Medicine
Boczar, Kevin Emery; Internal Medicine
Boekhoud, Jonathan Jozef Willem; Nuclear Medicine
Boet, Sylvain; Anesthesiology
Bonaparte, James Patrick; Otolaryngology - Head and Neck Surgery
Bonin, Brigitte; Obstetrics and Gynecology
Bonn, Gary   Elliott; Ophthalmology
Borowy-Borowski, Paul George; Anatomical Pathology
Borsuk, Ronnie Ronald Mitchel; Plastic Surgery
Borzecki, Mark   Paul; Family Medicine, Family Medicine (Emergency Medicine)
Bosse, Dominick Joseph; Internal Medicine, Medical Oncology
Boucher, Daniel Aaron; Internal Medicine
Bould, Matthew   Dylan; Anesthesiology
Boulva, Kerianne; General Surgery
Bourget, Dominique; Psychiatry
Bourgon, Joseph   Ovila Neil Luc; Psychiatry
Bourque, Jean-Marc; Radiation Oncology
Boushey, Robin   Paul; General Surgery
Boycott, Kym Marie; Medical Genetics and Genomics
Boyd, Kirsty   Usher; Plastic Surgery
Boyle, Loree Lynn; Internal Medicine
Bradshaw, Scott H; Anatomical Pathology
Brandigampola, Sarah Nicole; Psychiatry
Brandys, Timothy Michael; General Surgery, Vascular Surgery
Brault, Jennifer   Lynn Marie; Geriatric Psychiatry, Psychiatry
Breau, Rodney   Henry; Urology
Bredeson, Christopher   Norman; Hematology, Internal Medicine
Breiner, Ariel; Neurology
Britton, John   Robert; Ophthalmology
Britton, William Alan Arthur; Ophthalmology
Bromley, Lisa Ann; Family Medicine
Bromwich, Matthew   Alexander; Otolaryngology - Head and Neck Surgery
Brooks, James   Ian; Infectious Diseases, Internal Medicine
Brophy, Jason Clarence; Infectious Diseases, Pediatrics
Brown, Pierre   Antoine; Internal Medicine, Nephrology
Brownrigg, Peter Joseph; Otolaryngology - Head and Neck Surgery
Brule, Stephanie Yasmin; Internal Medicine, Medical Oncology
Bryson, Gregory   Lyle; Anesthesiology
Buchan, Catharine Arianne; Infectious Diseases, Internal Medicine
Bugeja, Ann   Leanor; Internal Medicine, Nephrology
Buhrmann, Ralf Reynir; Ophthalmology
Burns, Bruce Fraser; Anatomical Pathology
Burns, Kevin   Donald; Internal Medicine, Nephrology
Busca, Aurelia; Anatomical Pathology
Bush, Shirley Harvey; Palliative Medicine
Buyukdere, Hakan; Hematological Pathology
Byford, Larry   James; Anesthesiology
Byszewski, Anna   Maria; Geriatric Medicine, Internal Medicine
Cabral, Antonio Rafael; Internal Medicine, Rheumatology
Cagiannos, Ilias; Urology
Calder, Lisa Anne; Emergency Medicine
Calder-Sprackman, Samantha Mckenzie; Emergency Medicine
Cameron, Daniel John; Family Medicine
Cameron, Donald William; Infectious Diseases, Internal Medicine
Campbell, Craig   Erskine; Obstetrics and Gynecology
Campbell, Laura Beth; Psychiatry
Campbell, Ross David; Otolaryngology - Head and Neck Surgery
Campbell, Thomas Mark; Physical Medicine and Rehabilitation
Canil, Christina Maria Bruna; Internal Medicine, Medical Oncology
Canning, Stephanie Denise; Gastroenterology, Internal Medicine
Cardinal, Pierre; Internal Medicine, Respirology
Caron, Catherine   Margaret; Family Medicine
Carr, Lindsay   Anne; Family Medicine, Family Medicine (Emergency Medicine)
Carrier, Marc; Hematology, Internal Medicine, Medical Microbiology
Carsen, Sasha Paul; Orthopedic Surgery
Carver, David Alexander; General Surgery
Casey, Genevieve Marie; Geriatric Medicine, Internal Medicine
Caudrelier, Jean-Michel; Radiation Oncology
Caulley, Lisa Maatekor; Otolaryngology - Head and Neck Surgery
Caytak, Joseph; Family Medicine, Family Medicine (Emergency Medicine)
Chadha, Neel Gagan; Family Medicine
Chakraborty, Santanu; Diagnostic Radiology
Chan, James   Wing Tai; Internal Medicine
Chan, Justine Siu-Bun; Internal Medicine
Chan, Raphael Li-Kuo; Family Medicine
Chan, Sarah Siu-Lai; Psychiatry
Chandy, George   Pariyampadathu; Internal Medicine, Respirology
Chang, Lynn; Radiation Oncology
Chang, Nina; Anatomical Pathology
Chaput, Alan   Joseph; Anesthesiology
Charbonneau, Valerie; Emergency Medicine
Chatterjee, Avijit; Gastroenterology, Internal Medicine
Chawla, Harmeet   Kaur; Pediatrics
Chen, Innie; Obstetrics and Gynecology
Chen, Kuan-Chin Jean; Family Medicine
Cheung, Kevin; Plastic Surgery
Cheung, Warren James; Emergency Medicine
Chevrier, Robert Lionel Arthur; Ophthalmology
Chih, Sharon   Shiaw Yun; Cardiology, Internal Medicine
Chin, Melanie Patricia; Internal Medicine, Respirology
Choi, Stephen   Bernard; Emergency Medicine
Chong, Aun-Yeong  Yeong; Cardiology
Chouinard, Joseph Alfred Jean
Chow, Benjamin Joe Wade; Cardiology, Internal Medicine
Chow, Tiffany Liyen; Family Medicine
Christie, Suzanne Nadine; Neurology
Christou, Marie Grace; Hematology, Internal Medicine
Chun, Soojin; Geriatric Psychiatry, Psychiatry
Clark, Edward   George; Critical Care Medicine, Internal Medicine, Nephrology
Clark, Heather   Diane; Internal Medicine
Clemons, Mark   Jonathan; Medical Oncology
Clow, Jennifer Elizabeth
Cockburn, John Elliot; Family Medicine, Family Medicine (Emergency Medicine)
Code, Cathy  Christina; General Internal Medicine, Internal Medicine
Condon, Elana Marie; Family Medicine
Connolly, Rory Daniel; Emergency Medicine
Contreras Dominguez, Vladimir; Internal Medicine
Conway, James   Bernard; Anesthesiology
Cook, Graham George; Radiation Oncology
Cooper, Curtis Lindsay; Infectious Diseases, Internal Medicine
Cordeiro, Erin Doris; General Surgery
Cortel-LeBlanc, Miguel Alejandro; Emergency Medicine
Corvo, Antoinette; Anesthesiology
Costache, Ioana; Anesthesiology
Costain, Nicholas Andrew; Emergency Medicine
Cote, Mylene; Internal Medicine
Cote, Pascale; Family Medicine
Cowan, Juthaporn; Infectious Diseases, Internal Medicine
Cox, Joel   Bryson; Pediatrics
Crabtree, Paul   Omer Embree; Family Medicine
Crawford, Kelsey Anne; Physical Medicine and Rehabilitation
Crooks, Simone Lisa; Anesthesiology
Crosby, Edward Thomas; Anesthesiology
Cross, Peter   William; Radiation Oncology
Cwinn, Anthony   Adam; Emergency Medicine
Daboval, Thierry Michel Simon; Pediatrics
Dales, Robert   Edgar; Internal Medicine, Respirology
Dalziel, William Burd; Geriatric Medicine, Internal Medicine
DAmico, Catherine  Mary; Family Medicine
D'Aoust, Julie Gardiner; Internal Medicine, Rheumatology
Davies, Dawn  Elaine; Pediatrics
Davies, Justine Juliette Mandy; Family Medicine
Davis, Janet Lynne; Internal Medicine, Nephrology
Davis, Neil Leonard; Anatomical Pathology
Dawdy, John   Alden; Cardiology, Internal Medicine
Dawson, Andrea Jacqueline; Dermatology
de Azeredo Coutinho, Thais; Cardiology
De Meulemeester, Christine Anne; Neurology
De Roock, Sophie Marie Daniele Josee; Anesthesiology
D'Egidio, Gianni Ercole; Critical Care Medicine, Internal Medicine
Delbrouck, Nicole Frances Lucienne; Internal Medicine, Nephrology
D'Elia, Michael Anthony; General Surgery
della Zazzera, Vincent; Obstetrics and Gynecology
Delluc, Aurelien; Internal Medicine
Delpero, Walter; Ophthalmology
Dennie, Carole   J.; Diagnostic Radiology
Dennis, Kristopher; Radiation Oncology
Deria, Mariam; Family Medicine
Derry, Kendra Leanne; Anesthesiology
Dervin, Geoffrey   Francis; Orthopedic Surgery
Desjardins, Isabelle; General Internal Medicine, Internal Medicine
Deutsch, Margaret   Jane; Family Medicine
Dewhirst, Sebastian; Emergency Medicine
Dhaliwal, Harinder Singh; Gastroenterology, Internal Medicine
Di Santo, Pietro Hector; Internal Medicine
Dinning, Stephen Ian; Nuclear Medicine
Dionne, Michel  Andre; Anatomical Pathology
Dionne, Richard Wayne; Family Medicine, Family Medicine (Emergency Medicine)
Dixit, Anuj Sharan; Diagnostic Radiology
Dixit, Priyanka; Pediatrics
Doherty, Megan Elizabeth; Palliative Medicine, Pediatrics
Doja, Mohammad Asifud; Neurology
Dojeiji, Suzan   Samantha; Physical Medicine and Rehabilitation
Dollin, Michael Leo Elliot; Ophthalmology
Dornan, Holly Dawn; Geriatric Psychiatry, Psychiatry
Dos Santos, Marlise   Peruzzo; Diagnostic Radiology
Dowlatshahi, Dariush; Neurology
Downar, James   Andrew; Critical Care Medicine, Internal Medicine, Palliative Medicine
Doyle, Leilani   Nanette; Anesthesiology
Doyle, Mary-Anne; Endocrinology and Metabolism, Internal Medicine
Doyle, Vanessa Semone; Neurology
Drodge, Karen Helene; Family Medicine
Drouin, Elisabeth; Family Medicine
Druce, Irena; Endocrinology and Metabolism, Internal Medicine
Druss, Elizabeth Carlyn; Psychiatry
Dube, Catherine; Gastroenterology, Internal Medicine
Dubois, Daniel Gérald; Anesthesiology
Dudek, Nancy   Lorraine; Physical Medicine and Rehabilitation
Duffett, Lisa Deborah Marie; Hematology, Internal Medicine
Duffy, Peter Joseph; Anesthesiology
Dugan, Alison King; Internal Medicine
Duigenan, Shauna; Diagnostic Radiology
Dumont, Tania; Obstetrics and Gynecology
Duncan, Mary Jean; Plastic Surgery
Dutton, Heidi Pauline; Endocrinology and Metabolism, Internal Medicine
Dy, Jessica Garcia; Obstetrics and Gynecology
Dyason, Claire Guinevere; Family Medicine
E, Choan   Choun; Radiation Oncology
Eagles, Debra Anne; Emergency Medicine
Earlam, Karen Jean; Internal Medicine, Respirology
Edwards, Cedric   Andrew; Internal Medicine, Nephrology
Edwards, Wesley   John; Anesthesiology
Effendi, Mona; Family Medicine
Ekong, Enobong Inem Arit; Obstetrics and Gynecology
El-Chaar, Darine Georges; Maternal Fetal Medicine, Obstetrics and Gynecology
Elfazari, Tamer Ahmed Hani Hanafi; Obstetrics and Gynecology
El-Sayed, Samy Mohamed; Radiation Oncology
Elzayat, Ehab Abdalla; Urology
English, Shane   William; Critical Care Medicine, Internal Medicine
Enright, Paula   Dawn; Family Medicine
Esselmont, Elizabeth Ashley; Pediatrics
Etarsky, Daniel; Family Medicine
Evans, George William; Anesthesiology
Evans, Holly   Christine Lockhart; Anesthesiology
Ewing, David   Allen; Anesthesiology
Eyre, Alison; Family Medicine
Fairhead, Todd   Ryan; Internal Medicine, Nephrology
Fakhraldeen, Mohammad A A J E; Emergency Medicine
Farhadi, Elham; Pediatrics
Farmer, James Patrick; Anatomical Pathology, Ophthalmology
Fasih, Najla; Diagnostic Radiology
Faught, Carolyn   Ruth; Hematology, Internal Medicine
Faught, John Wylam; Obstetrics and Gynecology
Feber, Janusz; Pediatrics
Feberova, Jana; Neonatal-Perinatal Medicine
Fedoroff, John   Paul; Forensic Psychiatry, Psychiatry
Feibel, Robert   John; Orthopedic Surgery
Ferretti, Emanuela; Pediatrics
Filgueiras Etienne, Paula; Family Medicine
Filteau, Lucie   Claudine; Anesthesiology
Finestone, Hillel   Moses; Physical Medicine and Rehabilitation
Fischer, Lisa Marie Guylaine; Emergency Medicine
Fitzgibbon, Edward   James; Family Medicine
Fleming, Nathalie   Ann; Obstetrics and Gynecology
Flood, Trevor A; Anatomical Pathology
Fogl, Tomas; Psychiatry
Forgie, Melissa Anne; Hematology, Internal Medicine
Forse, Catherine Lillian; Anatomical Pathology
Forster, Alan   John; Internal Medicine
Foster, Ryan Christian Barnett; Diagnostic Radiology
Fournier, Annick  Valerie; Ophthalmology
Frank, Jason   Russell; Emergency Medicine
Frank, Simon George; Plastic Surgery
Frankish, Charles William; Clinical Immunology, Internal Medicine
Fraser, Amy   Barbara; Anesthesiology
Fraser, Margaret Ann; Diagnostic Radiology
Fraser-Roberts, Deborah   Leigh; Pediatrics
Freedman, Mark Steven; Neurology
Friedlich, Martin   Sheldon; General Surgery
Froeschl, Michael   Pierre Volker; Cardiology, Internal Medicine
Fulcher, Alison Jill; Hematology
Fulop, John   Csaba; Cardiology
Fung Kee Fung, Karen   Marie Carew; Maternal Fetal Medicine, Obstetrics and Gynecology
Fung-Kee-Fung, Michael   Paul; Obstetrics and Gynecology
Gadbois, Kristen Julie; Anesthesiology
Gagne, Sylvain   Stephane; Anesthesiology
Gallant, Catherine   Angela; Anesthesiology
Gandhi, Jasmine; Psychiatry
Garber, Gary   Erwyn; Infectious Diseases, Internal Medicine
Gareau, Rejean   Antoine; Anesthesiology
Gartke, Kathleen Anne; Orthopedic Surgery
Garuba, Habibat Aziz; Cardiology, Internal Medicine
Gaudet, Marc; Radiation Oncology
Gautam, Mamta; Psychiatry
Gauthier, Jean-Claude; General Surgery
Gavigan, Genevieve   Marie; Dermatology
Gay, Raymond   Bruce; General Surgery
Gee, Andrew Stuart; Emergency Medicine
Geier, Pavel; Pediatrics
Geiger, Glen   William; Internal Medicine
Gelt, Victoria; Cardiology, Pediatrics
Gerin-Lajoie, Caroline Marie-Andree; Psychiatry
Gerridzen, Ronald   Gerard; Urology
Gertler, Stanley; Internal Medicine, Medical Biochemistry, Medical Oncology
Giaccone, Roberto   Antonio; Neurology
Gibson, Marie Eve Sophie; Obstetrics and Gynecology
Gilberg, Steven   Matthew; Ophthalmology
Gilbert, Sebastien; General Surgery, Thoracic Surgery
Gillis, Katharine Anne; Psychiatry
Giulivi, Antonio; Hematological Pathology
Glassman, Steven   Jeremy; Dermatology
Glen, Peter Norman Campbell; General Surgery
Goddard, Yvette Natalie; Anesthesiology
Goel, Gautam; Family Medicine, Family Medicine (Emergency Medicine)
Goel, Rakesh; Internal Medicine, Medical Oncology
Gofton, Wade   Travis; Orthopedic Surgery
Goheen, Mary   Susan Lynn Beamish; Anesthesiology
Goindi, Reena; Family Medicine
Goldbloom, Ellen   Beth; Endocrinology and Metabolism, Pediatrics
Golian, Mehrdad; Cardiology, Internal Medicine
Gomes, Marcio Mendes; Anatomical Pathology
Gomes, Megan Melissa; Obstetrics and Gynecology
Gomez Lora, Claudia Paola; Anesthesiology
Gonsalves, Carol Lucy; Hematology, Internal Medicine
Goodwin, Kelly Meg; Obstetrics and Gynecology
Goss, Glenwood   Dillon; Internal Medicine, Medical Oncology
Gotfrit, Joanna Mandy; Internal Medicine, Medical Oncology
Gottlieb, Chloe   Charmaine Chlebek; Ophthalmology
Gottman, Elizabeth Anne; Family Medicine
Graham, Gail Elizabeth; Medical Genetics and Genomics
Grammatopoulos, Georgios; Orthopedic Surgery
Grant, Robert Ian; General Surgery
Gratton, Valerie; Family Medicine
Gray, Catherine Jean; Internal Medicine
Green, Douglas   Stephen; Psychiatry
Greenberg, Gary   Herman; Emergency Medicine
Grieco, Anthony Nicholas; Hematology, Internal Medicine
Grimard, Laval Jacques; Radiation Oncology
Grimes, David Andrew; Neurology
Gruber, David; Family Medicine, Family Medicine (Emergency Medicine)
Gruszczynski, Adam Thomas; Family Medicine
Gupta, Ashish; Diagnostic Radiology
Gupta, Melini Rani Helen; Family Medicine
Gupta, Sanjiv; Anesthesiology
Gupta, Shipa; General Internal Medicine, Internal Medicine
Haddad, Alain; Radiation Oncology
Hadziomerovic, Adnan; Diagnostic Radiology
Haebe, James   Robert; Obstetrics and Gynecology
Halliday, Sarah Marie Francoise; Geriatric Psychiatry, Psychiatry
Halman, Samantha; General Internal Medicine, Internal Medicine
Halwani, Fawaz; Anatomical Pathology
Hamilton, Gavin Michael; Anesthesiology
Hamilton, Leslie Erin; Anatomical Pathology, Neuropathology
Harnett, David Thomas; Cardiology, Internal Medicine
Harrold, JoAnn   Elizabeth; Pediatrics
Hartwick, Karl Michael; Critical Care Medicine, Internal Medicine
Hasimja Saraqini, Delvina; Internal Medicine
Hatcher, Simon; Psychiatry
Hebert, Guy   Joseph; Emergency Medicine, Internal Medicine
Hecht, Nathan Graham; Emergency Medicine
Hendin, Ariel; Emergency Medicine
Hesketh, Caitlin Christine; Internal Medicine, Nephrology
Hibbert, Rebecca  Marie Andree; Diagnostic Radiology
Hickling, Duane Ross; Urology
Highmore, Kerri Ann; Diagnostic Radiology, Pediatric Radiology
Hilton, John; Internal Medicine, Medical Oncology
Hiremath, Swapnil   Satayya; Nephrology
Ho, Michael Long; Emergency Medicine
Hoar, Stephanie Ellen; Internal Medicine, Nephrology
Hodgdon, Taryn; Diagnostic Radiology
Hogan, Matthew John; Neurology
Hooper, Jonathan George Victor; Anesthesiology
Hsiao, Janey Shih Chi; Hematology, Internal Medicine
Hsu, Helen Han-Ning; Family Medicine
Hsu, Tina   Yun-Chin; Internal Medicine, Medical Oncology
Huang, Allen Richard; Geriatric Medicine, Internal Medicine
Huebsch, Lothar Bernd; Hematology, Internal Medicine
Hughes, Owen   Peter; Family Medicine
Hui, Charles Pok Sum; Infectious Diseases, Pediatrics
Humphrey, Susan Marie; Internal Medicine, Rheumatology
Hundemer, Gregory Louis; Nephrology
Huot, David John; Pediatrics
Hurley, Bernard   Robert; Ophthalmology
Hurteau, Julie Marie; Diagnostic Radiology
Ibrahim, Cherif   Kamal Safwat; Anatomical Pathology
Ivory, Catherine Paulette Alice; Internal Medicine, Rheumatology
Iyengar, Abhinav Mohan; Hematology, Internal Medicine
Iyengar, Akshai Mohan; Critical Care Medicine, Internal Medicine
Jago, Caitlin Anne; Obstetrics and Gynecology
James, Daniel Ernst; Emergency Medicine, Pain Medicine
Janardanan Nair, Vimoj; Radiation Oncology
Jankov, Robert Peter; Pediatrics
Jansen, Gerard   Harm; Neuropathology
Jardine, Julie   Amanda; Psychiatry
Jarmuske, Mario Byron; Plastic Surgery
Jee, Robert   Michael; Anesthesiology
Jegatheswaran, Januvi; Internal Medicine, Nephrology
Jessamine, Peter Gordon; Infectious Diseases, Internal Medicine, Medical Microbiology
Jetty, Prasad; General Surgery, Vascular Surgery
Jeyaraj, Leo Muthusamy; Anesthesiology
Jibri, Zaid Adil; Diagnostic Radiology
Jilkina, Tatiana   Alexandrovna; Family Medicine, Family Medicine (Emergency Medicine)
Jin, Chunzi Jenny; Radiation Oncology
Johns, Peter   Douglas; Emergency Medicine
Johnson, Christopher   Benjamin; Cardiology, Internal Medicine
Johnson-Obaseki, Stephanie Elin; Otolaryngology - Head and Neck Surgery, Pediatrics
Johnston, Donna   Lynn; Pediatrics
Johnston, Mary   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Jones, Griffith   David; Obstetrics and Gynecology
Jones-Delcorde, Adam David Harold; Family Medicine, Family Medicine (Emergency Medicine)
Jonker, Derek James; Internal Medicine, Medical Oncology
Joo, Gul   Pil; Family Medicine
Jordan, David   Ronald; Ophthalmology
Kaaki, Suha Kamal I; General Surgery
Kaluzienski, Mark Henry; Psychiatry
Kang, Han Na; Pediatrics
Kapur, Atul   Kumar; Emergency Medicine
Kapur, Suneil; Internal Medicine, Rheumatology
Karanjia, Rustum Sarosh; Ophthalmology
Karovitch, Alan   Jeffrey; Internal Medicine
Karpinski, Jolanta   Anna Maria; Internal Medicine, Nephrology
Karsh, Jacob; Internal Medicine, Rheumatology
Katz, Sherri   Lynne; Pediatrics, Respirology
Kay, Gary   Peter; Psychiatry
Keays, Melise; Urology
Keely, Erin   Joanne; Endocrinology and Metabolism, Internal Medicine
Keely, Kathryn Leone; Pediatrics
Kekre, Natasha Kiran; Hematology, Internal Medicine
Kelly, Erin Margaret Mary; Gastroenterology, Internal Medicine
Kelly, Sheila   Mary; Diagnostic Radiology
Kennah, Michael Lee; Hematology, Internal Medicine
Kennedy, Christopher  Blair; Orthopedic Surgery
Kenshil, Sana; Gastroenterology, Internal Medicine
Kepron, Charis Anthea; Anatomical Pathology, Forensic Pathology
Khalife, Roy; Hematology, Internal Medicine
Khalil, Hisham Abraham Daniel; Obstetrics and Gynecology
Khoury, Lara; Geriatric Medicine, Internal Medicine
Kielly, Maria; Obstetrics and Gynecology
Kilty, Shaun   Jason; Otolaryngology - Head and Neck Surgery
Kim, John; Internal Medicine
Kim, Kristine Jimi; Geriatric Medicine, Internal Medicine
Kim, Paul   Roy; Orthopedic Surgery
Kingstone, Michael   Steven; Diagnostic Radiology
Kirshen, Carly Allison; Dermatology
Klassen, Christina Deanne; Family Medicine
Knoll, Gregory   Alan; Internal Medicine, Nephrology
Kobewka, Daniel Michael; Internal Medicine
Kolozsvari, Oana Nicoleta; General Surgery
Kontolemos, Mario; Diagnostic Radiology, Neuroradiology
Konzuk, Peter   John; Ophthalmology
Kotarba, Jan Antoni; Pediatrics
Koujok, Khaldoun; Diagnostic Radiology, Pediatric Radiology
Kovesi, Thomas   Andrew; Pediatrics, Respirology
Kozar, Walter   Joseph; Family Medicine, Family Medicine (Emergency Medicine)
Kravcik, Stephen; Internal Medicine
Krywenky, Ashley; Emergency Medicine
Kucharski, Julia Mary; Psychiatry
Kuntz, Christiane   Regina; Family Medicine
Kwok, Chanel Elissa Chi Lai; Internal Medicine, Respirology
Kwok, Edmund Sai Hong; Emergency Medicine
Kwong, Adrienne Yue-Ann; Critical Care Medicine, Internal Medicine
Labelle, Alain; Psychiatry
LaBerge, Lauren Elizabeth; Dermatology
Labinaz, Marino; Cardiology, Internal Medicine
Lacroix, Julie   Denise Marie; Dermatology, Family Medicine
Lacroix, Lauren Kristine; Emergency Medicine
Lalonde, Karl-Andre   Roger; Orthopedic Surgery
Lam, Tiffany; Family Medicine, Family Medicine (Emergency Medicine)
Lambert, Wendy   Cindy-Lynn; Family Medicine
Lamensa, John William Ernest; Obstetrics and Gynecology
Lamontagne, Christine; Anesthesiology
Lamothe, Joseph   Paul Andre; Otolaryngology - Head and Neck Surgery
Lampron, Jacinthe; Critical Care Medicine, General Surgery
Landreville, Jeffrey Michael; Emergency Medicine
Landry, Vincent   Lucien Joseph; Anesthesiology
Lane, Alan   Thomas; Anesthesiology
Lapner, Peter; Orthopedic Surgery
Lapointe, Marie Louise; Ophthalmology
Lau, Jacqueline Christine Oi-Ling; Diagnostic Radiology
Lau, Lawrence Kherr Hsien; Internal Medicine
Lau, Timothy   Edwin; Psychiatry
Laughton, Angela   Faith; Family Medicine
Laurie, Scott   Andrew; Internal Medicine, Medical Oncology
Lavallee, Luke Thomas; Urology
Law, Angeline; Cardiology, Internal Medicine
Lawlor, Peter Gerard; Family Medicine
Lawrence, Sarah   Linda; Pediatrics
Lawrence, Sarah Elizabeth; Endocrinology and Metabolism, Pediatrics
Lazier, Joanna Shari; Medical Genetics and Genomics
Le Gal, Gregoire
Le, Tien Dung; Obstetrics and Gynecology
Lecca, Patricia; General Internal Medicine, Internal Medicine
Leduc, Jean-Gregoire; Internal Medicine, Respirology
Lee, Barry   Craig; Infectious Diseases, Internal Medicine
Lee, Elliott Kyung; Psychiatry
Lee, Erica   Erma Marie; Emergency Medicine
Lee, Frank Soonho; Diagnostic Radiology
Lee, Hae   Mi; Plastic Surgery
Lee, Ralph   Francis; Gastroenterology, Internal Medicine
Lee, Thomas Kin Man; Ophthalmology
Leech, Judith Anne; Internal Medicine, Respirology
Leiva, Rene   Antonio; Family Medicine
Lelli, Daniel Andrew; Neurology
Lemay, Genevieve; Geriatric Medicine, Internal Medicine
