Abourbih, Daniel Asher; Emergency Medicine
Maranda, Claude Ronald; Cardiology, Internal Medicine
Maranda, Julie Patricia; Family Medicine
Maranda, Robert   Claude; Cardiology, Internal Medicine
Marquis, Maude   Guo; Family Medicine
McCall, Richard   Hooshang; Family Medicine
McMurray, Lisa   Anne; Psychiatry
Meulenkamp, Bradley George; Orthopedic Surgery
Miller, Annelise; Family Medicine
Minz, Jonathan David; Family Medicine
Morissette, Diane; Psychiatry
Munn, Matthew Brendan; Family Medicine, Family Medicine (Emergency Medicine)
Nadler, Brian   Jacob; Internal Medicine
Osores Tello, Cesar Pavel; Family Medicine
O'Sullivan, Rory John; Family Medicine, Family Medicine (Emergency Medicine)
Paquette, Stephanie; Obstetrics and Gynecology
Pascali, Dante   Umberto; Obstetrics and Gynecology
Peng, Shuo; Family Medicine, Family Medicine (Emergency Medicine)
Primiani, Nadia Sarah; Family Medicine, Family Medicine (Emergency Medicine)
Procino, Michael   John; Family Medicine
Quenneville, Michel Lionel
Rivard, Marie-Helene; Psychiatry
Rivest, Francis; Diagnostic Radiology
Robillard, Antoine; Diagnostic Radiology
Rocheleau, France; Psychiatry
Rossbach, Valery   Michel Jehan Hubert; Family Medicine
Rostom, Alaa Mostafa Kamel Ahmed; Gastroenterology, Internal Medicine
Roy, Marc-Antoine; Family Medicine
Saint-Louis, Mylene Marie Miriam Julie; Family Medicine
Saleh, Olivier; Family Medicine, Family Medicine (Emergency Medicine)
Salek, Cyrus Shayegan; Family Medicine
Savoyard, Jean-Sebastien; Family Medicine
Schirmer, Nicholas; Family Medicine, Family Medicine (Emergency Medicine)
Sekhri, Jitin Ratan; Family Medicine
Souligny, Lyne   Helene; Family Medicine
Sun, Charles Xiaochen; Family Medicine
Sylvain, Josee Elizabeth; General Internal Medicine, Internal Medicine
Thibodeau, Michel Eric; Internal Medicine
Ton-That, Quoc-Huy; Family Medicine, Family Medicine (Emergency Medicine)
Touma, Nadine Joseph; Family Medicine
Tremblay, Maxime; Diagnostic Radiology, Medical Microbiology
Vartazarmian, Raphael; Family Medicine
Vu Ngoc, Quynh-Phuong; Diagnostic Radiology
Wilkin, Geoffrey Peter; Orthopedic Surgery
Wong, Benson Chun To; Internal Medicine, Respirology
Ywakim, Fikry  Milad; Obstetrics and Gynecology
Ywakim, Rania Fikry; Otolaryngology - Head and Neck Surgery
Zimmerman, Deborah Lynn; Internal Medicine, Nephrology
