Agrawal, Sumit Kishore; Otolaryngology - Head and Neck Surgery
Norozi, Kambiz; Pediatric Cardiology
Ogilvie, Jacqueline Dianne; Developmental Pediatrics, Pediatrics
Pace, Jacob Anthony; Emergency Medicine
Pang, Renee Xin-Wei; Pediatrics
Paradis, Josee   Anne; Otolaryngology - Head and Neck Surgery
Parnes, Lorne   Stephen; Otolaryngology - Head and Neck Surgery
Parrent, Andrew Gerard; Neurosurgery
Parry, Neil   Geordie; General Surgery
Patel, Serina Vinod; Pediatric Hematology/Oncology, Pediatrics
Pautler, Stephen Edward; Urology
Pavri, Daisy Rusi; Pediatrics
Pawliszyn, Richard James; Family Medicine
Peebles, Erin Rachelle; Pediatrics
Pepe, Daniel Luke; Family Medicine
Pilon, Sarah Jude; Developmental Pediatrics, Pediatrics
Poonai, Naveen   P; Pediatric Emergency Medicine, Pediatrics
Prasad, Asuri Narayan; Neurology, Pediatrics
Price, April Katherine; Pediatrics, Respirology
Price, Laura Annaleis; Emergency Medicine
Quan, Douglas; General Surgery
Ramsay, David Alastair; Neuropathology
Ranger, Adrianna   Mary; Neurosurgery
Rieder, Michael   John; Pediatrics
Rizvi, Syed Naveed Ahmed; Child and Adolescent Psychiatry, Psychiatry
Roach-Fox, Elizabeth Emily; Pediatrics
Ross, Douglas Cameron; Plastic Surgery
Roth, Kathryn Elizabeth; Otolaryngology - Head and Neck Surgery
Saleh, Maha Safey El-Din; Medical Genetics and Genomics
Sangha, Gurinder   Singh; Pediatric Emergency Medicine, Pediatrics
Schulz, Valerie Marie Nocent; Anesthesiology
Scott, Leslie Alanna; General Surgery, Pediatric General Surgery
Sharan, Sapna; Ophthalmology
Shepherd, Jessica   Gillian; Anatomical Pathology
Siddiqi, Fawaz; Neurosurgery
Simon, Gary   Sherwin; Anesthesiology
Singh, Ram Nivas; Pediatrics
Sischek, William   Joseph; Anesthesiology
Siu, Victoria   Mok; Pediatrics
Sommerfreund, Rafi   David; Anesthesiology
Sottosanti, Maria; Pediatrics
Spence, Ann   Kimber; Family Medicine
Stare, Liga; Pediatrics
Steven, David Andrew; Neurosurgery
St-Laurent, Aaron Gregory Storm; Pediatrics, Respirology
Strychowsky, Julie Elizabeth; Otolaryngology - Head and Neck Surgery
Symonette, Caitlin Jane; Plastic Surgery
Symons, Frank Peter; Child and Adolescent Psychiatry, Psychiatry
Taheri, Sepideh; Pediatrics
Tay, Keng Yeow; Diagnostic Radiology
Thain, Elizabeth Jennifer; Geriatric Medicine, Internal Medicine
Tijssen, Janice Anne; Pediatrics
Tingey, David Paul; Ophthalmology
Tole, Soumitra Shripad; Pediatric Hematology/Oncology, Pediatrics
Turkstra, Timothy   Philip; Anesthesiology
Van Hooren, Tamara Angela; Pediatrics
Vergel de Dios, Jennifer Ann; Anesthesiology
Wadhwa, Sonia; Child and Adolescent Psychiatry, Psychiatry
Walker, Cyril   Robin; Pediatrics
Walsh, Joanna   Clare; Anatomical Pathology
Wang, Zhan Tao; Urology
Warren, David William; Family Medicine, Family Medicine (Emergency Medicine), Pediatrics
Wilejto, Marta; Pediatrics
Wilson, Ryan Patrick; Family Medicine
Wiseman, Daniele Patrice; Diagnostic Radiology
Wisenberg, Gerald; Cardiology, Internal Medicine
Woolfson, Jessica Pearl; Gastroenterology, Pediatrics
Yamashita, Cory Masaru; Internal Medicine, Respirology
Yoo, John Heung Joon; Otolaryngology - Head and Neck Surgery
Zaleski, Witold   Michael; Diagnostic Radiology
Zhu, Nemin Adam; Family Medicine
Zizzo, Andreanne; Gastroenterology, Pediatrics
