Abadir, Anna Maria A; Psychiatry
Hurlburt, Lindsay Dawn; Anesthesiology
Husain, Mansoor; Cardiology, Internal Medicine
Husain, Shahid; Infectious Diseases
Hwang, David Wei-De; Internal Medicine
Ibey, Nathaniel Gregor Charles McLeod; Family Medicine
Ing, Douglas Jeffrey; Internal Medicine
Inman, Robert Davies; Rheumatology
Irish, Jonathan   Crawford; Otolaryngology - Head and Neck Surgery
Iwanochko, Robert Mark; Cardiology, Internal Medicine
Jaberi, Arash; Diagnostic Radiology
Jackson, Timothy David; General Surgery
Jadad Bechara, Alejandro   Ricardo; Anesthesiology
Jaffer, Nasir Mansur; Diagnostic Radiology
Jaigobin, Cheryl   Susheila; Neurology
Jain, Ashu Nitin; Family Medicine
James, Jacqueline   Elizabeth; Endocrinology and Metabolism, Internal Medicine
James, Paul Damien; Gastroenterology, Internal Medicine
Janevski, John; Cardiology, Internal Medicine
Jang, Hyun-Jung; Diagnostic Radiology
Jang, Raymond Woo-Jun; Internal Medicine, Medical Oncology
Jariani, Marjan; Anesthesiology
Jassal, Sarbjit   Vanita; Internal Medicine, Nephrology
Jewett, Michael   Alexander Spencer; Urology
Jeyaraj, Satheesh Krishna; Diagnostic Radiology
Jhaveri, Kartik Sudhir; Diagnostic Radiology
Ji, Catherine   Ran; Family Medicine
Jiang, Fan; Orthopedic Surgery
Johnson, Sarah   Augusta; Diagnostic Radiology
Johnson, Sindhu Rose; Internal Medicine, Rheumatology
Johnstone, Jennie; Infectious Diseases, Internal Medicine
Jones, Marcella Kristine; Family Medicine
Josephson, Timothy Blair; Emergency Medicine, Family Medicine
Jugnundan, Pravesh; Family Medicine
Juma, Azim Fatehali; Family Medicine
Juvet, Stephen   Charles; Internal Medicine, Respirology
Kaasa, Benjamin   Michael; Family Medicine
Kachura, John Robert; Diagnostic Radiology
Kajal, Dilkash; Diagnostic Radiology
Kalia, Lorraine Victoria; Neurology
Kalia, Suneil   Kumar; Neurosurgery
Kandel, Christopher Edward; Infectious Diseases, Internal Medicine
Kandel, Sonja Marion; Diagnostic Radiology
Kaplan, Alexander Jacques; Ophthalmology
Kaplovitch, Eric Michel; General Internal Medicine, Internal Medicine
Kapoor, Monika; Family Medicine, Family Medicine (Emergency Medicine)
Kapral, Moira Kassia; Internal Medicine
Katzberg, Hans   Dieter; Neurology
Kaushal, Amit; Family Medicine, Internal Medicine, Nephrology
Kemp, Sheelagh Margaret; Anesthesiology
Keogh, John   Thomas; Family Medicine
Keren, Ron; Psychiatry
Keshavjee, Shafique; Cardiovascular and Thoracic Surgery, General Surgery
Keystone, Edward   Clark; Internal Medicine, Rheumatology
Khadadah, Fatima Mousa E KH S; Internal Medicine
Khalili, Ida; Diagnostic Radiology
Khan, Kamran Mahmood; Infectious Diseases, Internal Medicine
Khan, Mohammad Hashim; Internal Medicine, Respirology
Khan, Yasmin; Emergency Medicine
Kielar, Ania   Zofia; Diagnostic Radiology
Kim, Stephanie Gina; Geriatric Medicine, Internal Medicine
Kim, Tae   Kyoung; Diagnostic Radiology
Kirkham, Kyle Robert; Anesthesiology
Kirsh, Brian   Sheldon; Psychiatry
Kitchlu, Abhijat; Internal Medicine, Nephrology
Kljenak, Diana; Psychiatry
Ko, Hyang Mi; Anatomical Pathology
Kong, Kester; Internal Medicine, Neurology
Kongkham, Paul   Narin; Neurosurgery
Konvalinka, Ana; Internal Medicine, Nephrology
Kooner, Sahil Singh; Orthopedic Surgery
Kovacs, Gabor Geza; Neurology, Neuropathology
Kraft, Sari Alana; Family Medicine
Kraft, Stephen   Paul; Ophthalmology
Krings, Timo; Diagnostic Radiology
Krishnan, Shraddha; Family Medicine
Kucharczyk, Walter; Diagnostic Radiology
Kucharski, Edward   Alfred; Family Medicine
Kulkarni, Abhaya   Vivek; Neurosurgery
Kulkarni, Girish   Satish; Urology
Kumar, Deepali; Infectious Diseases, Internal Medicine
Kuo, Kevin   Hsin-Mu; Hematology, Internal Medicine
Kuriya, Bindee None; Internal Medicine, Rheumatology
Kussin, Dennis Joseph; Psychiatry
Kwan, Janice Lup-Yee; Internal Medicine
Kwok, Yvonne; Family Medicine
Kwong, Jeffrey   Cheng Yu; Community Medicine, Family Medicine
Lai, Alison Tin-Sum; Internal Medicine
Lakhani, Aly; Internal Medicine
Lalonde, Karl-Andre   Roger; Orthopedic Surgery
Laluck Junior, Bohdan   Julius; Internal Medicine
Lam, Cindy Tze Yung; Ophthalmology
Lam, Robert   Edwin; Family Medicine
Lam, Wai-Ching; Ophthalmology
Lam, Wilson; Hematology, Internal Medicine
Lampard, Robert Bruce; Emergency Medicine
Landes, Megan   Christine; Family Medicine
Lang, Anthony   Edward Thomas; Internal Medicine, Neurology
Laskin, Carl Alan; Rheumatology
Latham, Warren   Cameron Wigmore; Orthopedic Surgery
Lau, Adrian Ngar Chun; Endocrinology and Metabolism, Internal Medicine
Lau, Ambrose   Kaiting; Internal Medicine, Respirology
Lau, BENSON  Ping Shun; Former Name: Lau, Bing Shun
Lau, Jenny; Family Medicine
Lau, Johnny   Tak-Choy; Orthopedic Surgery
Laughlin, Suzanne; Diagnostic Radiology
Law, Arjun Datt; Hematology
Lax, Matthew Jamie; Diagnostic Radiology
Lazinski, Dorothy; Diagnostic Radiology
Le, Chu   Quang
Leanza, Francesco; Family Medicine
Leckie, Ashley Elizabeth; Diagnostic Radiology
Lee, Chien Tien Andy
Lee Choi, Kenneth; Dermatology, Internal Medicine
Lee, Christie   Martha; Critical Care Medicine, Internal Medicine, Respirology
Lee, Connie Namhoon; Family Medicine, Family Medicine (Emergency Medicine)
Lee, Douglas Sang Yun; Cardiology, Internal Medicine
Leligdowicz, Aleksandra; Critical Care Medicine, Internal Medicine
Lemieux, Camille   Marie; Family Medicine
Lemire, Francine Lise Marie; Family Medicine
Leone, James Mauro; Orthopedic Surgery
Leong, Wey-Liang; General Surgery
Leroux, Timothy Sean; Orthopedic Surgery
Leung, Jo Jo; Family Medicine, Family Medicine (Emergency Medicine)
Levine, Noah Charles; Family Medicine
Levitt, Sarah   Eleonore; Psychiatry
Levy, Gary   Avrom; Gastroenterology, Internal Medicine
Levy, Todd   Stewart; Family Medicine
Lewin, Warren Harris; Family Medicine
Lewis, Gary Franklin; Endocrinology and Metabolism, Internal Medicine
Lewis, Stephen Joel; Orthopedic Surgery
Lexchin, Joel   Raymond; Family Medicine, Family Medicine (Emergency Medicine)
Lexier, Reuven R.; Orthopedic Surgery
Li, Madeline   Tsui-Yee; Psychiatry
Li, Melissa Shihua; Family Medicine
Lian, Calvin Tai-Ien; Family Medicine, Family Medicine (Emergency Medicine)
Liberman, Dan; Geriatric Medicine, Internal Medicine
Lidstone, Sarah Christine; Neurology
Lim, David Wai; General Surgery
Lim, Dawn   Yin; Emergency Medicine
Lin, Nancy  Nancy; Psychiatry
Linda, Dorota; Diagnostic Radiology
Liu, Jessica Janine; Internal Medicine
Liu, Kimberly   Ellen; Obstetrics and Gynecology
Liu, Louis Wing Cheong; Gastroenterology, Internal Medicine
Lo, Amanda Ting-Ting; Family Medicine
Locke, Kenneth Andrew; Internal Medicine
Logan, Alexander Gordon; Internal Medicine
Lok, Charmaine Elizabeth; Internal Medicine, Nephrology
Lorello, Gianni Roberto; Anesthesiology
Lovatsis, Danny; Obstetrics and Gynecology
Low, Stephanie Alena Wong; Ophthalmology
Lozano, Andres M; Neurosurgery
Luca, Simina Roxana; Internal Medicine
Lum, Grant; Family Medicine
Luther, Ryan Adel; General Internal Medicine, Internal Medicine
Lynch, Marie-Josee Albert; Psychiatry
Lynde, Charles Walter; Dermatology
Lyons, Owen Daniel; Respirology
Ma, Martin   Tim; Anesthesiology
Macarthur, Alison   Jane; Anesthesiology
MacGillivray, Lindsey Elizabeth Suzanne; Psychiatry
MacMillan, Thomas Evan; Internal Medicine
Madan, Monika Krishna; Family Medicine
Madani, Amin; General Surgery
Mafeld, Sebastian Charles; Diagnostic Radiology
Maham, Nava; Internal Medicine, Respirology
Mahmoud, Sarah; Family Medicine
Mahomed, Nizar   Noorallah; Orthopedic Surgery
Maistrelli, Gianni; Orthopedic Surgery
Mak, Susanna So Sum; Cardiology, Internal Medicine
Malinowski, Ann; Maternal Fetal Medicine, Obstetrics and Gynecology
Mandelcorn, Efrem   Dov; Ophthalmology
Mandelcorn, Mark Samuel; Ophthalmology
Mandell, Daniel Michael; Diagnostic Radiology, Neuroradiology
Mansur, Rodrigo Barbachan; Psychiatry
Marchington, Katie Lee; Family Medicine
Margolin, Edward Arkadiy; Ophthalmology
Margolis, Myles; Diagnostic Radiology
Markowitz, Samuel Nahman; Ophthalmology
Marotta, Thomas   Richard; Diagnostic Radiology
Marras, Laurie Constance; Neurology
Marras, Theodore; Internal Medicine, Respirology
Marshall, Kenneth   Wayne; Orthopedic Surgery
Martin del Campo, Jose   Cuauhtemoc; Internal Medicine, Neurology
Marzouk, Sherief   El-Sayed Mohamed; Psychiatry
Masgoret, John   Charles; Family Medicine
Masi, Raffaele
Mason, Warren Phillip; Internal Medicine, Neurology
Masood, Sameer; Emergency Medicine
Massicotte, Eric Maurice; Neurosurgery
Mastoras, George Nicholas; Emergency Medicine
Mastrogiacomo, Caterina; Family Medicine
Mathew, Paul Kavanakudy; Orthopedic Surgery
Mazzulli, Tonino; Infectious Diseases, Internal Medicine, Medical Microbiology
McCabe, Steven James; Plastic Surgery
McCredie, Victoria   Anne; Critical Care Medicine, Internal Medicine
McDonald-Blumer, Heather; Internal Medicine, Rheumatology
McGeer, Allison Joan; Infectious Diseases, Internal Medicine
McGuire, Glenn   Patrick; Anesthesiology
McInnis, Micheal Chad; Diagnostic Radiology
McIntyre, Roger   Stewart; Psychiatry
McLaren, Jesse Thomas Tigar; Family Medicine, Family Medicine (Emergency Medicine)
McMurren, Chase Everett; Family Medicine
McNama, Patricia   Marian; Anesthesiology
Mehdiratta, Neil; Neurology
Mehta, Sangeeta; Internal Medicine, Respirology
Melnyk, Vladyslav; Anesthesiology
Melvin, Kenneth   Robert; Cardiology, Internal Medicine
Melvin, Lindsay Joanne; General Internal Medicine, Internal Medicine
Mendes Pereira, Vitor
Merchant, Asad   Ali; Internal Medicine, Nephrology
Metser, Ur; Diagnostic Radiology
Mezody, Melitta; Cardiology
Micieli, Jonathan Andrew; Ophthalmology
Middleton, Claire; Anesthesiology
Middleton, William James; Anesthesiology
Miller, Kimberley Lauren; Psychiatry
Miller-Monthrope, Yvette   Elouise; Anatomical Pathology, Dermatology
Mingo, Nancy   Sabina; Family Medicine
Minkovich, Leonid   Leizarovich; Anesthesiology
Mirchandani, Natasha; Family Medicine
Miropolsky, Vladislav; Diagnostic Radiology
Mistry, Niraj   Kumar; Pediatrics
Mizdrak, Nikolina; Family Medicine
Moaveni, Azadeh; Family Medicine
Moayedi, Yasbanoo; Cardiology, Internal Medicine
Moga, Rebecca   Ann; Anesthesiology
Mohankumar, Rakesh; Diagnostic Radiology
Molla Ghanbari, Hedieh; Family Medicine
Monteiro, Eric Anthony; Otolaryngology - Head and Neck Surgery
Morel, Chantal   France Joelle; Medical Genetics and Genomics
Morgan, Matthew William; Internal Medicine
Morgan, Moheb; Family Medicine
Moro, Jaydeep Krishnakant; Orthopedic Surgery
Morris, Andrew   Mark; Infectious Diseases, Internal Medicine
Moulton, Carol-Anne   Evelyn; General Surgery
Munce, Nigel Robert; Diagnostic Radiology
Munhoz, Renato Puppi; Neurology
Munk, Marla   Robin; Family Medicine
Munoz, David G; Neuropathology
Murphy, Amanda Marie; Diagnostic Radiology
Murphy, Kellie Estelle; Obstetrics and Gynecology
Murphy, Kieran Patrick John; Diagnostic Radiology
Murphy, Patricia   Mary; Anesthesiology
Naglie, Ian   Gary; Geriatric Medicine, Internal Medicine
Nair, Krishnakumar; Cardiology
Nantais, Jordan; General Surgery
Naraghi, Ali Mohammad Faghihi; Diagnostic Radiology
Nathanson, Jay   Anthony; Psychiatry
Nesbitt, Gillian   Catherine; Cardiology, Internal Medicine
Ng, Carly  Joyce; Family Medicine
Ng, David; Family Medicine, Family Medicine (Emergency Medicine)
Ng, Karen Agatha; Geriatric Medicine, Internal Medicine
Ng, Stephen   Siu Lung; Family Medicine
Ng, Troy Andrew; Plastic Surgery
Nguyen, Geoffrey   Christopher; Gastroenterology, Internal Medicine
Nguyen, Jasmine Thien Duyen; Family Medicine
Niazi, Ahtsham Uddin; Anesthesiology
Nielsen, Christopher; Orthopedic Surgery
Niroumand-Sarvestani, Mitra; Internal Medicine, Respirology
Niroumand-Sarvestani, Mitra; Internal Medicine, Respirology
Norman, Richard; Geriatric Medicine, Internal Medicine
Nosrati, Mohammad
Nowacki, Anna Karolina; Emergency Medicine
Nowak, Dominik Alex; Family Medicine
Oandasan, Ivy Felicidad; Family Medicine
O'Brien, Catherine   Adell; General Surgery
O'Brien, Jonathan Darcy; Psychiatry
O'Connor, Erin Maureen; Emergency Medicine
Oechslin, Erwin   Notker; Cardiology, Internal Medicine
Ogilvie-Harris, Darrell   Justice; Orthopedic Surgery
Okrainec, Allan Eric Peter Philip; General Surgery
Okrainec, Karen; Internal Medicine
