Aarts, Mary-Anne   Wilhelmina; Critical Care Medicine, General Surgery
Komorowsky, Andrei Wolodymyr; Emergency Medicine
Kong, Anna   Wan Sum; Anesthesiology
Kong Ting, Margaret Cheryl
Konstantinou, Chris
Kraemer, William   Joseph; Orthopedic Surgery
Kroach, Murray Norman; Obstetrics and Gynecology
Krulewitz, Janet   Beth; Family Medicine, FCFP - Family Medicine
Kucharski, Edward   Alfred; Family Medicine
Kulchyk, James   Stephen; Anesthesiology
Lai, Alison Tin-Sum; Internal Medicine
Lam, Desmond   Karman; Anesthesiology
Lam, Heidix Kim Hing; Internal Medicine, Nephrology
Lam, Kenneth   W K; Family Medicine
Lam-Shang-Leen, Jessica; Clinical Pharmacology and Toxicology, Internal Medicine
Lazier, Kate; Family Medicine, Family Medicine (Emergency Medicine)
Leber, Aviva Phyllis; Gastroenterology, Internal Medicine
Lee, Cindy   Hok Ying; Internal Medicine, Respirology
Lee, Henderson; Anesthesiology
Lee, Kenneth; Anesthesiology
Lee, Kit   Shan; Family Medicine
Lee, Kyle On York; Family Medicine
Lee, Victoria; Psychiatry
Lefkowitz, Ariel Michael Feig; General Internal Medicine, Internal Medicine
Lefkowitz, Arthur Charles Joel; Cardiology, Internal Medicine
Lekas, Michael   Chris; Cardiology, Internal Medicine
Lemke, Krista Kornelia; Psychiatry
Leung, Grace Sin Yee; Geriatric Medicine, Internal Medicine
Leung, Mark   David; Diagnostic Radiology
Leung, Terence Luen Ngok
Levinson, Ari   David; Cardiology, Internal Medicine
Levitt, Kevin Samuel; Cardiology, Internal Medicine
Li, Brian Heng; Cardiology, Internal Medicine
Li, Jing; Internal Medicine, Medical Oncology
Liao, Pamela; Family Medicine
Lindsay, Shanna   Louise; Neurology
Ling, Erick Kaming; Family Medicine
Little, Anjuli Sabrina; Family Medicine
Liu, Jia   Jia; Hematology, Internal Medicine
Liu, Shiying; Cardiology, Internal Medicine
Lo, Andrea  Yuning; Family Medicine
Lockyer, Michelle April; Family Medicine
Lu, Fang-I; Anatomical Pathology
Luong, Angela; Diagnostic Radiology
Lutchman, Carla   Radica; Ophthalmology
Luvisotto, Terri Lara; Family Medicine, FCFP - Family Medicine
Lysy, Zoe   Claire; Endocrinology and Metabolism, Internal Medicine
Ma, Lingli; Family Medicine, Family Medicine (Emergency Medicine)
MacKenzie, Roberta Clare Fleur; Obstetrics and Gynecology
MacKenzie, Susan   Elizabeth; Child and Adolescent Psychiatry, Psychiatry
Macleod, Tara Lee; Obstetrics and Gynecology
Maistrelli, Gianni; Orthopedic Surgery
Makedonov, Ilia; Internal Medicine
Malhan, Swati; Family Medicine
Malhotra, Kenneth Samuel; Family Medicine, Gastroenterology, Internal Medicine
Mamen, Natalie   Kirsten; Family Medicine, Family Medicine (Emergency Medicine)
Mandelcorn, Jeff   Nahum; Diagnostic Radiology, Nuclear Medicine
Marhong, Jonathan David; Critical Care Medicine, Internal Medicine
Mark, Pamela   Alison; Family Medicine, FCFP - Family Medicine
Mark, Patrick   Weng-Sing; Anesthesiology
Marriage, Samantha Jane Mills; Family Medicine
Marrocco, Angela Marie Patricia; Family Medicine, Family Medicine (Emergency Medicine)
McCready, Janine Brenda; Infectious Diseases, Internal Medicine
McIntosh, Christopher Allan; Psychiatry
McKinley, Marianne; Family Medicine, FCFP - Family Medicine
McMullen, Janet Ashley; Pediatrics
McWhannell, Ruth   Hannah; Pediatrics
Meharchand, Jacinta   Mary; Hematology, Internal Medicine
Mendis, Nicholas Tilak; Anesthesiology
Meret, Aleksander Jakob Madison; Pediatrics
Mesaros, Jelena; Psychiatry
Meschino, Alfio; Anesthesiology
Mihajlovic, Vesna; Internal Medicine
Mirkovic, Jelena; Anatomical Pathology
Moghaddam, Bahar; Internal Medicine
Mohindra, Ruchi Nidhi; Family Medicine, Family Medicine (Emergency Medicine)
Morgan, Andrew   William; Forensic Psychiatry, Psychiatry
Morris, Leanne Gale; Pediatrics
Morrow, Gary   Lawrence; Ophthalmology
Mosher, Emily   Ruth; Anesthesiology
Moussa, Fuad; Cardiac Surgery
Muhammad, Amin   Ali; Psychiatry
Naidu, Rajgopaul; Cardiology, Internal Medicine
Naiman, Alisa; Family Medicine
Najib, Syed Samir; Cardiology, Internal Medicine
Nathwani, Meera; Family Medicine
Newman, Harold John; Diagnostic Radiology
Ng, David; Family Medicine, Family Medicine (Emergency Medicine)
Nguyen, Olivier Francois; General Internal Medicine, Internal Medicine
Nianiaris, Nicholas; Ophthalmology
Nicholas, Everton Sylvester; Endocrinology and Metabolism, Internal Medicine
Nield, Lynne   Elizabeth; Cardiology, Pediatrics
Norman, Richard; Geriatric Medicine, Internal Medicine
Nynkowski, Peter Arthur; Psychiatry
O'Beirne, Carole Patricia; Pediatrics
Ochieng Mitula, Cindy   Adhiambo; Family Medicine
Okyere, Ebenezer; Psychiatry
Ornstein, Melanie Patrice; Obstetrics and Gynecology
Ovchinnikov, Vladislav Leonidovich; Cardiology, Internal Medicine
Papadopoulos, Anastasios Stacey; Clinical Immunology and Allergy, Pediatrics
Parker, Vivien   Mary; Psychiatry
Pastia, Cristina   Ioana; Family Medicine
Peacock, Sharon; Anesthesiology
Perlmutar, Marty; Pediatrics
Petrescu, Nicolae; Neurology
Petrou, Constantine   Savva; Pediatrics
Pham, Thuy-Nga; Family Medicine
Phillips, David Douglas; Family Medicine, Family Medicine (Emergency Medicine)
Philpott, John   Frederick; Pediatrics
Pilmer, Caileigh Mariko; Family Medicine
Pinto, Sarah Rose; Cardiology, Internal Medicine
Pivovarov, Kevin Elliot; Internal Medicine
Pollock, Isaac David
Poon, Ian Din Tsun; Radiation Oncology
Pooni, Amandeep Singh; Colorectal Surgery, General Surgery
Popovic, Jelena; Pediatrics
Porfiris, George   S; Family Medicine, Family Medicine (Emergency Medicine)
Potter, Jennifer   Ann; Family Medicine
Powis, Jeff   Earl; Infectious Diseases, Internal Medicine
Pritchard, Mary Jane; Family Medicine, FCFP - Family Medicine
Psihogios, Maria; Pediatrics
Pun, Yin   Hun Ian
Quirt, Ian Chesney; Hematology, Internal Medicine
Qureshi, Hamzah; Internal Medicine
Rahim, Yasmin  Hussain; Hematology, Internal Medicine, Medical Oncology
Ramprasad, Michael   Robert; Family Medicine
Ravichandiran, Kajeandra; Orthopedic Surgery
Raymond, Elin   Louise; Obstetrics and Gynecology
Reagan, Adrian Charles; Diagnostic Radiology
Rewa, George; Cardiology, Internal Medicine
Robison, Gordon   Edward Archibald; Anesthesiology
Rocca, Antonio  Stevereves; Cardiology, Internal Medicine
Rocha, Roland   Coutinho; Internal Medicine
Rosenberg, Jarred Errol; Geriatric Medicine, Internal Medicine
Rosenberg, Jeffrey   Joel
Rosenbluth, Allan   Bruce; Psychiatry
Rosenbluth, Michael Bernard; Psychiatry
Rosenstein, David Michael; Family Medicine, Family Medicine (Emergency Medicine)
Rosenstein, Karen Anne; Pediatrics
Rotbard, Morris; Family Medicine, FCFP - Family Medicine
Roussev, Rossen; Internal Medicine, Neurology
Rozenberg, Dmitry; Internal Medicine, Respirology
Rutherford, Susan   Mildred; Ophthalmology
Sade, Shachar; Anatomical Pathology
Safieddine, Najib   Nazem; General Surgery, Thoracic Surgery
Sagman, Doron; Psychiatry
Salehi, Leila; Family Medicine, Family Medicine (Emergency Medicine)
Saltman, Alexandra Paige; Internal Medicine, Rheumatology
Sandoe, Claire Haist; Neurology
Sandor, Celine Danielle; Family Medicine
Sands, Alex; Internal Medicine
Saperia, James Adam; Gastroenterology, Internal Medicine
Saunderson, Janet Louise; Pediatrics
Sawires, Hany Fawzy Shokry; General Surgery
Schepmyer, Neville Andrew Nicholas; Neurology
Seid, Ying   Suey
Sem, Francis   Wai Chun; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Shah, Manish   Dev; Otolaryngology - Head and Neck Surgery
Shah, Meera; Family Medicine, Family Medicine (Emergency Medicine)
Shamji, Adil; Family Medicine, Family Medicine (Emergency Medicine)
Shamsi, Heba; Family Medicine
Shao, Richard  Heng-Fu; Internal Medicine, Medical Oncology
Sheikh, Tasnim Kausar; Anatomical Pathology
Sheps, David Joseph; Family Medicine, Family Medicine (Emergency Medicine)
Sherman, Christopher Grant; Anatomical Pathology
Shin, Vincent Ho-Sun; Diagnostic Radiology
Shulman, Leslie   Sara; Anesthesiology
Shum, Andrew James Ho-Tak; Family Medicine, Family Medicine (Emergency Medicine)
Siddiqui, Nausheen   Fatima; Internal Medicine, Nephrology
Sigesmund, Dayle   Anne; Ophthalmology
Simmonds, Wrensford   Franklin
Simone, Carmine; Thoracic Surgery
Singal, Neera; Ophthalmology
Singal, Rajiv   Kumar; Urology
Singer-Jordan, Jonathan   Roy; Diagnostic Radiology
Sirna, Salvatore
Sitzer, Nicole Brittany; Internal Medicine, Respirology
Siu, Vincent; Cardiology, Internal Medicine
Skrastins, Roland; Internal Medicine, Respirology
Skrinskas, Gailutis Joseph; Internal Medicine
Slodkowska, Elzbieta; Anatomical Pathology
Slomer, Adam; Emergency Medicine
Smith, Christopher   Norman Charles; Internal Medicine
Smith, Oakley   David; Otolaryngology - Head and Neck Surgery
Sokoluk, Craig   Allan; Internal Medicine, Rheumatology
Somani, Shayan; Pediatrics
Soulios, Christos; Psychiatry
Spiegle, Gillian  Beth; General Internal Medicine, Internal Medicine
Stanley, Katherine   Sigrun; Critical Care Medicine, Internal Medicine
Stefanski, Katherine   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Stefurak, Taresa Luba; Neurology
Stevenson, James Kenworthy Romeyn; Hematology, Internal Medicine
Stoller, Jacqueline Sian; Family Medicine
Stone, Angela   Marie; Critical Care Medicine, Emergency Medicine
Sud, Maneesh Kumar; Cardiology, Internal Medicine
Sujana Kumar, Vidya; General Internal Medicine, Internal Medicine
Tai, Ray-Wen   Melissa; Obstetrics and Gynecology
Tam, Yiu   Wing; Internal Medicine
Tandon, Parul; Gastroenterology, Internal Medicine
Tate, Laura Jean; Plastic Surgery
Taylor, Stephen Andrew; Gastroenterology, Internal Medicine
Teplitsky, Yoella; Family Medicine
Thakrar, Dipen Ramniklal; Anesthesiology
Thomas, Garry   Robert; Cardiology, Internal Medicine
Thomas, Mary; Family Medicine
Tibbet, Juliana Salem; Anesthesiology
Tirkos, Stamatis; Family Medicine
Tomes, Ladislav; Anatomical Pathology
Tooth, Kerry   Jennifer; Diagnostic Radiology
Toptchieva, Anna; Anesthesiology
Treanor, Nuala Jean; Anesthesiology
Truscott, Bruce Osmund
Tsvetkov, Dmitry; Orthopedic Surgery
Tzakas, Peter; Family Medicine
Ung, Yee Chung; Radiation Oncology
Vagaon, Andrei Iulian; Internal Medicine, Respirology
Vairavanathan, Rajani; Family Medicine, Family Medicine (Emergency Medicine)
Vari, Barbara Judith; Family Medicine, FCFP - Family Medicine
Vasiliou, Denise Marie; Internal Medicine
Vicus, Danielle Lyn; Obstetrics and Gynecology
Vlaovic, Peter   David; Urology
Voglis, Stefanos; Gastroenterology, Internal Medicine
Vojdani, Omid Kyle; Family Medicine, Family Medicine (Emergency Medicine)
Vowinckel, Erika Ann Meta; Family Medicine
Walsh, Christopher James; Internal Medicine, Respirology
Wang, Andrew N J; Psychiatry
Warner, Michael   Benjamin; Critical Care Medicine, Internal Medicine
Wasser, Edward Morrie Israel; Family Medicine
Wedge, Charlotte Isabel; Ophthalmology
Weiler, Peter   Joseph; Orthopedic Surgery
Weisbrod, Lawrence; Ophthalmology
Weisbrod, Mitchell   Jonathan; Anesthesiology
Welke, Timothy   Mark; Anesthesiology
Whitehead, Katherine Elizabeth Anne; Family Medicine, Family Medicine (Emergency Medicine), Palliative Medicine
Wiebe, Miriam   Joan; Family Medicine
Wiesenthal, Stephanie Renee; Psychiatry
Wiggers, John Bradley; Infectious Diseases, Internal Medicine
Williams, Paula Bronwen
Wilton, Kelly; Internal Medicine, Respirology
Wong, Albert   Siu Hong
Wong, Denise Wing-Yee; Family Medicine
Wong, Eric Kai-Chung; Geriatric Medicine, Internal Medicine
Wong, John   Wang-Ngai; Anatomical Pathology
Wong, Patrick   Yee Hong; Family Medicine
Wong, Paul   Kim Chiu; Orthopedic Surgery
Wong, Philip   Ernest
Wong, Roland   Jih Liang; Family Medicine
Wong, Sian Eunice; Family Medicine
Woods, Brenda Tybee; Obstetrics and Gynecology
Workentin, Kevin Michael; Family Medicine
Wyman, Roy   Jeffrey; Family Medicine, FCFP - Family Medicine
Xu, Jason Ji; Otolaryngology - Head and Neck Surgery
Yanofsky, Michael   Jay
Yi, Soojin Leslie; Family Medicine, Family Medicine (Emergency Medicine)
Yu, Catherine Lu; Family Medicine, Family Medicine (Emergency Medicine)
Yuen, Andrew Wilfred; General Surgery
Zalan, Paul   Richard
Zeldin, Robert   Allan; General Surgery, Thoracic Surgery
Zhao, Ying   Ying; Internal Medicine, Respirology
Zhu, Katie Hao Yun; Psychiatry
Zia, Mohammad   Imran; Cardiology, Internal Medicine
