Abou-Seido, Maher Khamis Mohmmed Elbaz; Obstetrics and Gynecology
Hussain, Farrukh; Cardiology, Internal Medicine
Hussain, Fatima   Maryam; Geriatric Medicine, Internal Medicine
Hussain, Mohammed Farhan Iqbal; Psychiatry
Ibrahim, Moheb   Samir; Cardiac Surgery
Irshad, Kashif; General Surgery, Thoracic Surgery
Ismail, Said Osman; Anatomical Pathology
Jackson, Zane   Steven; General Surgery
Jacobson, Dustin Ari; Pediatrics
Jaffer, Hussein; Diagnostic Radiology
Jahangir, Khurram; Family Medicine, Family Medicine (Emergency Medicine)
Jailall, Davindra Naresh; Family Medicine
Jaskolka, Jeffrey   David; Diagnostic Radiology
Jeevanandam, Sivagami
Jeyanathan, Tasha Radha; Internal Medicine
Jha, Shalini; Geriatric Medicine, Internal Medicine
Jhirad, Ronen Haeem; General Surgery, Vascular Surgery
Joffe, Robert; Family Medicine, Family Medicine (Emergency Medicine)
Johnson, Manamohan; Psychiatry
Johnson, William Samuel; General Surgery, Vascular Surgery
Jones, Donald   Philip; General Surgery, Thoracic Surgery
Kacer, Milan Rudolf Richard
Kajbaf, Sahar; Internal Medicine, Nephrology
Kanwal, Tejpreet Kaur; Pediatrics
Kao, Shawn Shu-Kang; Pediatrics
Kapila, Varun; General Surgery, Vascular Surgery
Kaplan, Henry Daniel; Ophthalmology
Kapoor, Vikram; Family Medicine
Karani, Yasir; Internal Medicine
Karbi, Oscar   Asher; Emergency Medicine
Kassarjian, Ara; Diagnostic Radiology
Kathuria, Sangeet; Neonatal-Perinatal Medicine, Pediatrics
Katyal, Anil; Otolaryngology - Head and Neck Surgery
Katz, David Leslie; Critical Care Medicine, Internal Medicine
Kaura, Tajinder Singh; Family Medicine, Family Medicine (Emergency Medicine)
Keetbaas, Shayne Dirk; Orthopedic Surgery
Kelton, David   Stewart; Diagnostic Radiology
Kember, Laura Lee; Orthopedic Surgery
Kennedy, Sean Alexander; Diagnostic Radiology
Kessie, Atiemo; Family Medicine, Family Medicine (Emergency Medicine)
Khalifa, Abubaker; Critical Care Medicine, Internal Medicine
Khan, Nayla Mehboob; Obstetrics and Gynecology
Khan, Rubeena; Pediatrics
Khan, Yasser   Anwar; Ophthalmology
Khandaker, Masud Hassan; Cardiology, Internal Medicine
Kim, Jinnie; Family Medicine
King, William   Ian Nelson; General Surgery
Klar, Brian   David; Family Medicine
Klein, Thomas   Brian; Ophthalmology
Koczerginski, David; Psychiatry
Koifman, Julius Yuli; Internal Medicine
Kong, Waitak; Cardiology, Internal Medicine
Kostovic, Biljana; Family Medicine
Kraft, Sari Alana; Family Medicine
Krajden, Selig; Plastic Surgery
Kravetz, Arnold Israel; Ophthalmology
Kreder, Marion   Rita; Family Medicine
Kruger, Alan Michael
Kumar, Rishi; Psychiatry
Kundhal, Prabhsharan   Singh; General Surgery
Kurtz, Robert; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Kuruvilla, Philip George; Internal Medicine, Medical Oncology
Kus, Lukas Henryk; Otolaryngology - Head and Neck Surgery
Kwong, Jennifer   May-Yuet; Family Medicine, Family Medicine (Emergency Medicine)
Lacko, Cyril
Lakhani, Ekta; Family Medicine
Lakovic, Katarina; Family Medicine
Lam, Clement Wing Chuen
Lamba, Manisha; General Pathology
Lau, Albert; Family Medicine, Family Medicine (Emergency Medicine)
Lau, Robert; Hematology, Pediatrics
Laza, Diana Carmen; Family Medicine
Le, Quynh Minh-Tu; Obstetrics and Gynecology
Lee, Allan
Lee, Betty; Diagnostic Radiology
Leet, Carol Anne; Pediatrics
Leknickas, Liuda Rita
Leneman, Michal; Family Medicine
Leong, John   Chung-Sing
Leung, Marian Man Ning; Obstetrics and Gynecology
Liu, Weldon; Diagnostic Radiology
Lo, Sze   Wut; General Surgery
Lock O'Brien, Jodi   Jean Louise; Family Medicine
Lodhi, Shariq   Jamal; Family Medicine
Loucks-Gray, Teresa Ellen; Diagnostic Radiology
Luftspring, Lawrence   David
Luk, Tracy   Chui Chi; Critical Care Medicine, Internal Medicine
Lumb, Kevin Andrew; Internal Medicine, Respirology
Luthra, Sanjeev   Singh; Pediatrics
MacLean, Diliana   Ivaylova; Family Medicine
Macpherson, Ewen Macdonald; Psychiatry
Maggisano, Kevin Michael; Family Medicine
Mahabir, Vishwanath Kishan; Internal Medicine
Maida, Vincenzo; Family Medicine
Mak, Michael Keenan; Family Medicine
Makerewich, Jacqueline Rose; Plastic Surgery
Makowiecka, Maria; Anesthesiology
Malam, Faiz   Gulamali; Family Medicine
Malik, Kartika; Geriatric Medicine, Internal Medicine
Mamelak, Joshua David; Diagnostic Radiology
Mand, Gurpal   Singh
Mandel, Ronald Melvin; Family Medicine
Marcos, Sylvia Formariz; Internal Medicine
Margolis, Ivor   Jerome; Pediatrics
Martino, Francesco; Family Medicine, Family Medicine (Emergency Medicine)
Martosh, Anita   Margaret
Mazengia, Getachew Demem
McGonigal, Donald James; Orthopedic Surgery
McIntosh, Sandra   Lee
McMillan, Alexandra Elizabeth; Critical Care Medicine, Internal Medicine
McMillan, Ronald   Victor; Emergency Medicine
Mehta, Damini; Family Medicine
Mehta, Hitesh Kishor; Internal Medicine, Nephrology
Michael, Amanda; Obstetrics and Gynecology
Michael, Essam Samy Naguib; Obstetrics and Gynecology
Miletin, Michael Solomon; Internal Medicine, Respirology
Millar, Heather Christine; Obstetrics and Gynecology
Minna, Roberta; General Surgery
Minnema, Brian   James; Critical Care Medicine, Infectious Diseases, Internal Medicine
Mistry, Ritesh   Kumar Hasmukhlal; Family Medicine
Mohamed, Nashila   Nurali Issa; Family Medicine
mohammad, naveed  Sajjad
Mohammad, Yahia Zakaria Abd-Elhamid; Neurology
Mohareb, Michael Moheb; Cardiology, Internal Medicine
Mokhtari, Arastoo; Cardiology, Internal Medicine
Mokhtari, Makan; Family Medicine
Moktassi, Aiden; Diagnostic Radiology
Moltyaner, Yuri; Internal Medicine, Respirology
Moran, Brandy; Diagnostic Radiology
Moro, Luciano Franco
Morrell, John David; Urology
Murthy, Ravi
Nambiar, Sindhu; Internal Medicine
Naraine, Virjanand; Internal Medicine, Respirology
Ngai, Benjamin   Yau Chung; Internal Medicine
Nguyen, Duong   Ha; Orthopedic Surgery
Nguyen, Kinh-Tung   Thi; Endocrinology and Metabolism, Internal Medicine
Niedoba, Joseph   Edward
Nikneshan, Davar; Neurology
Nikore, Vineet; Family Medicine
Ninos, Adam George; Hematological Pathology
O'Connor, Anna Maria; Internal Medicine, Rheumatology
Oh, Alfred   Young Gul; Otolaryngology - Head and Neck Surgery
Ohene-Darkoh, Charles Ayensu; Psychiatry
Okusanya, Olanrewaju   Olatunji; Orthopedic Surgery
Olsen, Brian   Walter; General Pathology
Olsen, Michael; Orthopedic Surgery
Ossip, Marc Gideon; Diagnostic Radiology
Otal, Damanjot; Family Medicine
Owen, Elliott; Critical Care Medicine, Internal Medicine
Pallan, Shelley; Endocrinology and Metabolism, Internal Medicine
Panchapakesan, Vivek; Plastic Surgery
Pandya, Anand   Hasmukh; General Surgery
Park, Ka   Young; Family Medicine
Paskar, David Drew Adamson; Critical Care Medicine, General Surgery
Patel, Alex; Critical Care Medicine, Internal Medicine
Patel, Asha Thakor; Internal Medicine
Patel, Bhavin Bhupendra; Family Medicine
Patmanidis, Stefanos; Psychiatry
Pearl, Rachel   Jane; Nephrology, Pediatrics
Peck, Ronnie
Peera, Mohamed Ali; Emergency Medicine
Peppin, Andrew Keith Harold; Diagnostic Radiology
Perdrizet, Kirstin Ann; Internal Medicine, Medical Oncology
Pereira, Derek John; Internal Medicine
Petrasek, John   Stanley; Anesthesiology
Pirzada, Kashif   Salman; Family Medicine, Family Medicine (Emergency Medicine)
Powell, Elizabeth; Internal Medicine, Respirology
Quinn, Andrew Patrick; Orthopedic Surgery
Qureshi, Tariq Mahmud; Internal Medicine
Raco, Dominic   Lorenzo; Cardiology, Internal Medicine
Rajkotwala, Victor   Abdulhusein; Internal Medicine
Rammo, Ferase Maurice; Family Medicine
Rappaport, Daniel   Charles; Diagnostic Radiology
Raskin, William Raphael; Internal Medicine, Medical Oncology
Rasquinha, Russell Joseph; Neurology
Rauth, Sarah Jane; Radiation Oncology
Rayar, Umesh; Pediatrics
Reagan, Adrian Charles; Diagnostic Radiology
Reen, Bajinder Singh; Internal Medicine
Reid, Christopher Ryan; Cardiology, Internal Medicine
Reingold, Stephen   Michael; Internal Medicine, Medical Oncology
Richardson, David Campbell; Infectious Diseases, Internal Medicine, Medical Microbiology
Rikhye, Rakesh  Kumar; Family Medicine
Riley, Shannon  Michelle; Internal Medicine, Respirology
Rizek, Randy; Orthopedic Surgery
Rochman, Arielle; Family Medicine
Rogenstein, Carly Danielle; Family Medicine
Rohani, Aryo; Family Medicine
Rosenberg, Joseph   Ira; Internal Medicine, Respirology
Roth, Lee   Stuart; Gastroenterology, Internal Medicine
Rozenbojm, Michael Diamant; Family Medicine
Russell, William
Sachdeva, Jasdip Singh; Internal Medicine, Nephrology
Sachdeva, Nandini; Anesthesiology
Sadinsky, Howard Leonard
Sadoughi, Mehdi; Orthopedic Surgery
Safinia, Layla; Internal Medicine, Neurology
Saha, Sudip Kumar; Geriatric Medicine, Internal Medicine
Saleh, Fady; General Surgery
Salehi, Leila; Family Medicine, Family Medicine (Emergency Medicine)
Samani, Amir Abbas; General Pathology
Sapp, Margaret   Michelle; Anatomical Pathology
Saund, Gagan; Pediatrics
Sayedi Roshkhar, Sayedhadi; Orthopedic Surgery
Sayeed, Muhammad Razi Uddin; Psychiatry
Scheinman, Louis John
Seaberg, Raewyn Marie; Otolaryngology - Head and Neck Surgery
Segal, Russel   Simon; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Sehravat, Narinder Singh; Family Medicine
Sethi, Rajiv; Gastroenterology, Internal Medicine
Shah, Chintankumar   Champaklal; Neurology
Shan, Xi; Internal Medicine, Nephrology
Sharieff, Sheema; Family Medicine
Sharma, Priya; Obstetrics and Gynecology
Sheehan, Hilarie Louise; Diagnostic Radiology
Shiff, Daniel   Alan; Diagnostic Radiology
Shih, Chung   Ming
Shinoff, Susan; Obstetrics and Gynecology
Shoham, Sheryl; Family Medicine
Shore, Frederica   Debora
Siddiqui, Farhan; Family Medicine, Family Medicine (Emergency Medicine)
Sidenberg, Lorne Howard
Siegel, Irving   Joel
Siemieniuk, Reed Alexander Cunningham; Internal Medicine
Silverberg, Samuel; Internal Medicine
Simms, Kathryn Andrea; Anesthesiology
Singer-Jordan, Jonathan   Roy; Diagnostic Radiology
Singh, Jagdeep; Internal Medicine
Singla, Mohit; Cardiology, Pediatric Cardiology, Pediatrics
Sivananthan, Shankar; Critical Care Medicine, Internal Medicine
Sklar, Lawrence   Samuel; Internal Medicine
Sklar, Michael Chaim; Anesthesiology
Smullen, Merril   Jay
Somani, Sohel; Ophthalmology
Song, Yuning; Anesthesiology
Sookdeo, Sunel; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Starova, Blerta; Anatomical Pathology
Stroganova, Nadejda; Psychiatry
Suess, Andrew   Myles; Anesthesiology
Sukhai, Natasha Preya; Family Medicine
Suneja, Sumeet Kaur; Internal Medicine, Nephrology
Sunerh, Pal   Singh
Sutandar, Marilyn; Obstetrics and Gynecology
Syed, Ali   Abbas; Anesthesiology
Tam, Dorothy; Anesthesiology
Tang, Christine   Louise; Plastic Surgery
Tanguay, Sophie; Pediatrics
Tattum, Leah   Eve; Pediatrics
Tayyari, Farnoosh; Anatomical Pathology
Tennenhouse, Ronald; Family Medicine
Thiviyarajah, Sangeetha; Internal Medicine, Rheumatology
Tjandrawidjaja, Michael Clarence; Cardiology, Internal Medicine
To, Toan Bao; Cardiology, Internal Medicine
Toran, Victor Alex; Otolaryngology - Head and Neck Surgery
Tranqui, John
Trop, Sebastien; Cardiac Surgery, Critical Care Medicine
Tsang, Philip; Family Medicine
Tse, Leonard   Waye Han; General Surgery, Vascular Surgery
Tsihlias, John; Urology
Tullio, Gerald Christopher; Neurology
Ulic, Diana Valentina; Critical Care Medicine, Internal Medicine
Vaidyanathan, Prema; Obstetrics and Gynecology
Vaidyanathan, Sankar; Family Medicine, Obstetrics and Gynecology
van Gulik, Michael   Gerard Francis; Anesthesiology
van Heest, Rardi Danielle; General Surgery
Vanderburgh, Leslie Carole; Diagnostic Radiology
Varkul, Mark David; Internal Medicine, Respirology
Vaz, Simone Sheree; Pediatrics
Virich, George; General Surgery
Vivas, Lucas; Internal Medicine
Vorobeichik, Leon; Anesthesiology
Wadehra, Davinder Bir Singh; Internal Medicine, Nephrology
Wagman, David   Mitchell
Walele, Abdul Aziz; Internal Medicine, Nephrology
Wang, Paul   Peng Yu
Weicker, Constance   Marie; Family Medicine
Weinberger, Allen Nathan
Wielecki, Sylvia Donna; Anesthesiology
Wijeyasekaran, Singharetnam; Internal Medicine, Nephrology
Willems, Cara Lea Mary; Nuclear Medicine
Wolfe-Wylie, Margaret Catherine; Endocrinology and Metabolism, Pediatrics
Woloszyk, Michael Anthony; Anesthesiology
Wong, Bertha; Endocrinology and Metabolism, Internal Medicine
Wong, Peter   Douglas; Cardiology, Pediatrics
Woo, Francis   Chang Ming
Woolnough, Nicholas Rupert John; Internal Medicine, Respirology
Wroblewski, Karol Cezary; Family Medicine, Family Medicine (Emergency Medicine)
Wu Chao Ying, Valerie; General Surgery
Yang, Roy Yizhan; Diagnostic Radiology
Yee, Angelina; Family Medicine
Yeung, Ching; General Surgery, Thoracic Surgery
Yip, Jonathan; Otolaryngology - Head and Neck Surgery
Young, Bernita   Ann; Family Medicine
Yufe, Robert   Solomon; Neurology
Zakhary, Gamel   Saad; Pediatrics
Zakhary, Liliane   Henri; Pediatrics
Zasowski, John Joseph; Family Medicine
