Al Saadi, Naba; Family Medicine
Marshall, Brodie Ross; Family Medicine
Marshall, Laura Christine Manning; Family Medicine
Mashari, Azad; Anesthesiology
Matthews, Selena Tamara; Family Medicine
McCready, William George; Internal Medicine
McFarlane, Cory Leigh; Family Medicine
McLennan, Michael  Kenneth; Diagnostic Radiology
Melton, Ellen; Internal Medicine
Minty, Lauren Elizabeth; Family Medicine
Mitchell, Rachel Hana Berman; Child and Adolescent Psychiatry, Psychiatry
Moir, Adam Blue; Family Medicine
Monteiro, Eric Anthony; Otolaryngology - Head and Neck Surgery
Morgan, Alanna Sarah Jean; Family Medicine
Morgan, Jonathon   Ellery; Family Medicine, Family Medicine (Emergency Medicine)
Mosconas, Evangelie; Family Medicine
Mozzon, Lise Michelle; Internal Medicine
Mukhopadhyay, Baijayanta; Family Medicine
Murdoch, Amanda  Lauren Mendes Da Costa; Family Medicine
Mwamwenda-Heinrich, Escort; Family Medicine
Nader, Maya; Family Medicine
Neckoway, Rebekah Eden; Family Medicine
Neufeld, Troy Mitchell; Family Medicine, Family Medicine (Emergency Medicine)
Orth, Peter Marius Randle; Family Medicine, Family Medicine (Emergency Medicine)
Ouellette, Michael Kevin; Family Medicine
Panu, Anukul; Diagnostic Radiology
Panu, Neety; Diagnostic Radiology
Parkinson, Matthew   Ramcharan; General Surgery
Pegg, William   Charles; Family Medicine
Peters, Sarah Christina; Family Medicine
Pho, Victoria; Family Medicine
Poling, Justin Dane; General Surgery
Polle, Mark   Robin; Family Medicine
Pouteau, Kathleen   Marie; Family Medicine
Power, Laura  Josephine; Obstetrics and Gynecology
Preater, Beverley   Erin; Family Medicine
Prine, Andrew Vincent; Family Medicine
Pulkki, Kristina   Helena; Otolaryngology - Head and Neck Surgery
Rawlinson, John; Diagnostic Radiology
Reid, Joanne Mary; Family Medicine
Robinson, Anne   Michelle; Family Medicine
Robinson, Maija  Ariya Faith; Family Medicine
Ross, Andrew John; Family Medicine
Rothstein, Aaron Samuel; Family Medicine, Family Medicine (Emergency Medicine)
Roukema, David Henry; Family Medicine
Russell-Mahoney, Barbara   Lynn; Family Medicine
Rutka, John   Alexander; Otolaryngology - Head and Neck Surgery
Schoon, Rachel Patricia; Family Medicine
Schreiber, Yoko   Saschin; Infectious Diseases, Internal Medicine
Seppala, Nicholas Harry; Diagnostic Radiology
Shaheen, Hannah Jean; Family Medicine
Shilensky, Dan; Family Medicine
Silverberg, Rory Michael William; Internal Medicine, Nephrology
Sloan, Jeffrey   Randolph; Family Medicine
Snider, Tristan  Gregory Edward; Emergency Medicine
Snyder, Ellen Claire Rowlands; Family Medicine
Sprague, Celia Ann; Family Medicine
Stone, Susan   Joan; Family Medicine
Thompson, Mimmi Karin Cecilia; Family Medicine
Thompson, Ryan   Michael; Family Medicine
Thorgrimson, Joelle Lynn; Family Medicine
Touzin, Eric   Simon; General Surgery
Turner, Katherine Ann; Family Medicine
Uddin, Fatima; Family Medicine
Vanek, Jaclyn Maya; Family Medicine
VanSligtenhorst, Kristin Patricia; Family Medicine
Varsava, Michael   Eugene
Virani, Saniff Bahadurali; Family Medicine, Family Medicine (Emergency Medicine)
Walker, Jennifer Anne; Family Medicine
Walton, Mark; Family Medicine
Watson, Paul   Andrew; Internal Medicine, Nephrology
Wesley, Shannon   Jean; Family Medicine
Wiebe, Jeffrey Leighton; Family Medicine
Willms, Larry   Albert; Family Medicine
Wilson, Ruth   Kate; Family Medicine
Winterburn, Shannon Rennie; Family Medicine
Wong, Casey Clinton; Family Medicine
Wong, Catherine Chi-Fun; Family Medicine
Wong, Tommy; Family Medicine, Internal Medicine
Woolford, Bonnie Louise; Family Medicine
Wyman, Jennifer   Judith; Family Medicine, FCFP - Family Medicine
Yelle, Katie Elizabeth; Family Medicine
Ysselstein, Marc; Family Medicine
Zheng, Song   Bo; Family Medicine
Zroback, Jesse Peter; Family Medicine, Family Medicine (Emergency Medicine)
