Abbott, Lesleigh   Selina; Pediatric Hematology/Oncology, Pediatrics
Delpero, Walter; Ophthalmology
Dhanani, Sonny; Critical Care Medicine, Pediatrics
Doherty, Megan Elizabeth; Palliative Medicine, Pediatrics
Doja, Mohammad Asifud; Neurology
Dolansky, Gillian Pamela; Pediatric Emergency Medicine, Pediatrics
Dollin, Michael Leo Elliot; Ophthalmology
Dudek, Nancy   Lorraine; Physical Medicine and Rehabilitation
Duffy, Ciaran Maire; Pediatrics, Rheumatology
Dumont, Tania; Obstetrics and Gynecology
Duncan, Mary Jean; Plastic Surgery
Dupuis, Alissa Mary; Pediatrics
Ehmann, Timothy Paul; Psychiatry
Empringham, Brianna Mary; Pediatrics
Ersu, Refika; Pediatrics, Respirology
Esmond, Elizabeth Mary; Psychiatry
Evans, Andrea Blair; Pediatrics
Fantaneanu, Tadeu Andrei; Neurology
Farion, Kenneth John; Emergency Medicine
Fathi, Kate A; Pediatric Emergency Medicine, Pediatrics
Feber, Janusz; Pediatrics
Feberova, Jana; Neonatal-Perinatal Medicine
Feder, Stephen   Hersh
Ferretti, Emanuela; Pediatrics
Fisher, Rebecca
Fleming, Nathalie   Ann; Obstetrics and Gynecology
Fournier, Annick  Valerie; Ophthalmology
Frank, Simon George; Plastic Surgery
Fraser-Roberts, Deborah   Leigh; Pediatrics
Gagne, Helene   Manon; Obstetrics and Gynecology
Gandy, Hazen   Morrison; Psychiatry
Garber, Gary   Erwyn; Infectious Diseases, Internal Medicine
Gardin, Letizia Lucia; Cardiology, Pediatrics
Gavigan, Genevieve   Marie; Dermatology
Geier, Pavel; Pediatrics
Gelt, Victoria; Cardiology, Pediatrics
Geraghty, Michael   Thomas; Medical Genetics and Genomics
Gerein, Richard Bradley; Pediatrics
Ghobrial, Mahassen Malak; Pediatrics
Gilberg, Steven   Matthew; Ophthalmology
Gillies, Anne   Martha Wainwright; Pediatrics
Girard, Lynne; Otolaryngology - Head and Neck Surgery
Glassman, Steven   Jeremy; Dermatology
Goldbloom, Ellen   Beth; Endocrinology and Metabolism, Pediatrics
Gottlieb, Chloe   Charmaine Chlebek; Ophthalmology
Goulet, Kristian   Bernard; Pediatrics
Gow, Robert  Malcolm; Cardiology, Pediatrics
Graham, Gail Elizabeth; Medical Genetics and Genomics
Gravelle, Mary   Rita Joan; Pediatrics
Gray, Clare   Elisabeth; Child and Adolescent Psychiatry, Psychiatry
Grodinsky, Stephen Howard; Pediatrics
Guerra, Luis Antonio Caldas; Urology
Hadjiyannakis, Anastasia; Endocrinology and Metabolism, Pediatrics
Hall, Leslie   Elaine; Anesthesiology
Hall, Trudy   Mae; Family Medicine
Halton, Jacqueline   Mary Lewis; Pediatrics
Hamilton, Leslie Erin; Anatomical Pathology, Neuropathology
Harman, Stuart   George Sheldon; Pediatric Emergency Medicine, Pediatrics
Harrison, Megan Elizabeth; Pediatrics
Harrold, JoAnn   Elizabeth; Pediatrics
Henry, Eric   Leo; Otolaryngology - Head and Neck Surgery
Hickling, Duane Ross; Urology
Highmore, Kerri Ann; Diagnostic Radiology, Pediatric Radiology
Hillier, Linda Gail; Pediatrics
Hotte, Simon Laurier; Clinical Immunology and Allergy, Pediatrics
Hrycko, Sophia; Psychiatry
Hui, Charles Pok Sum; Infectious Diseases, Pediatrics
Huot, David John; Pediatrics
Hurley, Bernard   Robert; Ophthalmology
Hurteau, Julie Marie; Diagnostic Radiology
Ibrahim, Moheb   Samir; Cardiac Surgery
Issa, Kheirie; Pediatrics
Isserlin, Leanna   Elizabeth; Child and Adolescent Psychiatry, Psychiatry
Jabbour, Mona; Pediatrics
Jain, Raagini; Pediatric Emergency Medicine, Pediatrics
Janardanan Nair, Vimoj; Radiation Oncology
Jankov, Robert Peter; Pediatrics
Jarvis, James George; Orthopedic Surgery
Javidnia, Hedyeh; Otolaryngology - Head and Neck Surgery
Jessamine, Peter Gordon; Infectious Diseases, Internal Medicine, Medical Microbiology
Jetty, Radha; Pediatrics
Jimenez Rivera, Carolina   de los Angeles; Gastroenterology, Pediatrics
Johnson-Obaseki, Stephanie Elin; Otolaryngology - Head and Neck Surgery, Pediatrics
Johnston, Donna   Lynn; Pediatrics
Johnston, Liisa Celeste; Psychiatry
Johnston, Mary   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Jones, Barbara Ann; Psychiatry
Jordan, David   Ronald; Ophthalmology
Jovanovic, Marijana; Child and Adolescent Psychiatry, Psychiatry
Jovanovic, Radmila; Pediatrics
Jurencak, Roman; Pediatrics
Kanigsberg, Nordau   David; Dermatology
Kapur, Rishi; Child and Adolescent Psychiatry, Psychiatry
Karanjia, Rustum Sarosh; Ophthalmology
Karwowska, Anna; Pediatrics
Katz, Sherri   Lynne; Pediatrics, Respirology
Keays, Melise; Urology
Keely, Kathryn Leone; Pediatrics
Kehar, Mohit; Pediatrics
Kelly, Erin Kathleen; Child and Adolescent Psychiatry, Psychiatry
Kelly, Shawn   Hamilton; Pediatrics
Kerr, Pauline Elizabeth; Clinical Immunology and Allergy, Pediatrics
Khalaf, Khalil; Neurosurgery
Khatchadourian, Karine; Endocrinology and Metabolism, Pediatrics
Kielly, Maria; Obstetrics and Gynecology
Kim, Jarmila; Anesthesiology
King, William   James Bruce; Pediatrics
Kirshen, Carly Allison; Dermatology
Klaassen, Robert   John; Hematology, Pediatrics
Kontio, Ken   Kalevi; Orthopedic Surgery
Konzuk, Peter   John; Ophthalmology
Koujok, Khaldoun; Diagnostic Radiology, Pediatric Radiology
Kovesi, Thomas   Andrew; Pediatrics, Respirology
Kozyra, Lesia   Maria Anna; Family Medicine, Family Medicine (Emergency Medicine)
Kruger, Phil; Anesthesiology
LaBerge, Robert   Clarence; Pediatrics
Lai, Lillian Suke-Woon; Cardiology, Pediatrics
Lam, Tiffany; Family Medicine, Family Medicine (Emergency Medicine)
Lambert, Wendy   Cindy-Lynn; Family Medicine
Lamontagne, Christine; Anesthesiology
Langevin, Melissa Kathleen; Pediatrics
Lau, Anita   Sum-Yee; Pediatrics
Lavoie, Curtis Francis; Family Medicine, Family Medicine (Emergency Medicine)
Lawrence, Sarah   Linda; Pediatrics
Lawrence, Sarah Elizabeth; Endocrinology and Metabolism, Pediatrics
Lawson, Margaret Lloyd; Endocrinology and Metabolism, Pediatrics
Lazier, Joanna Shari; Medical Genetics and Genomics
Le Saux, Nicole   Marie Anne; Anatomical Pathology, Infectious Diseases, Internal Medicine
Leduc, Dorothee; Infectious Diseases, Pediatrics
Lee, Erica   Erma Marie; Emergency Medicine
Lee, Suzie; Cardiology, Pediatrics
Lee, Thomas Kin Man; Ophthalmology
Lemyre, Brigitte; Neonatal-Perinatal Medicine, Pediatrics
Leonard, Michael   Patrick; Urology
Leung, Elaine Wing-Yin; Hematological Pathology, Pediatrics
Lewis, Denice Colleen; Family Medicine
Liebman, Mira Fern; Hematological Pathology, Pediatric Hematology/Oncology, Pediatrics
Lipson, Jennifer Erin; Dermatology
Liy Wong, Maria Del Carmen; Pediatrics
Lo, Bryan Fu-Meng; Medical Genetics and Genomics
Lobos, Anna-Theresa; Pediatrics
Lochmuller, Hanns Konrad Maria; Neurology
Long, Michelle Thai; Pediatric Emergency Medicine, Pediatrics
Losier, Andrea Michelle; Pediatrics
Lougheed, Jane; Cardiology, Pediatrics
Lougheed, Taylor Phillips Johnson; Family Medicine, Family Medicine (Emergency Medicine)
Luke, Koon-Hung; Pediatrics
Maarse, Miriam Jennifer; Pediatrics
MacCormick, Johnna Anne; Otolaryngology - Head and Neck Surgery
Macdonald, Jillian   Alexandra; Dermatology
MacDonnell, Heather Margaret Mary; Pediatrics
Macinnis, Brent Joseph; Ophthalmology
MacIsaac, Jennifer Lynn; Dermatology
Mack, David Ross; Pediatrics
Mackenzie, Alexander   Euan; Pediatrics
Macklin, Gloria Elizabeth; Pediatrics
MacLean, Gillian Rowe; Neonatal-Perinatal Medicine, Pediatrics
MacLeod, Olivia Mary Jane; Child and Adolescent Psychiatry, Psychiatry
MacLusky, Ian Bouvard; Pediatrics, Respirology
Maharajh, Gyaandeo Seusaran; Cardiac Surgery
Mahrouche Belbachir, Lilia; Family Medicine
Major, Nathalie; Pediatrics
Mankongsrisuk, Thawatchai
Markus, Yaacov   Michael; Occupational Medicine
Marr, Alexa Brittany; Pediatrics
Martinez Rios Arellano, Claudia Monica; Diagnostic Radiology
Matheson, Katherine Margaret Anne; Child and Adolescent Psychiatry, Psychiatry
Matyas, Miklos; Otolaryngology - Head and Neck Surgery
Matzinger, Mary Ann Elizabeth; Diagnostic Radiology
McAuley, David   John; Neurosurgery
McConville, James   Michael; Pediatrics
McCormick, Anna Marie; Pediatrics, Physical Medicine and Rehabilitation
McGregor-Shaw, Alyson Mary; Pediatrics
McLean, Laurie Elizabeth; Otolaryngology - Head and Neck Surgery
McMillan, Hugh   John; Neurology, Pediatrics
McNally, James Dayre; Critical Care Medicine, Pediatrics
Menon, Kusum; Pediatrics
Merchant, Pradeep   Pranlal; Pediatrics
Mervitz, Deborah Louise; Anesthesiology
Meulenkamp, Bradley George; Orthopedic Surgery
Milanska, Janina; Pediatrics
Milin, Robert Paul; Psychiatry
Miller, Elka; Diagnostic Radiology, Pediatric Radiology
Miller, Garfield Lincoln Alexander; Ophthalmology
Mintsioulis, George; Ophthalmology
Miro, Joaquim; Pediatric Cardiology, Pediatrics
Moineau, Genevieve Marie Antonia; Pediatrics
Moore, Gregory   Paul; Pediatrics
Morawska-Jablonska, Joanna   Maria; Pediatrics
Mossdorf, Philipp; Anesthesiology
Muir, Katherine Emily; Neurology
Murray, Catherine Louise; Pediatrics
Murto, Kimmo   Tomi Tapio; Anesthesiology
Myles, Wellington   Michael; Ophthalmology
Myron, Hilary Stephanie; Pediatrics
Nair, Asha; Pediatrics
Nasr, Ahmed Lofty; General Surgery, Pediatric General Surgery
Nault, Julie Rachel; Pediatrics
Nawrocka, Joanna; Anesthesiology
Neto, Gina Maria Picado; Pediatrics
Nizalik, Cindy Louise Elizabeth; General Pathology
Norris, Mark   Lorne; Pediatrics
Nzau, Duncun Munyao Muoki; Neurosurgery
O'Connor, Michael   David; Ophthalmology
O'Connor, Sarah Elizabeth; Pediatrics
Odell, Michael Jeffery; Otolaryngology - Head and Neck Surgery
O'Donnell, Roisin Anne; Pediatrics
O'Kelly, Fionnuala; Pediatrics
O'Reilly, Heather Deanne; Anesthesiology
Osmond, Martin   Henry; Pediatrics
Padmore, Ruth Frances; Anatomical Pathology, Hematological Pathology
Pajer, Kathleen Ann; Psychiatry
Parker, Kristy Alayne; Pediatrics
Parker, Torrey   May; Pediatrics
Peters, Daniel   Albert; Plastic Surgery
Pham-Huy, Anne; Infectious Diseases, Pediatrics
Planet, Jean-Francois; Otolaryngology - Head and Neck Surgery
Plint, Amy   Catherine; Pediatrics
Pohl, Daniela; Pediatrics
Poleski, Steven   Allan; Ophthalmology
Pollard, Joseph Alexander; Emergency Medicine, Family Medicine
Pollock, J   Whitcomb; Orthopedic Surgery
Ponesse, Jonathan   Stephen; Neurology
Postl, Lara Anne; Child and Adolescent Psychiatry, Psychiatry
Pothos, Mary; Pediatrics
Pound, Catherine   Maude; Pediatrics
Pratt, Melanie   Dawn; Dermatology
Puddester, Derek   Gordon; Child and Adolescent Psychiatry, Psychiatry
Putnins, Rita Elwine; Diagnostic Radiology
Quet, Julie; Pediatrics
Radhakrishnan, Dhenuka   Kannan; Pediatrics, Respirology
Rainbow, Sandra Marie Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Ramphal, Raveena; Pediatrics
Ramsey, Gillian   Dawn; Anesthesiology
Rauch, Frank Thomas
Redpath, Stephanie; Pediatrics
Reid, Sarah   Maria; Pediatrics
Reisman, John   Joseph; Pediatrics, Respirology
Richer, Julie; Medical Genetics and Genomics
Richler, Michael   Elliot; Pediatrics
Ristoski, Nikolce; Pediatrics
Robaey, Philippe; Child and Adolescent Psychiatry, Psychiatry
Robb, Marjorie   Elizabeth; Psychiatry
Robinson, Amy Elizabeth; Adolescent Medicine, Pediatrics
Robinson, Marie-Eve; Endocrinology and Metabolism, Pediatrics
Rochowski, Andrzej; Pediatrics
Rockwell, Gloria Morene; Plastic Surgery
Roeske, Amy Elizabeth; Anesthesiology
Roscoe, Clare   Louise; Child and Adolescent Psychiatry, Psychiatry
Rosen, Harold David; Anesthesiology
Ross, Tracey Lee; Otolaryngology - Head and Neck Surgery
Rossi Ricci, Alessandra; Pediatrics
Rotaru, Carmen; Diagnostic Radiology
Roth, Johannes; Pediatrics
Rourke, Ryan James; Otolaryngology - Head and Neck Surgery
Rouvinez Bouali, Nicole   Genevieve; Pediatrics
Rowan-Legg, Anne Kingsley; Pediatrics
Rusnak, Alison   Jill; Medical Genetics and Genomics
Ryan, Gail   Lynn; Anesthesiology
Sambasivan, Aarathi   Susheela; Pediatrics
Sampaio, Tatiana   Zorub Assis Loreto; Pediatric Critical Care Medicine, Pediatrics
Samson, Lindy   Michelle; Infectious Diseases, Pediatrics
Sant, Nadia Prema; Infectious Diseases, Internal Medicine, Medical Microbiology
Sawyer, Sarah Lynn; Medical Genetics and Genomics
Scherer, Nita; Otolaryngology - Head and Neck Surgery
Schramm, David Ronald; Otolaryngology - Head and Neck Surgery
Schwartz, Robert   Andrei; Anesthesiology
Sehgal, Anupam   Virendra; Pediatrics
Seidman, Amanda Gillian; Pediatrics
Seshadri, Angela; Pediatrics
Shadbolt, Nicole Stephanie; Family Medicine
Shah, Archna Suryakant; Pediatric Emergency Medicine, Pediatrics
Shefrin, Allan   Evan; Pediatric Emergency Medicine, Pediatrics
Shiga, Sarah   Ann; Plastic Surgery
Silver, Lesley Carmela Ann; Anesthesiology
Silverman, Aaron Michael; Child and Adolescent Psychiatry, Psychiatry
Simpson, Ewurabena   Akonuah; Pediatrics
Sisto, Alfred; Pediatrics
Smit, Kevin Mitchell; Orthopedic Surgery
Smith, Alyssa Rose; Pediatrics
Smith, Jennifer Erin; Pediatric Emergency Medicine, Pediatrics
Somerville, Scott Shaw; Endocrinology and Metabolism, Pediatrics
Spenser, Helen   Ruth; Child and Adolescent Psychiatry, Family Medicine, Psychiatry
Spettigue, Wendy   Jill; Psychiatry
Splinter, William   Maria; Anesthesiology
Spring, Shanna; Dermatology
Stanisz, Joanna; Gastroenterology, Pediatrics
Story, Eden Sarah; Pediatric Hematology/Oncology, Pediatrics
Sudhakaran Nair, Gopakumar; Anesthesiology
Suk, Jean Cheng-Wa; Pediatrics
Suntharalingam, Sinthuja; Child and Adolescent Psychiatry, Psychiatry
Tam, Ronald   Kwok Hung; Pediatrics
Taylor, Michael Robert; Family Medicine, Family Medicine (Emergency Medicine)
Thampi, Nisha; Infectious Diseases, Pediatrics
Thatte, Smita Vinay; Child and Adolescent Psychiatry, Psychiatry
Thebaud, Bernard Claude Franck; Pediatrics
Thulasirajah, Salini; Neurology
Tice, Andrew Douglas William; Orthopedic Surgery
Tirado, Rossana Maria; Pediatrics
Tjahjadi, Anindita; Pediatrics
Toeg, Hadi Daood Edward; Cardiac Surgery
Tomiak, Eva   Maria; Internal Medicine, Medical Oncology
Trull, Brent Charles Lister; Plastic Surgery
Tse, Sandra Tsz-Kwan; Pediatrics
Tsoulis, David James; Dermatology
Tu, Albert Dinh; Neurosurgery
Tuli, Raman; Ophthalmology
Udupa, Sharmila; Pediatric Cardiology, Pediatrics
Uhthoff, Peter Andreas Fritz
Vadeboncoeur, Christina   Marie; Pediatrics
Van Stralen, Judy   Petra Maria; Pediatrics
Varshney, Terry; Pediatric Emergency Medicine, Pediatrics
Veinot, John Porter; Anatomical Pathology
Veldhuijzen Van Zanten, Stephanie Carmen Marlieke; Pediatrics
Venkateswaran, Sunita; Neurology, Pediatrics
Vethamuthu, Jennifer Mary; Nephrology, Pediatrics
Wai, Eugene   Kenneth; Orthopedic Surgery
Ward, Leanne Marie; Endocrinology and Metabolism, Pediatrics
Ward, Michelle Grace Kathleen; Pediatrics
Warman Chardon, Jodi; Neurology
Watanabe Duffy, Karen Nobuko; Internal Medicine
Weekes, Darlene Angele; Anesthesiology
Weidman, Danielle Rebecca; Pediatric Hematology/Oncology, Pediatrics
Weiler, Gabrielle Suzanne; Pediatrics
Weldon, Patrick; Pediatric Emergency Medicine, Pediatrics
Werier, Joel Michael; Orthopedic Surgery
whiting, sharon  Elizabeth; Neurology, Pediatrics
Wilkin, Geoffrey Peter; Orthopedic Surgery
Wilson, Nagwa Maurice; Diagnostic Radiology
Wong, Derek   Ti Hsin; Cardiology, Pediatrics
Wong, Eddy   Ka-Kwan; Pediatrics
Woulfe, John Michael Joseph; Neuropathology
Writer, Hilary   Kathryn; Pediatrics
Yee, Edgar   Hector; Pediatrics
Ying, Yvonne; Plastic Surgery
Young, Fiona  Bridget Julia; Obstetrics and Gynecology
Yu, Andrea Carmen; Medical Genetics and Genomics
Zemek, Roger Leonard; Pediatrics
Ziai, Setareh; Ophthalmology
Zucker, Marc Edward; Pediatrics
Zuijdwijk, Caroline   Sarah; Endocrinology and Metabolism, Pediatrics
Zwicker, Kelley Ann; Pediatrics
